"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.145768337678433,0.158989769749137,0.134250682000406,"sites",100,13.343,"hightide","APA Costa das Algas"
"2",3,0.126318581124663,0.132780056612347,0.113567691723099,"sites",86.6570773437259,10.396,"hightide","APA Costa das Algas"
"3",4,0.111164146616778,0.117890338629366,0.10167949636354,"sites",76.2608316642866,7.634,"hightide","APA Costa das Algas"
"4",5,0.100036173249315,0.106661434944631,0.0927755393581789,"sites",68.6268189941194,5.839,"hightide","APA Costa das Algas"
"5",6,0.0915242977430965,0.0961388800156622,0.0854447311405101,"sites",62.7875018682044,4.621,"hightide","APA Costa das Algas"
"6",7,0.0847883373347903,0.0897451941412272,0.0790577066079339,"sites",58.1664980785023,3.639,"hightide","APA Costa das Algas"
"7",8,0.0794840289592297,0.0841510645775929,0.0740252959716961,"sites",54.5276362652723,2.971,"hightide","APA Costa das Algas"
"8",9,0.07515338770722,0.0793901003989888,0.0697409595885364,"sites",51.5567296054439,2.571,"hightide","APA Costa das Algas"
"9",10,0.0714054889029097,0.0755337698972902,0.0664565841368195,"sites",48.9855959395183,2.259,"hightide","APA Costa das Algas"
"10",11,0.0681132543891954,0.0722041827780176,0.0632475946247053,"sites",46.7270571058128,2.007,"hightide","APA Costa das Algas"
"11",12,0.0651878316018885,0.0689711241317583,0.0611118014373987,"sites",44.7201584652038,1.744,"hightide","APA Costa das Algas"
"12",13,0.0626457432651567,0.0661370724249448,0.0583913777950197,"sites",42.9762349374898,1.507,"hightide","APA Costa das Algas"
"13",14,0.0604487724570718,0.0638342052594591,0.0568632322631552,"sites",41.4690689485824,1.396,"hightide","APA Costa das Algas"
"14",15,0.0584137267332092,0.061530212907111,0.0546111609843015,"sites",40.0729868114918,1.33,"hightide","APA Costa das Algas"
"15",16,0.0564754020176267,0.059733355834371,0.0529802101590635,"sites",38.7432572238096,1.084,"hightide","APA Costa das Algas"
"16",17,0.0548945502746369,0.0579966290206575,0.051390645055325,"sites",37.6587612570126,1.084,"hightide","APA Costa das Algas"
"17",18,0.0533149167002221,0.0564608891692561,0.0499405403424395,"sites",36.5751009782629,0.984,"hightide","APA Costa das Algas"
