"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.0244755604942418,0.0271065459263481,0.0206313845067677,"sites",100,27.229,"hightide","Antartica"
"2",3,0.0178112282774684,0.0209703051257153,0.0153702700795799,"sites",72.7714827272644,11.936,"hightide","Antartica"
"3",4,0.0148898248476763,0.0165376165070572,0.0129829521200997,"sites",60.8354805651102,8.008,"hightide","Antartica"
"4",5,0.0129298764174718,0.0155964830748377,0.0101690553709634,"sites",52.8277030489809,7.683,"hightide","Antartica"
"5",6,0.0110493230745994,0.0128545164557018,0.00970559695435916,"sites",45.1443106980077,4.557,"hightide","Antartica"
"6",7,0.00993391915029026,0.0115969568537806,0.00852587055076716,"sites",40.5870956566136,2.627,"hightide","Antartica"
"7",8,0.00929102464359937,0.0109082916814036,0.00753469225711326,"sites",37.9604162518982,3.954,"hightide","Antartica"
"8",9,0.00832328179965024,0.00967199337033211,0.00732006147030736,"sites",34.0065013081453,1.902,"hightide","Antartica"
"9",10,0.00785783961313104,0.00965489857706239,0.00695650273684325,"sites",32.1048403160356,1.993,"hightide","Antartica"
"10",11,0.00737012470007807,0.00915108635472328,0.00611002534557352,"sites",30.1121794608625,2.324,"hightide","Antartica"
"11",12,0.00680130455049392,0.00850598428001436,0.00557652482894864,"sites",27.7881462698025,1.273,"hightide","Antartica"
"12",13,0.00648967951647054,0.00742738450851957,0.00560872593727357,"sites",26.5149372901892,0.921,"hightide","Antartica"
"13",14,0.00626437878108332,0.00772622119183211,0.00537222978146001,"sites",25.5944242116828,0.89,"hightide","Antartica"
"14",15,0.00604652929871568,0.0078620022860461,0.00526132279155672,"sites",24.7043547792836,2.297,"hightide","Antartica"
"15",16,0.0054843606391711,0.00626618242568477,0.00451742463651145,"sites",22.4074976361067,0.127,"hightide","Antartica"
"16",17,0.00551534460491361,0.00668932364525921,0.00464697767208629,"sites",22.5340890812742,0.355,"hightide","Antartica"
"17",18,0.00542856517647506,0.00676026053037818,0.00453932361718929,"sites",22.1795336525682,1.18,"hightide","Antartica"
"18",19,0.00513972799375063,0.00605778394011019,0.00432433256519187,"sites",20.9994291855331,0.643,"hightide","Antartica"
"19",20,0.00498225667694189,0.00609474925169808,0.0040446248347166,"sites",20.3560473236722,NA,"hightide","Antartica"
"20",2,0.228289534856063,0.23398535692921,0.223893034839136,"samples",100,17.944,"hightide","Antartica"
"21",3,0.187325653085173,0.190483550405467,0.1833336932203,"samples",82.0561718710767,10.964,"hightide","Antartica"
"22",4,0.162296428243219,0.164826609975244,0.160150021396807,"samples",71.0923645035007,7.505,"hightide","Antartica"
"23",5,0.145163878207042,0.14701808882089,0.143138886920302,"samples",63.587618371805,5.504,"hightide","Antartica"
"24",6,0.132599493263793,0.133981310614862,0.131074695987432,"samples",58.0839123209906,4.244,"hightide","Antartica"
"25",7,0.122911599315548,0.124407633395556,0.121532766134406,"samples",53.8402250427486,3.379,"hightide","Antartica"
"26",8,0.115198682325097,0.117003879574257,0.113567183629135,"samples",50.4616571222724,2.904,"hightide","Antartica"
"27",9,0.108569737563568,0.110522817359941,0.107098274194454,"samples",47.5579126445814,2.476,"hightide","Antartica"
"28",10,0.102917316758995,0.104145867732633,0.10195788052789,"samples",45.0819249440778,2.099,"hightide","Antartica"
"29",11,0.0981250760172935,0.0993379814226485,0.0970146676627331,"samples",42.9827307148186,1.819,"hightide","Antartica"
"30",12,0.0939719477516497,0.0949843869872644,0.0928462718051452,"samples",41.1634934605737,1.627,"hightide","Antartica"
"31",13,0.0902577594912872,0.0913107565998107,0.0890891853958155,"samples",39.536529586516,1.49,"hightide","Antartica"
"32",14,0.0868571593046807,0.0877584891520999,0.0860013061565609,"samples",38.0469299039241,1.224,"hightide","Antartica"
"33",15,0.0840625652214826,0.0852155666957234,0.0832041203326276,"samples",36.8227852733084,1.175,"hightide","Antartica"
"34",16,0.081380372465221,0.0823896417230539,0.0806437300493725,"samples",35.6478769456214,1.057,"hightide","Antartica"
"35",17,0.0789677646801944,0.0798746111009447,0.0781951828503685,"samples",34.5910576803197,0.986,"hightide","Antartica"
"36",18,0.0767173875830196,0.0777205038836197,0.0760396885836865,"samples",33.6053019825854,0.877,"hightide","Antartica"
