"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.0662672118237357,0.0723241823285692,0.0606505919603699,"sites",100,15.133,"hightide","Arraial do Cabo"
"2",3,0.0562390446426131,0.061117303729607,0.051387833654005,"sites",84.8670754281974,10.194,"hightide","Arraial do Cabo"
"3",4,0.0494834776509713,0.0521868805044309,0.0465603670614503,"sites",74.672641701891,7.001,"hightide","Arraial do Cabo"
"4",5,0.0448442292696768,0.0481262136404182,0.0416103298043274,"sites",67.6718214566776,5.691,"hightide","Arraial do Cabo"
"5",6,0.0410731090178102,0.0444445967307265,0.0381452565324815,"sites",61.9810429433197,4.174,"hightide","Arraial do Cabo"
"6",7,0.0383071782050743,0.0401389802971974,0.0356043148881452,"sites",57.8071374226029,3.452,"hightide","Arraial do Cabo"
"7",8,0.036019608018377,0.038695440152898,0.0326806826680116,"sites",54.355098135388,3.377,"hightide","Arraial do Cabo"
"8",9,0.0337816250540849,0.0359224992935606,0.0310022912566861,"sites",50.9778880450572,2.468,"hightide","Arraial do Cabo"
"9",10,0.0321462154425304,0.0344799055193076,0.0299950219880306,"sites",48.5099863987581,2.118,"hightide","Arraial do Cabo"
"10",11,0.0307425841046357,0.0325664920388139,0.0282170222154005,"sites",46.3918478815858,1.809,"hightide","Arraial do Cabo"
"11",12,0.0295439556732807,0.0313959560130334,0.0272886703671803,"sites",44.5830673423605,1.889,"hightide","Arraial do Cabo"
"12",13,0.0282919857490108,0.0298160947677542,0.0263026427532543,"sites",42.6937922547046,1.446,"hightide","Arraial do Cabo"
"13",14,0.0273334576691796,0.0289565357816341,0.0252791074806318,"sites",41.2473332088936,1.309,"hightide","Arraial do Cabo"
"14",15,0.026466025370483,0.0279259334038045,0.0249462800659883,"sites",39.9383415147751,1.203,"hightide","Arraial do Cabo"
"15",16,0.0256685599155548,0.0271415554713799,0.0240298662824868,"sites",38.7349327203183,1.161,"hightide","Arraial do Cabo"
"16",17,0.0248990139512449,0.0261624893490817,0.0232061548785146,"sites",37.5736556073519,1.004,"hightide","Arraial do Cabo"
"17",18,0.0242339197919669,0.0255597372237969,0.0224402505578396,"sites",36.5700006459102,1.061,"hightide","Arraial do Cabo"
"18",19,0.0235309972426099,0.0248042713395368,0.0218937764134585,"sites",35.5092610583949,0.887,"hightide","Arraial do Cabo"
"19",20,0.0229433956674035,0.0244901281734691,0.0214039955240295,"sites",34.6225456541475,NA,"hightide","Arraial do Cabo"
"20",2,0.230639799413472,0.240866766495444,0.223255293285129,"samples",100,17.727,"hightide","Arraial do Cabo"
"21",3,0.189753662698975,0.196092321629119,0.184194920331207,"samples",82.272731411286,10.87,"hightide","Arraial do Cabo"
"22",4,0.16468303343165,0.171675530808626,0.159602474989803,"samples",71.4026953936168,7.518,"hightide","Arraial do Cabo"
"23",5,0.147343196053661,0.15198417278488,0.142630675178203,"samples",63.8845491664326,5.452,"hightide","Arraial do Cabo"
"24",6,0.13476965301896,0.138859736058614,0.131290054715174,"samples",58.4329562207762,4.374,"hightide","Arraial do Cabo"
"25",7,0.124682527524639,0.128715451708183,0.121303961038025,"samples",54.0594155222614,3.373,"hightide","Arraial do Cabo"
"26",8,0.116903992004344,0.120933043242639,0.113555335028584,"samples",50.6868252147446,2.966,"hightide","Arraial do Cabo"
"27",9,0.11006220296252,0.113813312489536,0.106906650657215,"samples",47.720386178974,2.446,"hightide","Arraial do Cabo"
"28",10,0.104421316514722,0.107983155920146,0.101163861341258,"samples",45.2746303024326,2.14,"hightide","Arraial do Cabo"
"29",11,0.0994850667258588,0.102847687558075,0.0968265682781745,"samples",43.1343883314389,1.779,"hightide","Arraial do Cabo"
"30",12,0.0953823448806975,0.0990207679852014,0.0928975742871264,"samples",41.3555444998042,1.64,"hightide","Arraial do Cabo"
"31",13,0.0915999414018211,0.0945065466106935,0.0889413530222628,"samples",39.7155831884888,1.448,"hightide","Arraial do Cabo"
"32",14,0.088259132787864,0.0914464666197568,0.0858740779034088,"samples",38.2670870388854,1.323,"hightide","Arraial do Cabo"
"33",15,0.0852084588307928,0.08827213308524,0.0826763577077976,"samples",36.9443864621292,1.182,"hightide","Arraial do Cabo"
"34",16,0.0824821651498954,0.0854050361806074,0.0802660012038979,"samples",35.7623295544184,1.047,"hightide","Arraial do Cabo"
"35",17,0.0800678547537108,0.0828261751308696,0.0777972135680191,"samples",34.7155412714228,0.971,"hightide","Arraial do Cabo"
"36",18,0.0778273209750165,0.0806652221993436,0.075641708913379,"samples",33.7440984482882,0.9,"hightide","Arraial do Cabo"
"37",19,0.0757519160326955,0.0784045069118242,0.0736891439689042,"samples",32.8442516102321,0.808,"hightide","Arraial do Cabo"
"38",20,0.0738892506501002,0.0762924090011476,0.0718891566760498,"samples",32.0366436486695,0.777,"hightide","Arraial do Cabo"
"39",21,0.0720961334344596,0.0748830317169299,0.0699240000753958,"samples",31.259190138824,0.707,"hightide","Arraial do Cabo"
"40",22,0.070464766711899,0.0728677327304884,0.0684115508226596,"samples",30.5518678437521,0.695,"hightide","Arraial do Cabo"
"41",23,0.0688608867332069,0.0712509099374571,0.0670799297245731,"samples",29.8564631552418,0.603,"hightide","Arraial do Cabo"
"42",24,0.0674709267142338,0.0697415296039782,0.0656791789017152,"samples",29.253809136938,0.61,"hightide","Arraial do Cabo"
"43",25,0.066064122580927,0.0681895078960216,0.0641462572495343,"samples",28.643851906276,0.575,"hightide","Arraial do Cabo"
"44",26,0.064738785083969,0.0670825178600903,0.0628567317935282,"samples",28.0692166957319,0.476,"hightide","Arraial do Cabo"
"45",27,0.0636415265693242,0.0657337188997737,0.0618619393881809,"samples",27.593471175039,0.54,"hightide","Arraial do Cabo"
"46",28,0.062395842948095,0.0645339595101505,0.0604438747642928,"samples",27.0533720141843,0.436,"hightide","Arraial do Cabo"
"47",29,0.0613906860280021,0.0636087028349418,0.0597270146671764,"samples",26.6175595817034,0.466,"hightide","Arraial do Cabo"
"48",30,0.0603155102868571,0.0622404480328095,0.058778075018637,"samples",26.1513886329429,NA,"hightide","Arraial do Cabo"
"49",2,0.0346914284757366,0.0394436993182029,0.0303358186482735,"sites",100,14.316,"midtide","Arraial do Cabo"
"50",3,0.0297250522939136,0.0334821028978895,0.026944544049166,"sites",85.6841404345846,10.403,"midtide","Arraial do Cabo"
"51",4,0.0261162184535493,0.0288309907367515,0.0240047233602615,"sites",75.2814732659832,8.691,"midtide","Arraial do Cabo"
"52",5,0.0231012814176123,0.0254490332134297,0.0211226345407858,"sites",66.5907471459974,5.086,"midtide","Arraial do Cabo"
"53",6,0.0213369121933516,0.0243504657194666,0.0189855840242322,"sites",61.5048533048296,3.581,"midtide","Arraial do Cabo"
"54",7,0.020094471745769,0.0220586996698035,0.018214982858121,"sites",57.9234486115878,3.74,"midtide","Arraial do Cabo"
"55",8,0.0187969374277961,0.0205965899996224,0.0172833132644123,"sites",54.1832327283462,3.258,"midtide","Arraial do Cabo"
"56",9,0.0176666227837594,0.0189951426418849,0.0163600861601081,"sites",50.925036990378,2.563,"midtide","Arraial do Cabo"
"57",10,0.0167774272665839,0.0177870621170157,0.0154113233473828,"sites",48.3618807404201,1.745,"midtide","Arraial do Cabo"
"58",11,0.0161721690299999,0.0179433791267708,0.0146541116151844,"sites",46.6171897225589,2.024,"midtide","Arraial do Cabo"
"59",12,0.0154700888868798,0.0170143030133882,0.0145065001927384,"sites",44.5934040960571,1.829,"midtide","Arraial do Cabo"
"60",13,0.014835662050901,0.0163860989888425,0.013972925335856,"sites",42.7646329446397,1.461,"midtide","Arraial do Cabo"
"61",14,0.0143289853887646,0.0151113342168856,0.0130360166360886,"sites",41.3041088774605,1.473,"midtide","Arraial do Cabo"
"62",15,0.0138179243125081,0.0151192370810802,0.0125157228544786,"sites",39.8309464891954,1.158,"midtide","Arraial do Cabo"
"63",16,0.0134163097256336,0.0144660395773442,0.0121142040455216,"sites",38.6732697819495,0.958,"midtide","Arraial do Cabo"
"64",17,0.0130838000198222,0.0142858352800768,0.0119898655459923,"sites",37.7147917935207,1.19,"midtide","Arraial do Cabo"
"65",18,0.0126708004081181,0.0135056770185769,0.0117493364123717,"sites",36.5242971098182,0.944,"midtide","Arraial do Cabo"
"66",19,0.0123431426440854,0.0136420492839672,0.0111499430373992,"sites",35.5798051173313,0.758,"midtide","Arraial do Cabo"
"67",20,0.0120801506526118,0.0130347178048545,0.010911824461665,"sites",34.8217158629279,NA,"midtide","Arraial do Cabo"
"68",2,0.192258163477682,0.195704777639936,0.187561946078876,"samples",100,18.182,"midtide","Arraial do Cabo"
"69",3,0.157300831567179,0.160559629874446,0.153487214407233,"samples",81.8175045063502,10.604,"midtide","Arraial do Cabo"
"70",4,0.1369133174443,0.139259289500594,0.134837225939261,"samples",71.2132660417269,7.574,"midtide","Arraial do Cabo"
"71",5,0.122352279307766,0.124516012963167,0.120055919621761,"samples",63.6395756073938,5.527,"midtide","Arraial do Cabo"
"72",6,0.111725785021723,0.113586569556757,0.109392544528812,"samples",58.1123750486112,4.282,"midtide","Arraial do Cabo"
"73",7,0.103493007722463,0.105688518438571,0.101232236972859,"samples",53.8302279863798,3.523,"midtide","Arraial do Cabo"
"74",8,0.0967199149231154,0.0985950715250483,0.0946596048414862,"samples",50.3073124041066,2.911,"midtide","Arraial do Cabo"
"75",9,0.0911241065059348,0.092718290624394,0.0892427405308774,"samples",47.3967424101151,2.339,"midtide","Arraial do Cabo"
"76",10,0.0866262473672072,0.0881162339918855,0.0849738318790512,"samples",45.0572531227071,2.12,"midtide","Arraial do Cabo"
"77",11,0.0825509540463061,0.0840327542233847,0.0810862867166891,"samples",42.9375546676794,1.809,"midtide","Arraial do Cabo"
"78",12,0.0790732204220393,0.0805687019328348,0.077686581816299,"samples",41.1286673042721,1.661,"midtide","Arraial do Cabo"
"79",13,0.0758795843025704,0.0771986715234064,0.0742110289756217,"samples",39.4675487011914,1.338,"midtide","Arraial do Cabo"
"80",14,0.0733068852346364,0.0745107862188181,0.0717274555429928,"samples",38.1294005459207,1.353,"midtide","Arraial do Cabo"
"81",15,0.0707047904470516,0.0722743426811717,0.0691494847927144,"samples",36.7759626785675,1.183,"midtide","Arraial do Cabo"
"82",16,0.0684303570705226,0.0696427335659281,0.067047095448821,"samples",35.5929526386359,1.05,"midtide","Arraial do Cabo"
"83",17,0.066410956838266,0.0676082322575618,0.0650002832373921,"samples",34.5425939980828,0.983,"midtide","Arraial do Cabo"
"84",18,0.0645212432254564,0.0658997932516108,0.0631472868650452,"samples",33.5596897725211,0.892,"midtide","Arraial do Cabo"
"85",19,0.0628064846511352,0.0640251024646495,0.061627310931422,"samples",32.6677856040303,0.806,"midtide","Arraial do Cabo"
"86",20,0.0612572183872291,0.0624045399440656,0.0600652286121919,"samples",31.8619596063811,0.752,"midtide","Arraial do Cabo"
"87",21,0.0598113091009087,0.0609202644229396,0.0585922581849808,"samples",31.1098930828244,0.707,"midtide","Arraial do Cabo"
"88",22,0.0584527638143681,0.0595566117464023,0.0571235277768374,"samples",30.4032675424747,0.702,"midtide","Arraial do Cabo"
"89",23,0.0571023431707936,0.0581763528358698,0.0558653909783399,"samples",29.7008679048483,0.613,"midtide","Arraial do Cabo"
"90",24,0.0559232888172968,0.0568721575135798,0.0549300519994269,"samples",29.0876016943689,0.563,"midtide","Arraial do Cabo"
"91",25,0.0548410876304865,0.0558572751550172,0.05368069564142,"samples",28.5247121050611,0.587,"midtide","Arraial do Cabo"
"92",26,0.0537123583268449,0.0546693150180652,0.0526240896856516,"samples",27.9376216620732,0.501,"midtide","Arraial do Cabo"
"93",27,0.0527497344513261,0.053670422200228,0.0516226248662252,"samples",27.4369282932683,0.519,"midtide","Arraial do Cabo"
