"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.091913248476442,0.100110576037105,0.0839012746926842,"sites",100,13.186,"hightide","Concepción"
"2",3,0.0797936858726048,0.0845108640790402,0.0734391728145938,"sites",86.8141287521314,10.891,"hightide","Concepción"
"3",4,0.0697838048701784,0.0741271831166639,0.0649763766476186,"sites",75.9235540326534,7.252,"hightide","Concepción"
"4",5,0.0631184845704573,0.0671696152191565,0.0586950593134184,"sites",68.6718026146524,5.564,"hightide","Concepción"
"5",6,0.0580040970615441,0.0618017438113109,0.0537639574511449,"sites",63.1074388328369,4.365,"hightide","Concepción"
"6",7,0.0539917086628593,0.0566026867048688,0.0505308095840845,"sites",58.7420307277005,4.197,"hightide","Concepción"
"7",8,0.0501341400456482,0.0535341703401094,0.0469072167776225,"sites",54.5450638255897,2.762,"hightide","Concepción"
"8",9,0.0475953663815025,0.0501915295541832,0.0445359985672006,"sites",51.7829226694142,2.384,"hightide","Concepción"
"9",10,0.0454040678916007,0.0481718941657034,0.0427873963493476,"sites",49.3988283998449,2.357,"hightide","Concepción"
"10",11,0.0432377378843704,0.0459500850882536,0.0407253649948659,"sites",47.0418994008818,1.995,"hightide","Concepción"
"11",12,0.0414044458431629,0.0439115036682636,0.0388305675865077,"sites",45.0473098595521,1.637,"hightide","Concepción"
"12",13,0.0398994330219047,0.0421536295524536,0.037794009067831,"sites",43.4098823437094,1.636,"hightide","Concepción"
"13",14,0.0383953627518221,0.0403756856177701,0.036471133985318,"sites",41.7734803069908,1.536,"hightide","Concepción"
"14",15,0.0369838750366439,0.0391444234684172,0.0350630815454885,"sites",40.2378064639105,1.088,"hightide","Concepción"
"15",16,0.0359837535675455,0.0377581435468302,0.0340718387330743,"sites",39.1496918714263,1.211,"hightide","Concepción"
"16",17,0.0348705959393021,0.0367687031739379,0.0327859347511531,"sites",37.9385959231325,1.007,"hightide","Concepción"
"17",18,0.0339447277189662,0.0358908969218822,0.0319552922377308,"sites",36.9312675611356,0.996,"hightide","Concepción"
"18",19,0.0330295118910722,0.0346680721234429,0.0312517115808649,"sites",35.9355288150194,0.853,"hightide","Concepción"
"19",20,0.0322457961343291,0.033887993046072,0.0304835538272583,"sites",35.0828598366795,NA,"hightide","Concepción"
"20",2,0.197277866496015,0.204599628909257,0.191282821256985,"samples",100,17.858,"hightide","Concepción"
"21",3,0.162048037319477,0.167997333080429,0.155001708578781,"samples",82.142026471454,10.886,"hightide","Concepción"
"22",4,0.14057201383018,0.145792765972555,0.135649469579019,"samples",71.2558465513513,7.278,"hightide","Concepción"
"23",5,0.126213226669548,0.131722525574238,0.121830767849416,"samples",63.9773882956594,5.668,"hightide","Concepción"
"24",6,0.115032459475192,0.120006800761407,0.11059188191089,"samples",58.3098659359819,4.212,"hightide","Concepción"
"25",7,0.106724040635148,0.11161817904713,0.102767042708696,"samples",54.0983347654482,3.563,"hightide","Concepción"
"26",8,0.0996959166617311,0.104039364628891,0.0955244824002128,"samples",50.5357840859176,2.815,"hightide","Concepción"
"27",9,0.0941433476959624,0.0984551350569453,0.0899969013656097,"samples",47.721191113887,2.434,"hightide","Concepción"
