"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.186611404723165,0.202631821993892,0.166634563919316,"sites",100,14.148,"hightide","Fernando de Noronha"
"2",3,0.160209252735589,0.171992071144991,0.141941311464872,"sites",85.851801487298,10.285,"hightide","Fernando de Noronha"
"3",4,0.141015658153167,0.150251249680642,0.125230031312651,"sites",75.5664737438541,7.647,"hightide","Fernando de Noronha"
"4",5,0.126746306701782,0.135253723310726,0.113314919129875,"sites",67.9199145892548,5.765,"hightide","Fernando de Noronha"
"5",6,0.115988830425708,0.124163270063156,0.103021711429211,"sites",62.1552742704959,4.417,"hightide","Fernando de Noronha"
"6",7,0.107746607204263,0.11491052060574,0.0963060620542124,"sites",57.7384899728417,3.793,"hightide","Fernando de Noronha"
"7",8,0.10066853046346,0.107838784879898,0.090156947376738,"sites",53.9455402593429,2.851,"hightide","Fernando de Noronha"
"8",9,0.0953480295450847,0.101774332232185,0.0847792672069952,"sites",51.0944278494298,2.702,"hightide","Fernando de Noronha"
"9",10,0.0903066383764953,0.0962956944206678,0.0811323232229622,"sites",48.3928827985964,2.301,"hightide","Fernando de Noronha"
"10",11,0.086012166744361,0.0917361731226626,0.0765606768687842,"sites",46.0915917073551,1.931,"hightide","Fernando de Noronha"
"11",12,0.0824088800025557,0.0878738972759803,0.0737160757080603,"sites",44.1606878876498,1.717,"hightide","Fernando de Noronha"
"12",13,0.0792052596320773,0.0845809948657983,0.0712782101012724,"sites",42.4439544568979,1.523,"hightide","Fernando de Noronha"
"13",14,0.0763636805449821,0.0813442818046954,0.0683413933669554,"sites",40.9212291490258,1.377,"hightide","Fernando de Noronha"
"14",15,0.0737947300302713,0.0788137011985467,0.0659978907162256,"sites",39.5445981127171,1.249,"hightide","Fernando de Noronha"
"15",16,0.0714647318800511,0.075978493629523,0.0643273755386031,"sites",38.2960151798161,1.135,"hightide","Fernando de Noronha"
"16",17,0.0693462199929753,0.073874333856307,0.0620086650423902,"sites",37.1607620101512,1.038,"hightide","Fernando de Noronha"
"17",18,0.0674087066900134,0.0718077630345652,0.0603599059527279,"sites",36.1225010818676,0.928,"hightide","Fernando de Noronha"
"18",19,0.0656777167354815,0.0700236715378636,0.0589414662307672,"sites",35.1949104251766,0.924,"hightide","Fernando de Noronha"
"19",20,0.0639541970000514,0.0680744047517838,0.0575067854172959,"sites",34.2713228566746,NA,"hightide","Fernando de Noronha"
"20",2,0.121856640151093,0.135327638345272,0.11180317869808,"samples",100,17.203,"hightide","Fernando de Noronha"
"21",3,0.100893296284611,0.111471043060916,0.0932876087945406,"samples",82.796716009494,10.936,"hightide","Fernando de Noronha"
"22",4,0.087567456296057,0.0974989206008784,0.0802281928197997,"samples",71.8610460517213,7.335,"hightide","Fernando de Noronha"
"23",5,0.0786289497422206,0.0878463227525486,0.0721804044906694,"samples",64.5257818078087,5.751,"hightide","Fernando de Noronha"
"24",6,0.0716205255019988,0.0786938538314062,0.0666730408803947,"samples",58.774413452722,4.293,"hightide","Fernando de Noronha"
"25",7,0.0663886360389808,0.0729084527841058,0.0612828427489527,"samples",54.4809342820089,3.391,"hightide","Fernando de Noronha"
"26",8,0.0622559533769153,0.0690985627694844,0.0574532262503849,"samples",51.0895042729907,3.073,"hightide","Fernando de Noronha"
"27",9,0.0585106970790606,0.0645481948031865,0.0541288091345177,"samples",48.0160104582827,2.311,"hightide","Fernando de Noronha"
"28",10,0.0556951548728642,0.0615280414028897,0.0512732786604563,"samples",45.7054739108239,2.152,"hightide","Fernando de Noronha"
"29",11,0.0530730940130543,0.0588691883742821,0.049065105976905,"samples",43.55371520768,1.832,"hightide","Fernando de Noronha"
"30",12,0.0508411049116113,0.0558523605329092,0.0475874560829028,"samples",41.7220636057029,1.654,"hightide","Fernando de Noronha"
"31",13,0.0488255667599196,0.0540518695291079,0.0448150304708276,"samples",40.068039541694,1.478,"hightide","Fernando de Noronha"
"32",14,0.0470239207654523,0.0520491466142878,0.0436461914445469,"samples",38.5895431772502,1.152,"hightide","Fernando de Noronha"
"33",15,0.0456205615380885,0.0504903110287186,0.0420146585222815,"samples",37.4378954495403,1.362,"hightide","Fernando de Noronha"
"34",16,0.0439607718303253,0.0486927911193872,0.0403013661411792,"samples",36.0758115239493,1.003,"hightide","Fernando de Noronha"
"35",17,0.0427382675737565,0.0473699698808893,0.039490092595782,"samples",35.0725799765728,0.97,"hightide","Fernando de Noronha"
"36",18,0.0415559305714662,0.0461820729078015,0.0381437006110157,"samples",34.1023111419616,0.957,"hightide","Fernando de Noronha"
"37",19,0.0403897450775382,0.0445145868507346,0.0372662972420231,"samples",33.1452968237579,0.829,"hightide","Fernando de Noronha"
"38",20,0.0393796243860886,0.0435336162859816,0.0363900206894307,"samples",32.316354970284,0.741,"hightide","Fernando de Noronha"
"39",21,0.0384766526519398,0.0425327011022378,0.0351866917711064,"samples",31.5753434562382,0.795,"hightide","Fernando de Noronha"
