"","samples","mean","upper","lower","rel","der","Strata","locality","sv"
"1",2,0.0207408081127666,0.0488019014418038,0,100,5.882,"hightide","Gandoca-Manzanillo","samples"
"2",3,0.0219608556488117,0.0488019014418038,0.00813365024030063,105.882352941176,4.534,"hightide","Gandoca-Manzanillo","samples"
"3",4,0.0229011779355145,0.0492973492198242,0.00610023768022547,110.416034953904,14.566,"hightide","Gandoca-Manzanillo","samples"
"4",5,0.0198799898079887,0.0323494044660661,0.00976038028836076,95.8496395121265,3.972,"hightide","Gandoca-Manzanillo","samples"
"5",6,0.020703849593455,0.0332692927797694,0.010065392172372,99.8218077178545,9.615,"hightide","Gandoca-Manzanillo","samples"
"6",7,0.018709590888263,0.0274947579596388,0.00745352264479165,90.2066630506392,6.53,"hightide","Gandoca-Manzanillo","samples"
"7",8,0.017355298134051,0.0278928123982421,0.00896384208701786,83.6770584814789,10.164,"hightide","Gandoca-Manzanillo","samples"
"8",9,0.0194634595369526,0.0281546110652269,0.0102486646923833,93.8413750859217,3.687,"hightide","Gandoca-Manzanillo","samples"
"9",10,0.0186988091554422,0.0273148924871192,0.0113464420852194,90.1546798648241,3.103,"hightide","Gandoca-Manzanillo","samples"
"10",11,0.0180553248283061,0.023651167285586,0.0117382787330998,87.0521762225481,0.718,"hightide","Gandoca-Manzanillo","samples"
"11",12,0.0179063335441956,0.0230178396305672,0.0107384105301347,86.333827721851,7.225,"hightide","Gandoca-Manzanillo","samples"
"12",13,0.0164078982587028,0.0216786382836522,0.0112533625326226,79.1092524914845,0.461,"hightide","Gandoca-Manzanillo","samples"
"13",14,0.0165034414792225,0.0199566557669512,0.011121255146268,79.5699058083666,2.522,"hightide","Gandoca-Manzanillo","samples"
"14",15,0.0170264419990157,0.0224263739949498,0.0101849072360772,82.0915072664667,5.548,"hightide","Gandoca-Manzanillo","samples"
"15",16,0.015875682788959,0.020192986591213,0.01274852454191,76.5432219547272,4.453,"hightide","Gandoca-Manzanillo","samples"
"16",17,0.0167992583103663,0.0198819159006048,0.0136370836702403,80.9961608970571,2.762,"hightide","Gandoca-Manzanillo","samples"
"17",18,0.0162263913109296,0.020659660999973,0.0113298176278403,78.234132550225,4.086,"hightide","Gandoca-Manzanillo","samples"
"18",19,0.0153789097110925,0.0183717060172421,0.0106248750466008,74.1480738237305,0.178,"hightide","Gandoca-Manzanillo","samples"
"19",20,0.0153418888370001,0.0186448258385483,0.0102509354662146,73.9695809034399,1.578,"hightide","Gandoca-Manzanillo","samples"
"20",21,0.0150146622004371,0.0179160823643224,0.0113324359692088,72.3918861733989,3.884,"hightide","Gandoca-Manzanillo","samples"
"21",22,0.0142090587559902,0.0174430748455,0.010457396895504,68.5077393259529,2.398,"hightide","Gandoca-Manzanillo","samples"
"22",23,0.0147065231977217,0.0170483672139101,0.0115652951243352,70.9062208076133,3.148,"hightide","Gandoca-Manzanillo","samples"
"23",24,0.0140535939983403,0.0163700573018417,0.010760104908298,67.7581795363598,1.247,"hightide","Gandoca-Manzanillo","samples"
"24",25,0.0143122583485457,0.0172462034651986,0.0122990032231006,69.005307173813,3.734,"hightide","Gandoca-Manzanillo","samples"
"25",26,0.0135377721397508,0.0157559320231209,0.0102098206300731,65.2711893680645,0.639,"hightide","Gandoca-Manzanillo","samples"
"26",27,0.0134052461373001,0.0152978950978775,0.0103037876165075,64.6322267889302,1.371,"hightide","Gandoca-Manzanillo","samples"
"27",28,0.013120792457754,0.0153453081642393,0.0114639872881889,63.2607581460517,1.998,"hightide","Gandoca-Manzanillo","samples"
"28",29,0.0127064325567636,0.0148374123053236,0.0101928868546076,61.2629579700049,1.559,"hightide","Gandoca-Manzanillo","samples"
"29",30,0.0123829992761679,0.0147825772461042,0.00946095896648759,59.7035525753974,NA,"hightide","Gandoca-Manzanillo","samples"
"30",2,0.157434242295801,0.18919189242616,0.124838671389265,100,12.111,"midtide","Gandoca-Manzanillo","samples"
"31",3,0.13836683709693,0.158459165556181,0.11674292856334,87.8886543862258,10.454,"midtide","Gandoca-Manzanillo","samples"
"32",4,0.121908747182245,0.136793363900008,0.107611595012635,77.4347088692384,8.655,"midtide","Gandoca-Manzanillo","samples"
"33",5,0.108282498217276,0.116793456650763,0.0951831551256744,68.7795085987871,5.575,"midtide","Gandoca-Manzanillo","samples"
"34",6,0.0995052858864411,0.106670209319297,0.0930807814421153,63.204347691706,3.949,"midtide","Gandoca-Manzanillo","samples"
"35",7,0.0932881972177871,0.101599619178354,0.0863126168544693,59.2553410601165,3.486,"midtide","Gandoca-Manzanillo","samples"
