"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.005502002446785,0.00631114778515985,0.00440469892601349,"sites",100,20.267,"hightide","Isla Gorgona"
"2",3,0.00438693047600776,0.00545923510860657,0.00367525334762739,"sites",79.7333428772135,15.442,"hightide","Isla Gorgona"
"3",4,0.00353728907122571,0.00430874008231941,0.00296181507278163,"sites",64.2909396249482,7.405,"hightide","Isla Gorgona"
"4",5,0.00312983999433902,0.00386895065795556,0.00253003460632136,"sites",56.8854707828764,6.853,"hightide","Isla Gorgona"
"5",6,0.00275280289872471,0.00339383429462017,0.00234173055836946,"sites",50.0327458111776,5.064,"hightide","Isla Gorgona"
"6",7,0.00247418512796189,0.0029828758556337,0.0019699666064308,"sites",44.9688118442702,2.942,"hightide","Isla Gorgona"
"7",8,0.00231232667516715,0.00266562277846664,0.00195817367889807,"sites",42.0270019421442,4.365,"hightide","Isla Gorgona"
"8",9,0.00207216399572686,0.00245049004345569,0.00166930640376627,"sites",37.6619969868915,3.353,"hightide","Isla Gorgona"
"9",10,0.00188769150227902,0.00243665859496415,0.00147922390577846,"sites",34.3091723520054,1.253,"hightide","Isla Gorgona"
"10",11,0.00181874561433847,0.0022154462794049,0.00154562103066459,"sites",33.0560669852341,2.319,"hightide","Isla Gorgona"
"11",12,0.00169113268279051,0.00198485593796567,0.00147238082107142,"sites",30.7366763127976,0.848,"hightide","Isla Gorgona"
"12",13,0.00164445191435985,0.00198800375609885,0.00123170271994359,"sites",29.888243966899,2.253,"hightide","Isla Gorgona"
"13",14,0.00152050113325192,0.00175191156762553,0.00125992709985665,"sites",27.6354136145542,0.138,"hightide","Isla Gorgona"
"14",15,0.00152810787643941,0.00195383754928489,0.00117351917564601,"sites",27.7736677004266,1.596,"hightide","Isla Gorgona"
"15",16,0.00144028575575681,0.00178971581774463,0.00120387550363462,"sites",26.1774830107248,1.457,"hightide","Isla Gorgona"
"16",17,0.00136010151756038,0.00163136550005025,0.0010848015219558,"sites",24.7201183699061,2.165,"hightide","Isla Gorgona"
"17",18,0.00124100713660155,0.00148447243628034,0.000975022842827695,"sites",22.5555540660785,0.515,"hightide","Isla Gorgona"
"18",19,0.00126936714006334,0.0016043568032178,0.00100829194396056,"sites",23.0710028274356,0.572,"hightide","Isla Gorgona"
"19",20,0.00123787176893686,0.00155003067868331,0.00101517977273741,"sites",22.4985681287762,NA,"hightide","Isla Gorgona"
"20",2,0.0535807824350206,0.0568931950657927,0.0506852704795426,"samples",100,16.658,"hightide","Isla Gorgona"
"21",3,0.0446553412755395,0.0461878479216756,0.0422112339856124,"samples",83.3420850650971,10.166,"hightide","Isla Gorgona"
"22",4,0.0392081733021752,0.0403688693010204,0.0381647903013536,"samples",73.1758132679836,7.113,"hightide","Isla Gorgona"
"23",5,0.0353967433551839,0.0366745700840066,0.0341838713762829,"samples",66.0623860767821,5.811,"hightide","Isla Gorgona"
"24",6,0.0322833611113911,0.0332648801465784,0.0312892517650072,"samples",60.2517537897891,4.438,"hightide","Isla Gorgona"
"25",7,0.0299053495139613,0.0308021828381105,0.0292103493609746,"samples",55.8135737383617,3.754,"hightide","Isla Gorgona"
"26",8,0.0278936998299427,0.0286951160544489,0.0269797698101721,"samples",52.0591498710763,2.634,"hightide","Isla Gorgona"
"27",9,0.0264826242256535,0.0271939136964584,0.0258670410104585,"samples",49.4256019082401,2.53,"hightide","Isla Gorgona"
"28",10,0.0251272962757505,0.0259092496890656,0.0245492437230612,"samples",46.8960980669203,2.205,"hightide","Isla Gorgona"
"29",11,0.0239456815479948,0.0246301389084292,0.0233162448940886,"samples",44.6908022984446,1.898,"hightide","Isla Gorgona"
"30",12,0.0229289722854081,0.0236791577840113,0.022504821090411,"samples",42.7932763266661,1.671,"hightide","Isla Gorgona"
"31",13,0.0220336935461458,0.0227262764543676,0.021497966286633,"samples",41.12238109413,1.53,"hightide","Isla Gorgona"
"32",14,0.0212140229319785,0.0217145651470548,0.0207144395608711,"samples",39.59259638977,1.4,"hightide","Isla Gorgona"
"33",15,0.0204639647701267,0.021035913417133,0.0198574699256884,"samples",38.1927322448941,1.096,"hightide","Isla Gorgona"
"34",16,0.0198766195985045,0.0205368009524139,0.0194487478430952,"samples",37.0965459912975,1.082,"hightide","Isla Gorgona"
"35",17,0.0192969210117627,0.0198627496099789,0.0189372779306666,"samples",36.0146308709934,1.023,"hightide","Isla Gorgona"
"36",18,0.018748613794208,0.0192669752905932,0.0182958496645931,"samples",34.9913027435632,0.953,"hightide","Isla Gorgona"
"37",19,0.0182378477339353,0.018732479355295,0.0178481234090241,"samples",34.0380392093994,0.816,"hightide","Isla Gorgona"
"38",20,0.0178008712339186,0.0182677596422117,0.0174992325867342,"samples",33.2224921416673,0.813,"hightide","Isla Gorgona"
"39",21,0.0173654486444168,0.0178422256164028,0.0170092560284781,"samples",32.4098452005185,0.722,"hightide","Isla Gorgona"
"40",22,0.0169785295604411,0.0174073935049001,0.0166970379970648,"samples",31.6877223303553,0.689,"hightide","Isla Gorgona"
"41",23,0.0166094753475015,0.017015677353888,0.0162994553739378,"samples",30.9989413977752,0.721,"hightide","Isla Gorgona"
"42",24,0.0162231384586657,0.0166863130171594,0.0158230675095015,"samples",30.2779051021513,0.591,"hightide","Isla Gorgona"
"43",25,0.0159066286656795,0.0163378357652133,0.0156592331623012,"samples",29.687189963995,0.576,"hightide","Isla Gorgona"
"44",26,0.0155978126903154,0.0160483010432571,0.0152873873158189,"samples",29.1108341115239,0.543,"hightide","Isla Gorgona"
"45",27,0.0153067664088987,0.0157177716526944,0.0150052230045061,"samples",28.5676425637527,0.523,"hightide","Isla Gorgona"
"46",28,0.0150263987709991,0.0154581100047696,0.0147178948676562,"samples",28.0443810039956,0.479,"hightide","Isla Gorgona"
"47",29,0.0147699353495578,0.0152063175070872,0.01450546950088,"samples",27.5657328585483,0.415,"hightide","Isla Gorgona"
"48",30,0.0145475480250888,0.0149411447393614,0.0142567922774066,"samples",27.1506823229601,NA,"hightide","Isla Gorgona"
"49",2,0.0483918430281417,0.0604276323290715,0.0300373129853531,"sites",100,6.351,"midtide","Isla Gorgona"
"50",3,0.0453186564498883,0.0574242360219769,0.0259699583148824,"sites",93.6493706667336,9.827,"midtide","Isla Gorgona"
"51",4,0.0405631725674378,0.0497521440029282,0.0262292760699172,"sites",83.8223345695859,6.434,"midtide","Isla Gorgona"
"52",5,0.0374495844455648,0.0448531974512065,0.0245074556377693,"sites",77.3882169021469,4.797,"midtide","Isla Gorgona"
"53",6,0.0351284633076441,0.0417453207778958,0.0220178696504825,"sites",72.5917037034847,4.499,"midtide","Isla Gorgona"
"54",7,0.0329513082493056,0.0384816461352627,0.0216326885848281,"sites",68.0926912210041,4.317,"midtide","Isla Gorgona"
"55",8,0.0308623493415212,0.0362674071232575,0.0205328823055622,"sites",63.7759329058278,3.532,"midtide","Isla Gorgona"
"56",9,0.029153034135131,0.0338108633000208,0.019069425676131,"sites",60.2436946205528,2.469,"midtide","Isla Gorgona"
