"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.0577006438006438,0.0934566822066821,0.0277462121212121,100,NA,NA,"hightide","MAINE","samples"
"2",3,0.052684843773801,0.0730413158000765,0.0315260174094309,91.3072026645449,8.693,9,"hightide","MAINE","samples"
"3",4,0.0477714774690425,0.0586172287415755,0.0337807132084816,82.7919314628332,8.515,17,"hightide","MAINE","samples"
"4",5,0.0429166163271566,0.0522558647386713,0.0312635162109653,74.3780545593805,8.414,26,"hightide","MAINE","samples"
"5",6,0.0401022759655847,0.0470599168494337,0.0326839356699827,69.5005693595698,4.877,30,"hightide","MAINE","samples"
"6",7,0.0374569792064822,0.0456102119292493,0.030277407647777,64.9160507392195,4.585,35,"hightide","MAINE","samples"
"7",8,0.0351173529638725,0.0410297116531259,0.0294022056400835,60.8612844688583,4.055,39,"hightide","MAINE","samples"
"8",9,0.0330008428524878,0.0378997383158492,0.0265947841290661,57.1931969537566,3.668,43,"hightide","MAINE","samples"
"9",10,0.0314840229805237,0.0370049426348901,0.0256493292115852,54.5644223473508,2.629,45,"hightide","MAINE","samples"
"10",11,0.0297837939558047,0.0352662969332599,0.0232182602562528,51.6177844717087,2.947,48,"hightide","MAINE","samples"
"11",12,0.0286155262507701,0.032561606620621,0.0236642005025345,49.5930796710639,2.025,50,"hightide","MAINE","samples"
"12",13,0.0276426292736678,0.0318658342665058,0.0232552906567288,47.9069685412408,1.686,52,"hightide","MAINE","samples"
"13",14,0.0265163911831472,0.0307167654657454,0.0222300034963599,45.9551045474667,1.952,54,"hightide","MAINE","samples"
"14",15,0.0255735330905305,0.0290938905923718,0.0207690236446843,44.3210532951543,1.634,56,"hightide","MAINE","samples"
"15",16,0.0248977244395011,0.0289602389157556,0.0209427395171618,43.1498208677237,1.171,57,"hightide","MAINE","samples"
"16",17,0.0242483038872123,0.0280424123650459,0.0207064002223607,42.0243212034,1.125,58,"hightide","MAINE","samples"
"17",18,0.0235300339543336,0.0272312054667578,0.0194451607419471,40.7794998538146,1.245,59,"hightide","MAINE","samples"
"18",19,0.0229143031342472,0.0263673350766167,0.0190046552570486,39.712387288808,1.067,60,"hightide","MAINE","samples"
"19",20,0.0224369494860949,0.0260774295247165,0.0188934756290255,38.8850938364132,0.827,61,"hightide","MAINE","samples"
"20",21,0.0218606076950416,0.0249028827023618,0.0179504831515549,37.8862457246928,0.999,62,"hightide","MAINE","samples"
"21",22,0.0214464343524611,0.0247222013387385,0.0177114857860556,37.1684489804978,0.718,63,"hightide","MAINE","samples"
"22",23,0.0208458812411866,0.0237109963392893,0.0176215737549912,36.1276406433337,1.041,64,"hightide","MAINE","samples"
"23",24,0.0204554302968174,0.0232239955147635,0.0173436718572236,35.4509567822,0.677,65,"hightide","MAINE","samples"
"24",25,0.0200502492801105,0.0228224736403179,0.0162564585573282,34.7487444843497,0.702,65,"hightide","MAINE","samples"
"25",26,0.0196607180541073,0.0221882634285827,0.0162779807383038,34.0736545714035,0.675,66,"hightide","MAINE","samples"
"26",27,0.0192738847253122,0.0219228319844902,0.0156782577629068,33.4032403380171,0.67,67,"hightide","MAINE","samples"
"27",28,0.0190222562007325,0.0214712953458203,0.0155803882799719,32.9671472409469,0.436,67,"hightide","MAINE","samples"
"28",29,0.0186630361951786,0.021333000884497,0.0158398868240619,32.3445891863174,0.623,68,"hightide","MAINE","samples"
"29",30,0.0183506321668797,0.0205914651885161,0.0154609276623129,31.8031671020539,0.541,68,"hightide","MAINE","samples"
"30",2,0.0341519647019647,0.0517234432234432,0.0166666666666667,100,NA,NA,"midtide","MAINE","samples"
"31",3,0.0307424491392198,0.0436937491440679,0.0167119700057785,90.0166342039209,9.983,10,"midtide","MAINE","samples"
"32",4,0.0279840368420233,0.037865657805821,0.0183315232755679,81.9397568667942,8.077,18,"midtide","MAINE","samples"
"33",5,0.0264871694562194,0.0337829423003732,0.018436621232271,77.5567955968742,4.383,22,"midtide","MAINE","samples"
"34",6,0.0240946096854323,0.0304758278878396,0.017090695700169,70.5511671018042,7.006,29,"midtide","MAINE","samples"
"35",7,0.0221155843518459,0.0280312205276631,0.0165795341147166,64.7564043382067,5.795,35,"midtide","MAINE","samples"
"36",8,0.0215168233777107,0.0279743805710931,0.0154572483674671,63.0031787789733,1.753,37,"midtide","MAINE","samples"
"37",9,0.0201868124129295,0.0248470698603034,0.0157608308026772,59.1087879982734,3.894,41,"midtide","MAINE","samples"
"38",10,0.0191210951300298,0.0237575717940452,0.0144030793638648,55.9882727008377,3.121,44,"midtide","MAINE","samples"
"39",11,0.0184894955029737,0.0227853364905274,0.0145689567658536,54.1388926356851,1.849,46,"midtide","MAINE","samples"
"40",12,0.0177533771868497,0.0213216551585809,0.0137108789643495,51.983472522822,2.155,48,"midtide","MAINE","samples"
"41",13,0.0170717229318008,0.0207977586496634,0.0133447808197809,49.9875280405717,1.996,50,"midtide","MAINE","samples"
"42",14,0.0162837556286763,0.0199920365096963,0.0124323062750888,47.6802894673275,2.307,52,"midtide","MAINE","samples"
"43",15,0.0157766451710144,0.0195094682622812,0.0115691630134276,46.1954247982307,1.485,54,"midtide","MAINE","samples"
"44",16,0.0153534147207968,0.0184986491368124,0.0118749589768702,44.9561682754773,1.239,55,"midtide","MAINE","samples"
"45",17,0.0151532685970405,0.0182503763271851,0.0118841672661371,44.3701225662393,0.586,56,"midtide","MAINE","samples"
"46",18,0.0146527532963573,0.0177541817397232,0.0117111430943183,42.9045691052566,1.466,57,"midtide","MAINE","samples"
"47",19,0.0141528549578904,0.0169056800793069,0.0112600919862898,41.4408221646944,1.464,59,"midtide","MAINE","samples"
"48",20,0.013855818314356,0.0164953110662579,0.0109681706816752,40.5710723680822,0.87,59,"midtide","MAINE","samples"
"49",21,0.0134626874436957,0.0162182719397283,0.0107463305354236,39.419950100034,1.151,61,"midtide","MAINE","samples"
"50",22,0.0131574290509685,0.0155754237335554,0.0101215770589978,38.5261262881653,0.894,61,"midtide","MAINE","samples"
"51",23,0.0128833932668529,0.0153519331022489,0.0103292824546475,37.7237250602797,0.802,62,"midtide","MAINE","samples"
"52",24,0.012703399418459,0.0152145499154051,0.0102588610130954,37.1966870114742,0.527,63,"midtide","MAINE","samples"
"53",25,0.0124594699408125,0.0149560298344255,0.00995455390676003,36.4824397352921,0.714,64,"midtide","MAINE","samples"
"54",26,0.0122197664862883,0.0140388094043928,0.0098421319861621,35.7805666318967,0.702,64,"midtide","MAINE","samples"
"55",27,0.0119344488542695,0.0143394942333857,0.00964707866824708,34.9451311466802,0.835,65,"midtide","MAINE","samples"
"56",28,0.0117697400381048,0.0136606031798189,0.00951639488532958,34.4628490361134,0.482,66,"midtide","MAINE","samples"
"57",29,0.0115688354813322,0.0135366990030735,0.0090943585915924,33.8745825673294,0.588,66,"midtide","MAINE","samples"
"58",30,0.011337457401597,0.0133493057405245,0.00922810857962436,33.1970869041826,0.677,67,"midtide","MAINE","samples"
