"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.134595686026471,0.173139919719562,0.0397904217539338,"sites",100,NA,NA,"hightide","MASSACHUSETTS"
"2",3,0.116993073454597,0.146979569756616,0.0330057280544624,"sites",86.9218597627177,13.078,13,"hightide","MASSACHUSETTS"
"3",2,0.17050535719357,0.206390705488166,0.144963312304611,"samples",100,NA,NA,"hightide","MASSACHUSETTS"
"4",3,0.142052618044338,0.168589319572828,0.122038532424583,"samples",83.3127007751839,16.687,17,"hightide","MASSACHUSETTS"
"5",4,0.124074828735721,0.152080234366963,0.105614812922742,"samples",72.7688741151176,10.544,27,"hightide","MASSACHUSETTS"
"6",5,0.111045672607225,0.13396687090652,0.0937494412428246,"samples",65.1273804148906,7.641,35,"hightide","MASSACHUSETTS"
"7",6,0.101207889925744,0.120731596775519,0.0877597664565848,"samples",59.3576011871848,5.77,41,"hightide","MASSACHUSETTS"
"8",7,0.0941687034657227,0.11391789783199,0.0803244914859265,"samples",55.229175795817,4.128,45,"hightide","MASSACHUSETTS"
"9",8,0.0876209185796674,0.103305440426963,0.0739344685789633,"samples",51.3889534158118,3.84,49,"hightide","MASSACHUSETTS"
"10",9,0.0829681060011302,0.0987495096974027,0.0713380650196627,"samples",48.6601168237421,2.729,51,"hightide","MASSACHUSETTS"
"11",10,0.0784083298791683,0.0929944126312157,0.0671476702852908,"samples",45.9858453539107,2.674,54,"hightide","MASSACHUSETTS"
"12",11,0.0748842736043718,0.0896304270252076,0.0644192600730697,"samples",43.919015118896,2.067,56,"hightide","MASSACHUSETTS"
"13",12,0.0717905211838256,0.0844912492753047,0.0614977981859713,"samples",42.104554581428,1.814,58,"hightide","MASSACHUSETTS"
"14",13,0.0690288888453311,0.0817631826445991,0.0599093443470428,"samples",40.4848797606778,1.62,60,"hightide","MASSACHUSETTS"
"15",14,0.0664540067871255,0.0778671157275843,0.0572753155993712,"samples",38.9747324547005,1.51,61,"hightide","MASSACHUSETTS"
"16",15,0.0643199616493143,0.0761239762810202,0.0553870683983927,"samples",37.7231324035722,1.252,62,"hightide","MASSACHUSETTS"
"17",16,0.0622263716510123,0.0733232251769952,0.0531727517129384,"samples",36.4952589614931,1.228,64,"hightide","MASSACHUSETTS"
"18",17,0.0604138227690897,0.071143902516244,0.0522704276730848,"samples",35.4322138397701,1.063,65,"hightide","MASSACHUSETTS"
"19",18,0.0587281730488942,0.0688480933157906,0.0508401395182199,"samples",34.443594040404,0.989,66,"hightide","MASSACHUSETTS"
"20",19,0.0572156419991431,0.0678044536112851,0.0489695533931145,"samples",33.5565069279246,0.887,66,"hightide","MASSACHUSETTS"
"21",20,0.0556189422574125,0.0650506632497308,0.0478092890912413,"samples",32.6200555647467,0.936,67,"hightide","MASSACHUSETTS"
"22",21,0.0542942291374636,0.0644306269400327,0.0466160538802621,"samples",31.8431221347636,0.777,68,"hightide","MASSACHUSETTS"
"23",22,0.0529740233188385,0.0626199137451094,0.0455535019620211,"samples",31.0688322002097,0.774,69,"hightide","MASSACHUSETTS"
"24",23,0.0519094216726632,0.0614263201595293,0.0444793596102063,"samples",30.4444520260626,0.624,70,"hightide","MASSACHUSETTS"
"25",24,0.0508767789957518,0.0594967870023606,0.0436356785317948,"samples",29.8388155264779,0.606,70,"hightide","MASSACHUSETTS"
"26",25,0.0498160286345757,0.0592364816581328,0.0430085665301086,"samples",29.2166940995413,0.622,71,"hightide","MASSACHUSETTS"
"27",26,0.048876546100337,0.0577922042231944,0.0422132138187646,"samples",28.6656952630812,0.551,71,"hightide","MASSACHUSETTS"
"28",27,0.0478205863645783,0.0567190942343377,0.0412341773222561,"samples",28.0463834988415,0.619,72,"hightide","MASSACHUSETTS"
"29",28,0.0470363658211015,0.0556516110910496,0.0404327267991285,"samples",27.586444552415,0.46,72,"hightide","MASSACHUSETTS"
"30",29,0.0462671931258869,0.0545477761164748,0.0397471164777768,"samples",27.1353310461448,0.451,73,"hightide","MASSACHUSETTS"
"31",30,0.045513360541108,0.0537294257973424,0.0391220271619868,"samples",26.6932143894094,0.442,73,"hightide","MASSACHUSETTS"
"32",2,0.0629403324882252,0.081264184283412,0.0312791542387268,"sites",100,NA,NA,"midtide","MASSACHUSETTS"
"33",3,0.0546027160115514,0.0696562237533594,0.0264103134007785,"sites",86.7531419885118,13.247,13,"midtide","MASSACHUSETTS"
"34",2,0.185482826802082,0.212047050789273,0.161567439061067,"samples",100,NA,NA,"midtide","MASSACHUSETTS"
"35",3,0.154525207856102,0.171062770282197,0.13758042601635,"samples",83.3097114812614,16.69,17,"midtide","MASSACHUSETTS"
"36",4,0.13520099345028,0.148525022684899,0.122220704907842,"samples",72.8913807177118,10.418,27,"midtide","MASSACHUSETTS"
"37",5,0.120184685409631,0.132605154007391,0.108934081454769,"samples",64.7955864603426,8.096,35,"midtide","MASSACHUSETTS"
"38",6,0.110606506250683,0.120917451193024,0.10118438024775,"samples",59.6316694961223,5.164,40,"midtide","MASSACHUSETTS"
"39",7,0.102323319415419,0.108991987380094,0.0926314019838039,"samples",55.1659262367197,4.466,45,"midtide","MASSACHUSETTS"
"40",8,0.0958171576549471,0.103600525378236,0.0888227716836376,"samples",51.6582366717907,3.508,48,"midtide","MASSACHUSETTS"
"41",9,0.0904037593112024,0.0969409607469532,0.0823899370700208,"samples",48.7396924393798,2.919,51,"midtide","MASSACHUSETTS"
"42",10,0.0858695043056757,0.0919000939902063,0.0795055730383334,"samples",46.295123805344,2.445,54,"midtide","MASSACHUSETTS"
"43",11,0.0818041188107061,0.0882049518719568,0.0754797184963358,"samples",44.1033384174129,2.192,56,"midtide","MASSACHUSETTS"
"44",12,0.0782985974715878,0.0846401890191794,0.0703341928831595,"samples",42.2133945344362,1.89,58,"midtide","MASSACHUSETTS"
"45",13,0.0751900617301004,0.081259804537899,0.0693201626515806,"samples",40.5374788741663,1.676,59,"midtide","MASSACHUSETTS"
"46",14,0.0726790798173488,0.0784441059571024,0.0676118813568007,"samples",39.1837244829681,1.354,61,"midtide","MASSACHUSETTS"
"47",15,0.069974305268958,0.0757038670141895,0.0643717245277608,"samples",37.7254899956984,1.458,62,"midtide","MASSACHUSETTS"
"48",16,0.0678935162598934,0.0739848903181851,0.0625589373924767,"samples",36.6036669973435,1.122,63,"midtide","MASSACHUSETTS"
"49",17,0.0660015398184575,0.0714176114167179,0.0601981541396706,"samples",35.5836391737139,1.02,64,"midtide","MASSACHUSETTS"
"50",18,0.0640013249428045,0.069310462314307,0.0585768526966436,"samples",34.5052563874804,1.078,65,"midtide","MASSACHUSETTS"
"51",19,0.0623565325685005,0.0679594563030197,0.0573302839439292,"samples",33.6184937676401,0.887,66,"midtide","MASSACHUSETTS"
"52",20,0.0606722968658055,0.0659285645375742,0.0555033846097533,"samples",32.7104659293043,0.908,67,"midtide","MASSACHUSETTS"
"53",21,0.0592803974545743,0.06416559160133,0.0545382374868308,"samples",31.9600463701305,0.75,68,"midtide","MASSACHUSETTS"
"54",22,0.0579361215250492,0.062944623108861,0.0531267045291425,"samples",31.2353022238924,0.725,69,"midtide","MASSACHUSETTS"
"55",23,0.0566912863549666,0.0610433793476124,0.0520030510292091,"samples",30.5641699193309,0.671,69,"midtide","MASSACHUSETTS"
"56",24,0.0554521488220923,0.0599236768281183,0.05127670652672,"samples",29.8961094016871,0.668,70,"midtide","MASSACHUSETTS"
"57",25,0.0543786409365945,0.058919220096788,0.0501645888591151,"samples",29.3173453705333,0.579,71,"midtide","MASSACHUSETTS"
"58",26,0.0532573543459712,0.0575598513663639,0.0490225181945598,"samples",28.7128222403032,0.605,71,"midtide","MASSACHUSETTS"
"59",27,0.0522696970582557,0.0566569256346237,0.0484344224007499,"samples",28.1803431398151,0.532,72,"midtide","MASSACHUSETTS"
"60",28,0.0513842929392222,0.0557910000129158,0.0474947653084779,"samples",27.7029921449555,0.477,72,"midtide","MASSACHUSETTS"
"61",29,0.0504851425669408,0.0543832881014261,0.0461768211884276,"samples",27.2182300848857,0.485,73,"midtide","MASSACHUSETTS"
"62",30,0.0496171043580584,0.053439497729976,0.0455518430338783,"samples",26.7502416334219,0.468,73,"midtide","MASSACHUSETTS"
