"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.0751017501017501,0.103724747474747,0.035753367003367,100,NA,NA,"hightide","MAINE","samples"
"2",3,0.0493012288586469,0.0703709000927875,0.0219857793931639,65.6459121017182,34.354,34,"hightide","MAINE","samples"
"3",4,0.0508274428719898,0.0599733869859022,0.0407327425455245,67.6781071055298,2.032,36,"hightide","MAINE","samples"
"4",5,0.0427465186146692,0.0484311953255358,0.0332847772434722,56.918139133582,10.76,47,"hightide","MAINE","samples"
"5",6,0.0422140388366773,0.0504924707227756,0.0340696097188632,56.2091279890075,0.709,48,"hightide","MAINE","samples"
"6",7,0.0362744575666523,0.0457965877831283,0.0248708281222276,48.3004157925835,7.909,56,"hightide","MAINE","samples"
"7",8,0.0337715352370757,0.0415501299017752,0.025075230221508,44.9677073987238,3.333,59,"hightide","MAINE","samples"
"8",9,0.0336200726117926,0.0420053851081016,0.0262029265276124,44.7660308398181,0.202,59,"hightide","MAINE","samples"
"9",10,0.0318644440254045,0.0396832983806487,0.0254228055257929,42.4283641622646,2.338,62,"hightide","MAINE","samples"
"10",11,0.0298261515694667,0.0349292023889604,0.0260317530659603,39.7143229406204,2.714,64,"hightide","MAINE","samples"
"11",12,0.0276295361158295,0.0320118248643449,0.0225207224263493,36.7894703896995,2.925,67,"hightide","MAINE","samples"
"12",13,0.0258219418578773,0.0316364750335882,0.0214261460683136,34.3826100229262,2.407,70,"hightide","MAINE","samples"
"13",14,0.0253529605835621,0.03006226988672,0.0208307947342325,33.7581488436862,0.624,70,"hightide","MAINE","samples"
"14",15,0.0252865575768942,0.0297331663879298,0.0219028690503176,33.669731454507,0.088,70,"hightide","MAINE","samples"
"15",16,0.0246035221977068,0.0308110811099091,0.0210204299816492,32.7602514779924,0.909,71,"hightide","MAINE","samples"
"16",17,0.0240192510940224,0.0295623884702275,0.0166185578302245,31.9822787904149,0.778,72,"hightide","MAINE","samples"
"17",18,0.0230791517838505,0.0268418417309464,0.0200750699091983,30.7305112764778,1.252,73,"hightide","MAINE","samples"
"18",19,0.0231663816363881,0.0264699792331053,0.0197966404387227,30.8466601710367,0.116,73,"hightide","MAINE","samples"
"19",20,0.0221831168579375,0.0267741703131439,0.020231375908226,29.5374166752215,1.309,75,"hightide","MAINE","samples"
"20",21,0.0214767523428031,0.0251008353313501,0.0180968326504674,28.5968733267943,0.941,76,"hightide","MAINE","samples"
"21",22,0.0209336536955194,0.0247234972593762,0.0159374719076348,27.8737228721806,0.723,76,"hightide","MAINE","samples"
"22",23,0.0204954989351066,0.0235841974481643,0.0175438654813793,27.2903080252307,0.583,77,"hightide","MAINE","samples"
"23",24,0.020004539655363,0.0235246157522053,0.0160176478857737,26.6365825407001,0.654,78,"hightide","MAINE","samples"
"24",25,0.0194610841331744,0.0238928425336969,0.016349560255551,25.9129568975528,0.724,78,"hightide","MAINE","samples"
"25",26,0.0193049684138338,0.0225630605559351,0.0155551097306787,25.7050846187723,0.208,79,"hightide","MAINE","samples"
"26",27,0.0194713589413072,0.0232853878254515,0.0171887122574617,25.9266380809059,0.222,79,"hightide","MAINE","samples"
"27",28,0.0189173029562501,0.0222915242941855,0.0159530975854202,25.1888976363671,0.738,80,"hightide","MAINE","samples"
"28",29,0.0179369466197307,0.0206081842774124,0.0141737508019839,23.8835268092011,1.305,81,"hightide","MAINE","samples"
"29",30,0.0179280324120134,0.0206141120426452,0.0143089714671208,23.8716573018924,0.012,81,"hightide","MAINE","samples"
"30",2,0.0289010989010989,0.0562576312576313,0.0111111111111111,100,NA,NA,"midtide","MAINE","samples"
"31",3,0.0282991371916472,0.0457825803980721,0.0104331847948214,97.9171667087412,2.083,2,"midtide","MAINE","samples"
"32",4,0.0250954909630029,0.0452361085832024,0.0111111111111111,86.8323071343445,11.085,13,"midtide","MAINE","samples"
"33",5,0.0224894459355759,0.0316355549370314,0.01427488656818,77.8151931611183,9.017,22,"midtide","MAINE","samples"
"34",6,0.0237070595233017,0.0309433797968874,0.0182510740672629,82.0282287688386,4.213,26,"midtide","MAINE","samples"
"35",7,0.0189550310116753,0.0254629073910825,0.0126098476729827,65.5858487476218,16.442,43,"midtide","MAINE","samples"
"36",8,0.0187840187743071,0.022719362192748,0.0107384919646673,64.9941334015949,0.592,43,"midtide","MAINE","samples"
"37",9,0.0204088039751886,0.0240387780671535,0.0164480856918801,70.6160137544548,5.622,49,"midtide","MAINE","samples"
"38",10,0.0173657954145912,0.0206856737368665,0.0124901288390128,60.0869727272926,10.529,60,"midtide","MAINE","samples"
"39",11,0.0169376778797813,0.0225881310482787,0.0116674622243269,58.6056535003838,1.481,61,"midtide","MAINE","samples"
"40",12,0.0159294696782869,0.0190831515010697,0.0141510954595328,55.1171764533881,3.488,65,"midtide","MAINE","samples"
"41",13,0.0158735788084291,0.0172848585842848,0.0132020306161415,54.9237897934239,0.193,65,"midtide","MAINE","samples"
"42",14,0.0154444295369742,0.0187740256548323,0.0100484405332954,53.4389006792642,1.485,66,"midtide","MAINE","samples"
"43",15,0.014754540175444,0.0182603376695675,0.00959925749028117,51.0518310253004,2.387,69,"midtide","MAINE","samples"
"44",16,0.0141064303038998,0.0159847292805127,0.0122102682640476,48.8093215838358,2.243,71,"midtide","MAINE","samples"
"45",17,0.013552794645262,0.0155986316079338,0.0116494840452151,46.893700103378,1.916,73,"midtide","MAINE","samples"
"46",18,0.0132762586408819,0.0150523827155195,0.0108144426977823,45.936864498869,0.957,74,"midtide","MAINE","samples"
