"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.125924408409738,0.152078375069845,0.0914815507264694,"sites",100,NA,NA,"hightide","MASSACHUSETTS"
"2",3,0.109493765268577,0.123165839424949,0.0810263208765306,"sites",86.9519790891546,13.048,13,"hightide","MASSACHUSETTS"
"3",2,0.169212789516608,0.203040818533084,0.148024675974141,"samples",100,NA,NA,"hightide","MASSACHUSETTS"
"4",3,0.141235605424323,0.158651073811027,0.12512340425062,"samples",83.4662709762021,16.534,17,"hightide","MASSACHUSETTS"
"5",4,0.121871139091506,0.144574046370711,0.101766218423687,"samples",72.022415941287,11.444,28,"hightide","MASSACHUSETTS"
"6",5,0.113153338250853,0.125939831279861,0.0951775566514232,"samples",66.8704408065725,5.152,33,"hightide","MASSACHUSETTS"
"7",6,0.103488109570442,0.119069352751358,0.0937331512712435,"samples",61.1585624621386,5.712,39,"hightide","MASSACHUSETTS"
"8",7,0.0945384667142061,0.101211591369774,0.0836001532633656,"samples",55.8695752160786,5.289,44,"hightide","MASSACHUSETTS"
"9",8,0.0869989031264623,0.0958057143044632,0.0772935573834007,"samples",51.4139051634294,4.456,49,"hightide","MASSACHUSETTS"
"10",9,0.0836381046011096,0.0924191264263061,0.0763050185516668,"samples",49.4277677473667,1.986,51,"hightide","MASSACHUSETTS"
"11",10,0.078903243672542,0.0872377943905319,0.0739916924694039,"samples",46.6295980924053,2.798,53,"hightide","MASSACHUSETTS"
"12",11,0.0750775157078886,0.081405045124397,0.0695242354714052,"samples",44.3687004524678,2.261,56,"hightide","MASSACHUSETTS"
"13",12,0.071331585482167,0.0776652500743455,0.0644173212619785,"samples",42.1549610321659,2.214,58,"hightide","MASSACHUSETTS"
"14",13,0.0673464255224098,0.0741293771191138,0.0600260833331126,"samples",39.7998435666707,2.355,60,"hightide","MASSACHUSETTS"
"15",14,0.0660064034740445,0.070366971736446,0.0583225423737328,"samples",39.0079282202047,0.792,61,"hightide","MASSACHUSETTS"
"16",15,0.0631228250604615,0.0667441497323396,0.0578943703420054,"samples",37.3038144698076,1.704,63,"hightide","MASSACHUSETTS"
"17",16,0.0620122565833983,0.0662470313102295,0.0582055727347821,"samples",36.6474997312847,0.656,63,"hightide","MASSACHUSETTS"
