"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.05939767473016,0.0672774943080822,0.0501561027572742,"sites",100,11.824,"hightide","Puerto Madryn"
"2",3,0.0523745963278871,0.0581435718236991,0.0469738803651837,"sites",88.1761728313804,8.561,"hightide","Puerto Madryn"
"3",4,0.0472894208240296,0.0511752466701965,0.0423776138391218,"sites",79.6149361719336,7.457,"hightide","Puerto Madryn"
"4",5,0.0428603661289935,0.0458778377918745,0.0388773379230934,"sites",72.1583232402707,6.013,"hightide","Puerto Madryn"
"5",6,0.0392889912313453,0.0420314108274245,0.0351311248198875,"sites",66.1456722166865,3.918,"hightide","Puerto Madryn"
"6",7,0.0369618972453056,0.038941213975113,0.0337320268293887,"sites",62.2278522067087,3.921,"hightide","Puerto Madryn"
"7",8,0.0346326635019871,0.0367880078023317,0.0312376920356387,"sites",58.3064297707296,2.994,"hightide","Puerto Madryn"
"8",9,0.032854548739421,0.034707202075837,0.0301844300580189,"sites",55.3128533880781,2.861,"hightide","Puerto Madryn"
"9",10,0.0311549563246384,0.0328032609156455,0.0286586326250095,"sites",52.4514746851177,2.423,"hightide","Puerto Madryn"
"10",11,0.029715566352592,0.0315987139535188,0.0272389658884999,"sites",50.0281643811614,2.13,"hightide","Puerto Madryn"
"11",12,0.028450381643069,0.0303139086741001,0.0262003366846316,"sites",47.8981404109123,1.812,"hightide","Puerto Madryn"
"12",13,0.0273741548936247,0.0289171695203171,0.0251635570439837,"sites",46.0862399378154,1.631,"hightide","Puerto Madryn"
"13",14,0.0264055354663487,0.0281542072339062,0.0243078417166708,"sites",44.455503664592,1.58,"hightide","Puerto Madryn"
"14",15,0.0254667711130726,0.0268653642656946,0.0228505495084736,"sites",42.875030426303,1.035,"hightide","Puerto Madryn"
"15",16,0.0248518972444839,0.0264867265818168,0.0229993581269792,"sites",41.8398487102138,1.258,"hightide","Puerto Madryn"
"16",17,0.0241045860978845,0.0255833279565748,0.0220695190435483,"sites",40.5816998853746,1.171,"hightide","Puerto Madryn"
"17",18,0.0234087529151631,0.0247923528829484,0.0216922054621813,"sites",39.4102176920352,1.129,"hightide","Puerto Madryn"
"18",19,0.0227378624488359,0.0241263282365662,0.0206654185105933,"sites",38.2807282475831,0.786,"hightide","Puerto Madryn"
"19",20,0.0222709535305552,0.0235966895694189,0.0205850048612891,"sites",37.4946555260468,NA,"hightide","Puerto Madryn"
"20",2,0.141363672690074,0.146038142263597,0.135440325653586,"samples",100,17.924,"hightide","Puerto Madryn"
"21",3,0.116025436077292,0.122269210920137,0.109721024155322,"samples",82.0758500889165,10.743,"hightide","Puerto Madryn"
"22",4,0.100838975785329,0.104747448596861,0.0963693828680125,"samples",71.3330192024713,7.515,"hightide","Puerto Madryn"
"23",5,0.0902151248192841,0.0941937310268147,0.0862233905359035,"samples",63.8177567847094,5.475,"hightide","Puerto Madryn"
"24",6,0.0824759373919852,0.085861845990545,0.0790758875277056,"samples",58.3430918442573,4.376,"hightide","Puerto Madryn"
"25",7,0.0762905118251129,0.0788727329869934,0.0727356011933565,"samples",53.9675507670011,3.482,"hightide","Puerto Madryn"
"26",8,0.0713675758471946,0.0742137340166408,0.0682462488619661,"samples",50.485088912242,2.829,"hightide","Puerto Madryn"
"27",9,0.0673680272371425,0.0700399482331733,0.0644824299426539,"samples",47.6558269569299,2.507,"hightide","Puerto Madryn"
"28",10,0.0638238896504291,0.0664588422605377,0.0610295998811335,"samples",45.1487206266611,2.06,"hightide","Puerto Madryn"
"29",11,0.0609119820497431,0.063565812757286,0.058080342645208,"samples",43.0888508275295,1.794,"hightide","Puerto Madryn"
"30",12,0.0583757146105373,0.0609814395014591,0.0558186059845505,"samples",41.2947071193604,1.668,"hightide","Puerto Madryn"
"31",13,0.0560180868559361,0.0584686669890291,0.0532154393431565,"samples",39.6269322874416,1.411,"hightide","Puerto Madryn"
"32",14,0.0540229518832514,0.0562886138102716,0.0512852871850169,"samples",38.215583151756,1.256,"hightide","Puerto Madryn"
"33",15,0.0522474890682394,0.0542734599140861,0.0500463063931009,"samples",36.9596290715981,1.205,"hightide","Puerto Madryn"
"34",16,0.0505435442231706,0.0525363869144411,0.0482659619057871,"samples",35.7542664684317,1.049,"hightide","Puerto Madryn"
"35",17,0.0490612381807667,0.0509438663414712,0.0467534604215307,"samples",34.7056901162498,0.944,"hightide","Puerto Madryn"
"36",18,0.0477268291961018,0.049608403774212,0.0455934895793531,"samples",33.7617354500532,0.951,"hightide","Puerto Madryn"
"37",19,0.0463825518890349,0.0483515190223486,0.0441524059998381,"samples",32.8107999788065,0.855,"hightide","Puerto Madryn"
"38",20,0.0451732410941873,0.0470848613334374,0.0430529584411048,"samples",31.9553391862032,0.776,"hightide","Puerto Madryn"
"39",21,0.044076513130037,0.0459525462934616,0.0420851495203175,"samples",31.1795189607661,0.651,"hightide","Puerto Madryn"
"40",22,0.043156857375107,0.0449944178908369,0.0411288307874006,"samples",30.5289587868336,0.707,"hightide","Puerto Madryn"
"41",23,0.0421568816331171,0.0438941337764572,0.0403291184914085,"samples",29.8215806302245,0.651,"hightide","Puerto Madryn"
"42",24,0.0412365731718904,0.0430480775143262,0.0393286525618308,"samples",29.1705587349146,0.579,"hightide","Puerto Madryn"
"43",25,0.0404179205134088,0.0422223827387538,0.0386286267054054,"samples",28.5914476783729,0.538,"hightide","Puerto Madryn"
"44",26,0.0396573517403829,0.0413753919823222,0.0379612711124003,"samples",28.0534248903732,0.494,"hightide","Puerto Madryn"
"45",27,0.0389586588711971,0.0405382820385896,0.0371661854192502,"samples",27.5591728269611,0.572,"hightide","Puerto Madryn"
"46",28,0.0381501110658463,0.039797876788905,0.0363862499366159,"samples",26.9872098961992,0.433,"hightide","Puerto Madryn"
"47",29,0.0375374871287629,0.0391364089192271,0.0356511993642983,"samples",26.5538425922621,0.417,"hightide","Puerto Madryn"
"48",30,0.0369473248031233,0.0384371134689924,0.0353146091353866,"samples",26.1363645270639,NA,"hightide","Puerto Madryn"
"49",2,0.0804559162588276,0.0872991875801647,0.0719956312448527,"sites",100,13.705,"midtide","Puerto Madryn"
"50",3,0.069429071457586,0.0762887488020379,0.0623601680356715,"sites",86.2945507130039,9.707,"midtide","Puerto Madryn"
"51",4,0.0616192906783309,0.0666504929029553,0.0565356309125473,"sites",76.5876439466564,7.306,"midtide","Puerto Madryn"
