"","samples","mean","upper","lower","rel","der","Strata","locality","sv"
"1",2,0.246411405165938,0.297851130897583,0.199743823758873,100,21.482,"hightide","Punta Arenas","samples"
"2",3,0.193477835556538,0.217391750506382,0.16073857262876,78.5182144577466,6.935,"hightide","Punta Arenas","samples"
"3",4,0.176388956694528,0.196037137032235,0.147491042163413,71.5831138480558,6.315,"hightide","Punta Arenas","samples"
"4",5,0.160828390082563,0.175475744615919,0.145751410242227,65.2682411247395,6.253,"hightide","Punta Arenas","samples"
"5",6,0.145420017999361,0.156653481859982,0.132966303631941,59.0151328025715,4.546,"hightide","Punta Arenas","samples"
"6",7,0.134217113474397,0.141547400966748,0.122022725971252,54.4687099138179,2.844,"hightide","Punta Arenas","samples"
"7",8,0.12720875731602,0.134852645321211,0.117400672525765,51.6245411734719,2.672,"hightide","Punta Arenas","samples"
"8",9,0.120624374963857,0.129080735051098,0.109797539393088,48.9524317604643,2.987,"hightide","Punta Arenas","samples"
"9",10,0.113263183196962,0.119909467393354,0.107152645030339,45.965073378275,2.007,"hightide","Punta Arenas","samples"
"10",11,0.10831862835863,0.113512991113724,0.100953713316881,43.9584475749757,1.775,"hightide","Punta Arenas","samples"
"11",12,0.103945300452426,0.108894401244072,0.0983580959647967,42.1836401535179,1.728,"hightide","Punta Arenas","samples"
"12",13,0.0996866545751171,0.104116887872817,0.0960737338714405,40.4553736090203,1.155,"hightide","Punta Arenas","samples"
"13",14,0.0968404870640512,0.101122300420028,0.0920914590314535,39.3003266219909,1.87,"hightide","Punta Arenas","samples"
"14",15,0.0922321903960265,0.0953128766357095,0.0883297138329974,37.4301629155175,0.96,"hightide","Punta Arenas","samples"
"15",16,0.089867068796775,0.0944507081260679,0.0872624926688979,36.4703365642742,0.908,"hightide","Punta Arenas","samples"
"16",17,0.0876296630428634,0.0918192021057938,0.0819698603728028,35.56234054339,0.969,"hightide","Punta Arenas","samples"
"17",18,0.0852418942884035,0.0892911898427911,0.0804690351365146,34.5933234019748,1.126,"hightide","Punta Arenas","samples"
"18",19,0.0824680778750163,0.0858327975438545,0.0776738805211532,33.4676383260266,0.85,"hightide","Punta Arenas","samples"
"19",20,0.080373806692895,0.0839061304991486,0.0770584985943319,32.6177299458885,0.691,"hightide","Punta Arenas","samples"
"20",21,0.078670972363143,0.0812721535366891,0.075967452238154,31.9266765717133,0.782,"hightide","Punta Arenas","samples"
"21",22,0.0767430771847716,0.0800886958897172,0.0719012715696758,31.1442877950764,0.813,"hightide","Punta Arenas","samples"
"22",23,0.074739376428395,0.0781281759978389,0.0711815873579977,30.3311351915972,0.395,"hightide","Punta Arenas","samples"
"23",24,0.0737650125827865,0.0765299738016274,0.0708869837004333,29.9357136221482,0.832,"hightide","Punta Arenas","samples"
"24",25,0.071714921365647,0.0746089375571805,0.0684730807926751,29.103734592704,0.584,"hightide","Punta Arenas","samples"
"25",26,0.0702767379409446,0.0733548035917628,0.0670018404901375,28.5200832703417,0.491,"hightide","Punta Arenas","samples"
"26",27,0.0690678055205158,0.0724784350413174,0.0662497867559461,28.0294678219152,0.461,"hightide","Punta Arenas","samples"
"27",28,0.0679321767795038,0.0700366302123683,0.0661741677325565,27.5686008664075,0.342,"hightide","Punta Arenas","samples"
"28",29,0.0670896147162189,0.0692863225030118,0.0650297592556969,27.2266678042112,0.478,"hightide","Punta Arenas","samples"
"29",30,0.0659129800872341,0.0697422676063157,0.0631289649106443,26.7491596189905,NA,"hightide","Punta Arenas","samples"
"30",2,0.273484196460874,0.314991379355148,0.22644007110897,100,15.227,"midtide","Punta Arenas","samples"
"31",3,0.231840925388021,0.244827947166629,0.211618841386539,84.773061254817,11.989,"midtide","Punta Arenas","samples"
"32",4,0.199052804985552,0.213925852790668,0.183370592951025,72.7840246571724,6.973,"midtide","Punta Arenas","samples"
"33",5,0.179983967567808,0.188619494859908,0.166867370191202,65.8114691440891,6.313,"midtide","Punta Arenas","samples"
"34",6,0.162718243846055,0.171627422472729,0.151619544872737,59.4982254740027,3.863,"midtide","Punta Arenas","samples"
"35",7,0.152153929292058,0.161559517075685,0.145721256729014,55.6353644053527,3.982,"midtide","Punta Arenas","samples"
"36",8,0.141264446849945,0.146559545149533,0.137247172448211,51.6536050996846,2.987,"midtide","Punta Arenas","samples"
"37",9,0.133095347549499,0.140652857962979,0.125393522961323,48.6665588987844,2.455,"midtide","Punta Arenas","samples"
"38",10,0.126381252187523,0.133388547321599,0.122625906757051,46.2115375670725,1.777,"midtide","Punta Arenas","samples"
"39",11,0.121521992041202,0.127295567525075,0.115831253513006,44.4347401472564,1.753,"midtide","Punta Arenas","samples"
"40",12,0.11672786858028,0.119948709435132,0.112205347493219,42.6817600763924,2.26,"midtide","Punta Arenas","samples"
"41",13,0.110546524055497,0.114919488465733,0.105784902955188,40.4215400692494,1.144,"midtide","Punta Arenas","samples"
"42",14,0.107418470799609,0.110513079766354,0.103512327579995,39.2777616365766,1.703,"midtide","Punta Arenas","samples"
"43",15,0.102760082170915,0.107167803711634,0.0994628667859828,37.5744132570441,0.97,"midtide","Punta Arenas","samples"
