"","samples","mean","upper","lower","rel","der","Strata","locality","sv"
"1",2,0.189532185657019,0.227892888247783,0.15322297316751,100,15.971,"hightide","Reñaca, Viña del Mar","samples"
"2",3,0.159262586174432,0.176064556575262,0.148659513151877,84.0293091235894,9.189,"hightide","Reñaca, Viña del Mar","samples"
"3",4,0.141846306277578,0.154470852693599,0.131735861239397,74.8402208236368,7.882,"hightide","Reñaca, Viña del Mar","samples"
"4",5,0.12690775536414,0.13669494206365,0.118374775079474,66.9584191857496,6.065,"hightide","Reñaca, Viña del Mar","samples"
"5",6,0.115413480526831,0.12463851990003,0.108070369143006,60.8938688311677,4.904,"hightide","Reñaca, Viña del Mar","samples"
"6",7,0.1061186730242,0.111835298815025,0.0979088834662055,55.9897901542878,3.055,"hightide","Reñaca, Viña del Mar","samples"
"7",8,0.100328440822842,0.107280199721502,0.0956161195258766,52.9347775287084,3.644,"hightide","Reñaca, Viña del Mar","samples"
"8",9,0.0934217093612388,0.0982890809167914,0.0892886582200511,49.2906832881125,1.715,"hightide","Reñaca, Viña del Mar","samples"
"9",10,0.0901716249041935,0.0950691871530234,0.0858462165722269,47.5758903911812,2.501,"hightide","Reñaca, Viña del Mar","samples"
"10",11,0.0854306032327365,0.0894953807016007,0.0818982147417445,45.0744568457271,1.607,"hightide","Reñaca, Viña del Mar","samples"
"11",12,0.082384357710307,0.0858061567771169,0.0782574754329109,43.4672124023257,1.948,"hightide","Reñaca, Viña del Mar","samples"
"12",13,0.0786922225264712,0.0821273324731912,0.0759331351539502,41.5191869674705,1.665,"hightide","Reñaca, Viña del Mar","samples"
"13",14,0.0755368804100382,0.0782045606082614,0.0726583338058482,39.8543815385166,0.95,"hightide","Reñaca, Viña del Mar","samples"
"14",15,0.0737362449691629,0.0762984437738158,0.0710383439899743,38.9043394996759,1.73,"hightide","Reñaca, Viña del Mar","samples"
"15",16,0.0704572264143033,0.0730083819647756,0.0666806118433055,37.1742805424108,1.098,"hightide","Reñaca, Viña del Mar","samples"
"16",17,0.0683769454114956,0.0707359226831756,0.0649751634476426,36.0766933460218,0.429,"hightide","Reñaca, Viña del Mar","samples"
"17",18,0.0675641125439695,0.070999085297606,0.0648805951319586,35.6478306361299,1.213,"hightide","Reñaca, Viña del Mar","samples"
"18",19,0.0652659733060579,0.0670554595091235,0.0633762425082426,34.435298194769,1.355,"hightide","Reñaca, Viña del Mar","samples"
"19",20,0.0626974698006537,0.0642834840773022,0.0605833465171761,33.0801175448439,0.354,"hightide","Reñaca, Viña del Mar","samples"
"20",21,0.0620271313240913,0.0638691487110791,0.0601705488102901,32.7264369948947,0.957,"hightide","Reñaca, Viña del Mar","samples"
"21",22,0.0602135962111803,0.0619597105570814,0.0576604688148791,31.7695888972355,0.318,"hightide","Reñaca, Viña del Mar","samples"
"22",23,0.0596108323765475,0.0608568402152311,0.0585255773755664,31.451561733383,0.966,"hightide","Reñaca, Viña del Mar","samples"
"23",24,0.0577801400600565,0.0598996004304863,0.0564179897430512,30.4856612399418,0.677,"hightide","Reñaca, Viña del Mar","samples"
"24",25,0.0564964096252221,0.0588172734610691,0.0542798015553297,29.8083459700396,0.471,"hightide","Reñaca, Viña del Mar","samples"
"25",26,0.0556038581576372,0.0569430349128286,0.0541003639784684,29.3374225411292,0.445,"hightide","Reñaca, Viña del Mar","samples"
