"","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",2,0.00990336097437107,0.0119042162169375,0.00763712604581477,"sites",100,3.343,"hightide","SANTA CRUZ"
"2",3,0.00957228264145274,0.0112746070446736,0.00786662914970832,"sites",96.6569093686969,7.592,"hightide","SANTA CRUZ"
"3",4,0.00882039831194365,0.0102677008386431,0.00747152250389286,"sites",89.0646956600893,6.117,"hightide","SANTA CRUZ"
"4",5,0.00821462512729613,0.00964884858847487,0.00695063793495329,"sites",82.947851225001,3.709,"hightide","SANTA CRUZ"
"5",6,0.00784735821402468,0.00930953313589402,0.00637536570458548,"sites",79.2393434343439,4.149,"hightide","SANTA CRUZ"
"6",7,0.00743647380108543,0.00835730725901793,0.00635804352181571,"sites",75.090404362017,3.392,"hightide","SANTA CRUZ"
"7",8,0.00710051040414261,0.00826700779384157,0.0061992753326093,"sites",71.6979863959118,3.706,"hightide","SANTA CRUZ"
"8",9,0.00673350649311792,0.00787227307121723,0.00579552178014902,"sites",67.9921342920204,2.718,"hightide","SANTA CRUZ"
"9",10,0.00646438064268709,0.00732289104749967,0.00552763843188666,"sites",65.2746139357767,2.676,"hightide","SANTA CRUZ"
"10",11,0.00619940038162147,0.00695862335727827,0.00532843782635579,"sites",62.5989540082899,2.395,"hightide","SANTA CRUZ"
"11",12,0.00596218346305815,0.00691894332412715,0.00513582169473845,"sites",60.2036367096756,2.137,"hightide","SANTA CRUZ"
"12",13,0.0057505213113973,0.00651483524962162,0.00504281199579052,"sites",58.0663607666032,1.666,"hightide","SANTA CRUZ"
"13",14,0.00558548288159157,0.00643672864328963,0.00479399879098311,"sites",56.3998716803947,1.979,"hightide","SANTA CRUZ"
"14",15,0.00538948710438043,0.00614752909366676,0.00458782816866705,"sites",54.4207882387393,1.414,"hightide","SANTA CRUZ"
"15",16,0.00524948027261588,0.00588910009004304,0.00448955769573194,"sites",53.0070577675702,1.261,"hightide","SANTA CRUZ"
"16",17,0.00512459269344148,0.00589963585175949,0.00445665722849441,"sites",51.7459951899504,1.415,"hightide","SANTA CRUZ"
"17",18,0.00498448991270966,0.00570218750019441,0.00434438995929223,"sites",50.3312958662118,1.366,"hightide","SANTA CRUZ"
"18",19,0.00484920039801114,0.00551609846824967,0.00424403561111323,"sites",48.9651988911683,1.069,"hightide","SANTA CRUZ"
"19",20,0.00474329944990979,0.00533821510635167,0.00409942157398048,"sites",47.8958553786435,NA,"hightide","SANTA CRUZ"
"20",2,0.0274868921595771,0.0346512211311129,0.0213117419734701,"samples",100,13.989,"hightide","SANTA CRUZ"
"21",3,0.0236417493184797,0.0291448709021856,0.0194473836867244,"samples",86.0109945541528,9.448,"hightide","SANTA CRUZ"
"22",4,0.0210446669947344,0.0259254537908512,0.0170503560025666,"samples",76.5625552447256,7.016,"hightide","SANTA CRUZ"
"23",5,0.019116145636357,0.0240791080126582,0.0153684024058723,"samples",69.5464060664875,6.324,"hightide","SANTA CRUZ"
"24",6,0.0173778100671837,0.0217094885710019,0.014494867636325,"samples",63.2221713764351,4.204,"hightide","SANTA CRUZ"
"25",7,0.016222266807029,0.020349329120481,0.0131544966123833,"samples",59.0181920635097,3.753,"hightide","SANTA CRUZ"
"26",8,0.015190799320496,0.0188095414052838,0.0124971068507241,"samples",55.2656125410786,3.132,"hightide","SANTA CRUZ"
"27",9,0.0143299361420283,0.0178483222117624,0.0117175078775568,"samples",52.133708164731,2.573,"hightide","SANTA CRUZ"
"28",10,0.0136226041857713,0.0168257841513455,0.0111198852246735,"samples",49.5603653795574,2.203,"hightide","SANTA CRUZ"
"29",11,0.0130170735257519,0.0160175144410978,0.0105798458107706,"samples",47.3573856592457,2.007,"hightide","SANTA CRUZ"
"30",12,0.0124652979572835,0.0153849397576283,0.0100070969698833,"samples",45.3499722155394,1.901,"hightide","SANTA CRUZ"
"31",13,0.011942787977986,0.0149653566214562,0.00998001515204858,"samples",43.4490298453941,1.601,"hightide","SANTA CRUZ"
"32",14,0.0115027555419915,0.0139476622034797,0.00971330152614192,"samples",41.8481488384042,1.085,"hightide","SANTA CRUZ"
"33",15,0.0112046546779797,0.0141334503384492,0.00944681159229903,"samples",40.7636287614122,1.4,"hightide","SANTA CRUZ"
"34",16,0.0108198844794257,0.0135342725394091,0.00881661231786145,"samples",39.3637971750682,1.151,"hightide","SANTA CRUZ"
"35",17,0.010503463919212,0.0129182542620742,0.00873492322086305,"samples",38.2126282528899,0.96,"hightide","SANTA CRUZ"
"36",18,0.0102395934881208,0.012802781907449,0.00849590343888046,"samples",37.2526418362402,1.081,"hightide","SANTA CRUZ"
"37",19,0.0099424560678622,0.0122389112754308,0.00832193289531513,"samples",36.1716268617804,0.929,"hightide","SANTA CRUZ"
"38",20,0.00968711951373428,0.0120372650536829,0.00810479659304834,"samples",35.2426875235477,0.692,"hightide","SANTA CRUZ"
"39",21,0.00949694387139032,0.0118804646343661,0.00785307056045175,"samples",34.5508099506308,0.949,"hightide","SANTA CRUZ"
"40",22,0.00923621629356056,0.0113563881077297,0.0078510427125105,"samples",33.6022575413002,0.536,"hightide","SANTA CRUZ"
"41",23,0.00908885192626079,0.0111505534784849,0.00763154648993585,"samples",33.066131570986,0.824,"hightide","SANTA CRUZ"
"42",24,0.00886230555847721,0.0110587526536896,0.0074108522288171,"samples",32.2419337443697,0.695,"hightide","SANTA CRUZ"
"43",25,0.00867140900430092,0.0105746110346932,0.00726328594681741,"samples",31.5474334237514,0.728,"hightide","SANTA CRUZ"
"44",26,0.00847128982937525,0.010342365387019,0.00705433589659465,"samples",30.8193803075101,0.288,"hightide","SANTA CRUZ"
"45",27,0.00839211140787587,0.0102220560640635,0.00695021034859463,"samples",30.5313214719033,0.794,"hightide","SANTA CRUZ"
"46",28,0.00817379664308566,0.0100662453441726,0.00673644833432166,"samples",29.7370710214603,0.402,"hightide","SANTA CRUZ"
"47",29,0.00806332787993055,0.0100468890844642,0.00659721231836977,"samples",29.3351748648713,0.405,"hightide","SANTA CRUZ"
"48",30,0.00795189247160628,0.00971557802275301,0.00644833231705921,"samples",28.9297619586856,NA,"hightide","SANTA CRUZ"
"49",2,0.0578690889837247,0.0652993656617343,0.049529849662353,"sites",100,13.213,"midtide","SANTA CRUZ"
"50",3,0.0502228506849201,0.0549611278365057,0.0427721336293074,"sites",86.787007652816,10.344,"midtide","SANTA CRUZ"
"51",4,0.0442370087727414,0.048145781054345,0.0384597951948154,"sites",76.4432437932153,7.59,"midtide","SANTA CRUZ"
"52",5,0.0398449794162839,0.0434855752497241,0.0350663752153266,"sites",68.8536490137074,5.483,"midtide","SANTA CRUZ"
