Country,Locality,Site,Strata,Ascophyllum.nodosum,Chondrus.crispus,Clathromorphum,Corallina.officinalis,Fucus.distichus,Hildenbrandia,Mytilus.edulis,Semibalanus.balanoides,Vertebrata.lanosa,Didemnum.vexillum,Dumontia.contorta,Dynamena,Mastocarpus.stellatus,Palmaria.palmata,Polysiphonia,Porphyra,Ulva.intestinalis,Ulva.lactuca,Ceramium,Chaetomorpha,Modiolus.modiolus,Ralfsia,Acrosiphonia,Bangia,Botrylloides.violaceus,Botryllus.schlosseri,Cladophora,Diadumene.lineata,Fucus.spiralis,Fucus.vesiculosus,Metridium.senile,Obelia.bidentata,Spirorbis,Ulva.linza
USA,Maine,Biddeford,hightide,76,,,,4,,,60,6,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,hightide,90,18,,18,4,40,,22,20,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,hightide,,,,,32,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,hightide,,,,,26,,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,hightide,20,,,,60,,,80,6,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,midtide,45,25,18,2,,24,,20,35,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,midtide,50,30,25,,8,33,,20,12,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,midtide,,,,,32,20,,78,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,midtide,,,,,8,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Biddeford,midtide,,,,,40,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,,,,,,,,,,20,,95,12,,,,1,5,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,30,,4,1,,,,,25,,,12,3,3,90,10,1,2,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,,,,,,,,,,,,1,1,11,100,,,1,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,11,,,,,,,,5,,,5,,1,100,1,,4,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,40,,,,,,,,5,,,10,,6,81,4,19,,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,64,1,,,,4,,4,15,1,,27,,,,,1,1,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,1,,,,,,,,,,,32,10,,,,,16,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,17,20,,1,,,,,,,1,,,,26,,,4,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,,,,,,,,,,19,,49,10,,,,,60,,,,,,,,,,,,,,,,
USA,Maine,MooseCove,midtide,,,,2,,,,,,,36,,,,,,,4,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,,4,2,,4,,,,,,24,80,,,1,1,2,,,2,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,,6,4,,5,,,,6,,7,20,,,,6,3,,1,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,6,5,,,,,,,6,,20,16,,,,,6,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,,,,,,6,,,,,,4,,,1,,1,,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,hightide,8,,,1,,8,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,16,,,,,,,,,,,12,14,,1,,,,1,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,26,4,1,,,5,,,1,,,8,10,,,,,1,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,24,6,2,,,,,,,,,18,35,,,,,,,,4,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,,,25,9,,,,,,,4,48,40,,,,,5,,,,,,,,,,,,,,,,
USA,Maine,Hamilton Cove,midtide,,,,40,,,,,,,,16,24,,,,4,1,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,hightide,30,3,2,,,,4,10,6,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,hightide,90,,,,5,,7,8,5,,,,2,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,hightide,,,,,45,,18,,15,,,,5,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,hightide,39,3,,,56,,16,36,,,,,7,,11,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,hightide,1,1,,,1,68,4,21,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,midtide,,,,,70,,12,64,,,,,,,,,,4,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,midtide,,,,,24,,10,75,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,midtide,4,,,,36,,48,36,3,,,,3,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,midtide,,,,,24,,20,80,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Chamberlain,midtide,23,,,,76,,64,24,5,,,,3,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,hightide,,,,,96,4,4,80,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,hightide,,,,,4,,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,hightide,,,,,48,,16,,4,,,,,,10,,,,,,,32,,,,,,,,,,,,
USA,Maine,Giantstairs,hightide,,,,,52,,20,,4,,,,,,8,,,8,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,hightide,,,,,68,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,midtide,4,,3,,84,3,4,22,,,6,6,80,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,midtide,,,,,30,22,4,40,,,2,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,midtide,4,4,,,92,26,4,55,2,,3,3,,,,,,3,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,midtide,10,10,,,94,18,4,8,1,,10,4,,,,,,4,,,,,,,,,,,,,,,,
USA,Maine,Giantstairs,midtide,10,5,,,86,12,12,80,4,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201705,hightide,2,5,,,,100,4,30,,20,1,55,,,,,,,,,,,19,1,,,,,,,,,,
USA,Maine,Grindstone201706,hightide,,,,,,5,5,15,,,1,55,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201707,hightide,,,,,,10,1,20,,,1,50,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201708,hightide,,,,,,,5,25,,1,,20,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201709,hightide,,,,,,,1,20,,5,,20,,,,,,1,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201710,hightide,,,,,10,15,1,30,,,,55,,,,,,,,,,,,,,,,,,,,3,,
USA,Maine,Grindstone201711,hightide,,,,,15,10,,15,,,10,60,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201712,hightide,,,,,25,20,,20,,,,15,,3,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201713,hightide,,,,,,12,,25,,,,100,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201714,hightide,,,,,,10,,55,,,,100,,,,,,,,,,,,,,,,,,,,4,,
USA,Maine,Grindstone201715,midtide,,,,,50,5,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201716,midtide,,,,,25,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201717,midtide,,,,,,40,1,25,5,,,90,,,,,,,,,,,,,,,,,,,,,,
USA,Maine,Grindstone201718,midtide,,,,,30,70,1,30,2,,,25,,,,,,,,,,,,,,,,,,,,,,
