"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.0160323516792742,0.0232379151578101,0.0108284381186928,"sites",100,NA,NA,"hightide","CENTRALMAINE"
"2",3,0.0117541402393468,0.0178670844536336,0.0071447779239579,"sites",73.3151347630547,26.685,27,"hightide","CENTRALMAINE"
"3",2,0.16875304398967,0.185503896381396,0.150835259023334,"samples",100,NA,NA,"hightide","CENTRALMAINE"
"4",3,0.138386428512933,0.147732263937093,0.127810543715576,"samples",82.005293203128,17.995,18,"hightide","CENTRALMAINE"
"5",4,0.120017302956013,0.12777873097811,0.111628705391709,"samples",71.120081818115,10.885,29,"hightide","CENTRALMAINE"
"6",5,0.108158883017266,0.113630449909652,0.101420898766292,"samples",64.0929967603347,7.027,36,"hightide","CENTRALMAINE"
"7",6,0.0988257134915641,0.103895045924663,0.092965681178368,"samples",58.5623293987001,5.531,41,"hightide","CENTRALMAINE"
"8",7,0.0917079767504686,0.0968599243214251,0.0862708207784138,"samples",54.3444874132654,4.218,46,"hightide","CENTRALMAINE"
"9",8,0.0856490159172066,0.090748581338597,0.0805728341193634,"samples",50.7540568704937,3.59,49,"hightide","CENTRALMAINE"
"10",9,0.0807092349418311,0.0854325923307871,0.0758548489922793,"samples",47.8268320580762,2.927,52,"hightide","CENTRALMAINE"
"11",10,0.076589913439555,0.0809575255686147,0.0731860860209795,"samples",45.3857966818324,2.441,55,"hightide","CENTRALMAINE"
"12",11,0.072925490083455,0.0763078181261355,0.0693630670966179,"samples",43.2143257148706,2.171,57,"hightide","CENTRALMAINE"
"13",12,0.0699217237802136,0.0730091021276087,0.0670244018947621,"samples",41.4343481617396,1.78,59,"hightide","CENTRALMAINE"
"14",13,0.0671472107369851,0.0701980605858519,0.063106028897685,"samples",39.7902219417715,1.644,60,"hightide","CENTRALMAINE"
"15",14,0.0647565818574865,0.0681929699506603,0.0621899025462394,"samples",38.3735785302044,1.417,62,"hightide","CENTRALMAINE"
"16",15,0.0626250851192374,0.0659456600700931,0.0598333645975165,"samples",37.1104921361127,1.263,63,"hightide","CENTRALMAINE"
"17",16,0.060603749291569,0.0630099139439802,0.0575664919423255,"samples",35.9126851040854,1.198,64,"hightide","CENTRALMAINE"
"18",17,0.0587751193384101,0.0616506566743874,0.0563894103915086,"samples",34.8290720859576,1.084,65,"hightide","CENTRALMAINE"
"19",18,0.0570865284803061,0.0603583275974893,0.0540216079627488,"samples",33.828443701318,1.001,66,"hightide","CENTRALMAINE"
"20",19,0.0555926935381356,0.058381782608015,0.053123679210325,"samples",32.9432241480269,0.885,67,"hightide","CENTRALMAINE"
"21",20,0.0541570016296156,0.0565984735541609,0.0515244028624867,"samples",32.0924591042818,0.851,68,"hightide","CENTRALMAINE"
"22",21,0.0528900075516482,0.055386758916982,0.0502256086953019,"samples",31.341661342053,0.751,69,"hightide","CENTRALMAINE"
"23",22,0.0516366238795897,0.0541491434934337,0.0495793068020203,"samples",30.5989288600628,0.743,69,"hightide","CENTRALMAINE"
"24",23,0.0506104908872122,0.0530713558452236,0.0478861980681433,"samples",29.9908610183708,0.608,70,"hightide","CENTRALMAINE"
"25",24,0.0494453066103475,0.0519296671491673,0.0467650474731117,"samples",29.300393901857,0.69,71,"hightide","CENTRALMAINE"
"26",25,0.0485379705150672,0.0508670594865609,0.0463251178155367,"samples",28.7627229515566,0.538,71,"hightide","CENTRALMAINE"
"27",26,0.0474875769379789,0.0497461169774816,0.045040965326039,"samples",28.1402787264008,0.622,72,"hightide","CENTRALMAINE"
"28",27,0.046685165830565,0.0490886676907081,0.0446663613168223,"samples",27.6647844251169,0.475,72,"hightide","CENTRALMAINE"
"29",28,0.045822134099579,0.0481003018723143,0.0436514678803464,"samples",27.1533674393357,0.511,73,"hightide","CENTRALMAINE"
"30",29,0.0449590988817439,0.047071317721937,0.0430203585121525,"samples",26.6419483873108,0.511,73,"hightide","CENTRALMAINE"
"31",30,0.044233172187503,0.0464635282887526,0.042037078710056,"samples",26.2117773651601,0.43,74,"hightide","CENTRALMAINE"
"32",2,0.0305756499271134,0.0445949320998731,0.0190041786841931,"sites",100,NA,NA,"midtide","CENTRALMAINE"
"33",3,0.0239916461186871,0.0364745052045663,0.0126622461140809,"sites",78.466512325588,21.533,22,"midtide","CENTRALMAINE"
"34",2,0.225356660765093,0.248496012982536,0.208282287282577,"samples",100,NA,NA,"midtide","CENTRALMAINE"
"35",3,0.183579750411898,0.197051651160376,0.171748920147534,"samples",81.461870169996,18.538,19,"midtide","CENTRALMAINE"
"36",4,0.161261485165632,0.170395233960169,0.150577267307824,"samples",71.5583398414514,9.904,28,"midtide","CENTRALMAINE"
"37",5,0.14374853519515,0.15015916428471,0.136863337098233,"samples",63.787125131833,7.771,36,"midtide","CENTRALMAINE"
"38",6,0.131456416487071,0.137998881809886,0.125796530217212,"samples",58.3326075389884,5.455,42,"midtide","CENTRALMAINE"
"39",7,0.122100090334371,0.128588525227339,0.116201867191927,"samples",54.180821600674,4.152,46,"midtide","CENTRALMAINE"
"40",8,0.113833418455019,0.119833161787353,0.107827718179947,"samples",50.5125599875996,3.668,49,"midtide","CENTRALMAINE"
