"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.130912488826356,0.176923877167335,0.0405822408963752,"sites",100,NA,NA,"hightide","MASSACHUSETTS"
"2",3,0.114437544138483,0.147873034796168,0.0341856698070506,"sites",87.4152994602937,12.585,13,"hightide","MASSACHUSETTS"
"3",2,0.169840748156796,0.207479440890891,0.142109720211668,"samples",100,NA,NA,"hightide","MASSACHUSETTS"
"4",3,0.140435002212489,0.168761380755471,0.117930774035069,"samples",82.686283319266,17.314,17,"hightide","MASSACHUSETTS"
"5",4,0.122654642916744,0.146501887722712,0.105196974212245,"samples",72.2174414843665,10.469,28,"hightide","MASSACHUSETTS"
"6",5,0.110444568004638,0.133999604279932,0.0927833765112508,"samples",65.0283098745398,7.189,35,"hightide","MASSACHUSETTS"
"7",6,0.100530719701682,0.118580886853079,0.0860378982785494,"samples",59.1911663088485,5.837,41,"hightide","MASSACHUSETTS"
"8",7,0.0933814413410546,0.110287227723058,0.0794514532629551,"samples",54.981765185611,4.209,45,"hightide","MASSACHUSETTS"
"9",8,0.0875976188427496,0.104360223784236,0.0739863377186095,"samples",51.5763265255284,3.405,48,"hightide","MASSACHUSETTS"
"10",9,0.0824869826547801,0.0973599513805297,0.0705235329425476,"samples",48.5672511161035,3.009,51,"hightide","MASSACHUSETTS"
"11",10,0.0783659121939104,0.0927178177267724,0.0656905843124177,"samples",46.1408189991976,2.426,54,"hightide","MASSACHUSETTS"
"12",11,0.0746562101086917,0.0895893792244385,0.0632428774413321,"samples",43.9565951745393,2.184,56,"hightide","MASSACHUSETTS"
"13",12,0.0712921914006248,0.0852786855847003,0.0604286860583967,"samples",41.9759051784253,1.981,58,"hightide","MASSACHUSETTS"
"14",13,0.0686126500496652,0.0809559313307575,0.058360224831746,"samples",40.3982264528901,1.578,60,"hightide","MASSACHUSETTS"
"15",14,0.0664105139497131,0.0793117867804436,0.0567621013656049,"samples",39.1016376637739,1.297,61,"hightide","MASSACHUSETTS"
"16",15,0.0640067083495376,0.0760519125699999,0.0542713177062968,"samples",37.6863085238219,1.415,62,"hightide","MASSACHUSETTS"
"17",16,0.0620249532498015,0.0724793889118469,0.052391011449823,"samples",36.5194771707791,1.167,63,"hightide","MASSACHUSETTS"
"18",17,0.0600491424628711,0.071253682266797,0.0510986952732649,"samples",35.3561457509797,1.163,65,"hightide","MASSACHUSETTS"
"19",18,0.0584500301274101,0.0702167759955598,0.049667959701727,"samples",34.4146094277972,0.942,66,"hightide","MASSACHUSETTS"
"20",19,0.0568359706222099,0.06746637433361,0.0484191432578789,"samples",33.4642724075493,0.95,67,"hightide","MASSACHUSETTS"
"21",20,0.0553287833935343,0.0660104612770367,0.0471693357546456,"samples",32.5768603789092,0.887,67,"hightide","MASSACHUSETTS"
"22",21,0.05397203360122,0.0641757632347284,0.0461880512928872,"samples",31.7780239353358,0.799,68,"hightide","MASSACHUSETTS"
"23",22,0.0528965094456503,0.0625874703663089,0.0452258125891122,"samples",31.1447694500359,0.633,69,"hightide","MASSACHUSETTS"
"24",23,0.0515939096694247,0.0618670725178553,0.0435847037714531,"samples",30.3778158241469,0.767,70,"hightide","MASSACHUSETTS"
"25",24,0.0505301391281918,0.0604275187193011,0.0429946976407011,"samples",29.7514817124702,0.626,70,"hightide","MASSACHUSETTS"
"26",25,0.0495667970196465,0.0586247550589015,0.0424115525037362,"samples",29.184278541853,0.567,71,"hightide","MASSACHUSETTS"
"27",26,0.0485199086202841,0.0575555273243402,0.0413783761687877,"samples",28.5678844133981,0.616,71,"hightide","MASSACHUSETTS"
"28",27,0.0476592347597662,0.0570610029274489,0.0406380017653057,"samples",28.0611309576707,0.507,72,"hightide","MASSACHUSETTS"
"29",28,0.0467696060515783,0.0553628466421734,0.0399113134961986,"samples",27.5373292682395,0.524,72,"hightide","MASSACHUSETTS"
"30",29,0.0459936887949384,0.0554340771629623,0.0390775446951358,"samples",27.0804793867708,0.457,73,"hightide","MASSACHUSETTS"
"31",30,0.045104847021512,0.0532894891799774,0.0384400067100374,"samples",26.557141034183,0.523,73,"hightide","MASSACHUSETTS"
"32",2,0.0589772360746839,0.0881490047978402,0.0226547856948421,"sites",100,NA,NA,"midtide","MASSACHUSETTS"
"33",3,0.0505886246820002,0.0734306435333406,0.015521787757119,"sites",85.7765267567625,14.223,14,"midtide","MASSACHUSETTS"
"34",2,0.185663725284037,0.211569719715033,0.161281708044172,"samples",100,NA,NA,"midtide","MASSACHUSETTS"
"35",3,0.155536966702589,0.17469411684494,0.139626890098569,"samples",83.7734815805517,16.227,16,"midtide","MASSACHUSETTS"
"36",4,0.135079091273943,0.146045664562525,0.12417942959604,"samples",72.7547026578795,11.019,27,"midtide","MASSACHUSETTS"
"37",5,0.120890762435717,0.130547721666475,0.110810526164061,"samples",65.1127527742817,7.642,35,"midtide","MASSACHUSETTS"
"38",6,0.110779685406285,0.119121401733399,0.102643748399374,"samples",59.6668440411873,5.446,40,"midtide","MASSACHUSETTS"
"39",7,0.102779749900826,0.109940659010253,0.0975627379325674,"samples",55.3580133887699,4.309,45,"midtide","MASSACHUSETTS"
"40",8,0.0957690967814136,0.103748958347973,0.0885995313763453,"samples",51.5820183155873,3.776,48,"midtide","MASSACHUSETTS"
"41",9,0.0907440955460033,0.0972876219545669,0.0836763477856612,"samples",48.875511577277,2.707,51,"midtide","MASSACHUSETTS"
"42",10,0.0860500816684389,0.0924855346875227,0.0804600264526752,"samples",46.3472773352983,2.528,54,"midtide","MASSACHUSETTS"
"43",11,0.0820238053414808,0.0887486609115103,0.0758559149893741,"samples",44.1786919959712,2.169,56,"midtide","MASSACHUSETTS"
"44",12,0.0785463228223498,0.0846154510711891,0.073014057546888,"samples",42.3056914872229,1.873,58,"midtide","MASSACHUSETTS"
"45",13,0.0755217400148184,0.0808694312590239,0.0706200171007872,"samples",40.6766264650145,1.629,59,"midtide","MASSACHUSETTS"
"46",14,0.0729687644884672,0.0784322288276862,0.0688928098886936,"samples",39.3015729792323,1.375,61,"midtide","MASSACHUSETTS"
"47",15,0.0705578410404708,0.0751981716250573,0.0658151787350472,"samples",38.003029903945,1.299,62,"midtide","MASSACHUSETTS"
"48",16,0.0682069904958205,0.0732766130357597,0.0641472213780315,"samples",36.7368425854185,1.266,63,"midtide","MASSACHUSETTS"
"49",17,0.0662189384518266,0.0711799454466033,0.0626256616747225,"samples",35.6660615047564,1.071,64,"midtide","MASSACHUSETTS"
"50",18,0.064412454046375,0.068924299120485,0.0607287188744261,"samples",34.693074238295,0.973,65,"midtide","MASSACHUSETTS"
"51",19,0.0627278399511445,0.0670646129135558,0.0593236406543847,"samples",33.7857273170516,0.907,66,"midtide","MASSACHUSETTS"
"52",20,0.0610675556543427,0.065517460396007,0.0577196191821913,"samples",32.8914846241067,0.894,67,"midtide","MASSACHUSETTS"
"53",21,0.0595636207394509,0.0636522557281115,0.056157539457135,"samples",32.0814529862135,0.81,68,"midtide","MASSACHUSETTS"
"54",22,0.0583303250342952,0.0629436622540028,0.0545152859784766,"samples",31.4171898388114,0.664,69,"midtide","MASSACHUSETTS"
"55",23,0.056953440621659,0.061214326584961,0.053477548796,"samples",30.6755886399074,0.742,69,"midtide","MASSACHUSETTS"
"56",24,0.0557724772846083,0.0599558646321277,0.0526220047417777,"samples",30.0395121337165,0.636,70,"midtide","MASSACHUSETTS"
"57",25,0.0545917033023175,0.0586091786389933,0.0516191046797306,"samples",29.4035376155469,0.636,71,"midtide","MASSACHUSETTS"
"58",26,0.0535412779778109,0.0573760759209883,0.0501588530190114,"samples",28.8377699498924,0.566,71,"midtide","MASSACHUSETTS"
"59",27,0.0525598815159132,0.0563790500611172,0.0496116873909793,"samples",28.3091817938613,0.529,72,"midtide","MASSACHUSETTS"
"60",28,0.051576978469746,0.0552331799617318,0.0484259359885424,"samples",27.7797821792281,0.529,72,"midtide","MASSACHUSETTS"
"61",29,0.0508066740821433,0.0548481508760366,0.0475586962719249,"samples",27.3648899398183,0.415,73,"midtide","MASSACHUSETTS"
"62",30,0.0498903527306702,0.0536026071521006,0.0472840566713064,"samples",26.8713517701671,0.494,73,"midtide","MASSACHUSETTS"
