,Country,Locality,Site,Strata,Dynamena,Semibalanus balanoides,Ulva lactuca,Hildenbrandia,Mytilus edulis,Ulva intestinalis,Littorina littorea,Littorina obtusata,Ascophyllum nodosum,Chondrus crispus,Mastocarpus stellatus,Vertebrata lanosa,Nucella lapillus
1,USA,MASSACHUSETTS,PUMPHOUSE,hightide,1,1,1,0,0,0,0,0,0,0,0,0,0
2,USA,MASSACHUSETTS,PUMPHOUSE,hightide,1,1,0,1,1,0,0,0,0,0,0,0,0
3,USA,MASSACHUSETTS,PUMPHOUSE,hightide,1,1,0,1,1,0,0,0,0,0,0,0,0
4,USA,MASSACHUSETTS,PUMPHOUSE,hightide,1,1,0,0,0,0,0,0,0,0,0,0,0
5,USA,MASSACHUSETTS,PUMPHOUSE,hightide,1,1,1,1,1,0,0,0,0,0,0,0,0
6,USA,MASSACHUSETTS,PUMPHOUSE,midtide,1,1,0,1,1,0,0,0,0,0,0,0,0
7,USA,MASSACHUSETTS,PUMPHOUSE,midtide,1,1,0,0,1,0,0,0,0,0,0,0,0
8,USA,MASSACHUSETTS,PUMPHOUSE,midtide,1,1,0,1,1,0,0,0,0,0,0,0,0
9,USA,MASSACHUSETTS,PUMPHOUSE,midtide,1,1,0,0,1,1,0,0,0,0,0,0,0
10,USA,MASSACHUSETTS,PUMPHOUSE,midtide,1,1,0,0,1,1,0,0,0,0,0,0,0
11,USA,NORTHERNMA,MARBLEHEAD,hightide,1,1,0,0,0,0,1,1,1,1,1,0,0
12,USA,NORTHERNMA,MARBLEHEAD,hightide,1,1,0,0,0,0,1,1,1,1,0,1,0
13,USA,NORTHERNMA,MARBLEHEAD,hightide,0,1,0,1,1,0,1,1,1,1,0,1,0
14,USA,NORTHERNMA,MARBLEHEAD,hightide,1,1,0,1,1,0,1,1,1,1,0,1,0
15,USA,NORTHERNMA,MARBLEHEAD,hightide,0,1,0,1,1,0,1,0,1,1,0,0,0
16,USA,NORTHERNMA,MARBLEHEAD,midtide,1,1,0,1,1,0,1,1,0,0,0,0,0
17,USA,NORTHERNMA,MARBLEHEAD,midtide,1,1,0,1,0,0,1,1,0,0,1,0,0
18,USA,NORTHERNMA,MARBLEHEAD,midtide,1,1,0,1,1,0,1,1,0,1,1,0,0
19,USA,NORTHERNMA,MARBLEHEAD,midtide,1,1,0,1,0,0,1,1,0,1,1,0,0
20,USA,NORTHERNMA,MARBLEHEAD,midtide,1,1,0,1,0,0,1,1,0,0,0,0,0
21,USA,NORTHERNMA,PUMPHOUSE,hightide,0,0,0,0,0,0,1,1,0,0,0,0,0
22,USA,NORTHERNMA,PUMPHOUSE,hightide,0,0,0,0,0,0,1,1,0,0,0,0,0
23,USA,NORTHERNMA,PUMPHOUSE,hightide,0,0,0,0,0,0,1,1,0,0,0,0,1
24,USA,NORTHERNMA,PUMPHOUSE,hightide,0,0,0,0,0,0,1,0,0,0,0,0,0
25,USA,NORTHERNMA,PUMPHOUSE,hightide,0,0,0,0,0,0,1,1,0,0,0,0,0
26,USA,NORTHERNMA,PUMPHOUSE,midtide,0,0,0,0,0,0,1,1,0,0,0,0,0
27,USA,NORTHERNMA,PUMPHOUSE,midtide,0,0,0,0,0,0,1,1,0,0,0,0,0
28,USA,NORTHERNMA,PUMPHOUSE,midtide,0,0,0,0,0,0,1,1,0,0,0,0,1
29,USA,NORTHERNMA,PUMPHOUSE,midtide,0,0,0,0,0,0,1,1,0,0,0,0,0
30,USA,NORTHERNMA,PUMPHOUSE,midtide,0,0,0,0,0,0,1,1,0,0,0,0,1
