"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.142293017056043,0.166952233369224,0.113525743391455,100,NA,NA,"hightide","BIDDEFORD","samples"
"2",3,0.117526844730828,0.132968692385252,0.0995266563345367,82.5949489035984,17.405,17,"hightide","BIDDEFORD","samples"
"3",4,0.103528733052663,0.115529080743352,0.0910130674896214,72.7574235156509,9.838,27,"hightide","BIDDEFORD","samples"
"4",5,0.0928102161052331,0.101274792630272,0.0830643705949916,65.2247158893813,7.533,35,"hightide","BIDDEFORD","samples"
"5",6,0.0845308671553848,0.0932595632616533,0.0762819749850055,59.4061949801033,5.819,41,"hightide","BIDDEFORD","samples"
"6",7,0.078137939402337,0.0849879946264025,0.0710911235873777,54.9134040580232,4.493,45,"hightide","BIDDEFORD","samples"
"7",8,0.0732581562311864,0.0800152040729302,0.0668277627552958,51.4840135846814,3.429,49,"hightide","BIDDEFORD","samples"
"8",9,0.0690146315226296,0.0758780939191463,0.0631810594301427,48.5017697639004,2.982,51,"hightide","BIDDEFORD","samples"
"9",10,0.0655244803373423,0.0707399325965957,0.060265770836415,46.0489781529721,2.453,54,"hightide","BIDDEFORD","samples"
"10",11,0.0627738705978457,0.0674778115160984,0.0568251284397732,44.1159179112224,1.933,56,"hightide","BIDDEFORD","samples"
"11",12,0.0600873853185815,0.0650619135843251,0.055322063187028,42.2279227482509,1.888,58,"hightide","BIDDEFORD","samples"
"12",13,0.057586413168318,0.061757702596495,0.0534434210689353,40.4703016070263,1.758,60,"hightide","BIDDEFORD","samples"
"13",14,0.0555754390368794,0.0595814459099495,0.0511533582233179,39.0570389093588,1.413,61,"hightide","BIDDEFORD","samples"
"14",15,0.0537858211984716,0.0580368667900878,0.0493802636932452,37.7993399193212,1.258,62,"hightide","BIDDEFORD","samples"
"15",16,0.0519997197371387,0.0556481049177895,0.048297904324762,36.5441121517988,1.255,63,"hightide","BIDDEFORD","samples"
"16",17,0.0505461086209684,0.0542645349536833,0.0466835955814631,35.5225503448707,1.022,64,"hightide","BIDDEFORD","samples"
"17",18,0.04911482797208,0.0531653666865593,0.0451201567541596,34.5166818360002,1.006,65,"hightide","BIDDEFORD","samples"
"18",19,0.0478480392972012,0.0511550767083241,0.0439020696519812,33.6264142029934,0.89,66,"hightide","BIDDEFORD","samples"
"19",20,0.0465800045938655,0.0495079591371118,0.0430198212916299,32.7352708921195,0.891,67,"hightide","BIDDEFORD","samples"
"20",21,0.0455175258095329,0.0488939038748332,0.042463739203018,31.9885871782489,0.747,68,"hightide","BIDDEFORD","samples"
"21",22,0.0442359928298111,0.0474621480919463,0.0409069135491535,31.0879576138219,0.901,69,"hightide","BIDDEFORD","samples"
"22",23,0.0434306629426583,0.0464591319324432,0.0405064675992927,30.521991761235,0.566,69,"hightide","BIDDEFORD","samples"
"23",24,0.0425272291380829,0.0456740109275999,0.0394987688715056,29.8870809108877,0.635,70,"hightide","BIDDEFORD","samples"
"24",25,0.0416107605696822,0.044293253388652,0.0387782683591795,29.2430095521086,0.644,71,"hightide","BIDDEFORD","samples"
"25",26,0.0407813504214561,0.0437800392157827,0.0376882565218185,28.6601206898255,0.583,71,"hightide","BIDDEFORD","samples"
