"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.279795116136873,0.327927693833944,0.222293410633484,100,NA,NA,"hightide","CHAMBERLAIN","samples"
"2",3,0.232018168198563,0.257438459528472,0.208380839640312,82.924309545511,17.076,17,"hightide","CHAMBERLAIN","samples"
"3",4,0.202045417786678,0.220379178606087,0.183009083389068,72.21191726872,10.712,28,"hightide","CHAMBERLAIN","samples"
"4",5,0.181756960335575,0.194116359133747,0.166739110181904,64.960733712972,7.251,35,"hightide","CHAMBERLAIN","samples"
"5",6,0.166545985471084,0.17882539566262,0.154931790921729,59.5242646728728,5.436,40,"hightide","CHAMBERLAIN","samples"
"6",7,0.153507809513946,0.16379832383019,0.143214060991566,54.8643634790437,4.66,45,"hightide","CHAMBERLAIN","samples"
"7",8,0.143929484018222,0.152349202244842,0.135495420896292,51.441027994146,3.423,49,"hightide","CHAMBERLAIN","samples"
"8",9,0.136366499134106,0.144869045964095,0.128921143597357,48.7379840709574,2.703,51,"hightide","CHAMBERLAIN","samples"
"9",10,0.129029097889904,0.136456275985612,0.1225143641982,46.1155647287225,2.622,54,"hightide","CHAMBERLAIN","samples"
"10",11,0.123017212792938,0.131249394973985,0.116718188383988,43.9668906632234,2.149,56,"hightide","CHAMBERLAIN","samples"
"11",12,0.117839386805561,0.125467761201821,0.112157440221027,42.1163129766408,1.851,58,"hightide","CHAMBERLAIN","samples"
"12",13,0.113129687890697,0.118480665573485,0.107022945086687,40.4330459561544,1.683,60,"hightide","CHAMBERLAIN","samples"
"13",14,0.108684758502896,0.114309460866671,0.104164814522474,38.8444087243213,1.589,61,"hightide","CHAMBERLAIN","samples"
"14",15,0.105623078319987,0.111126815178213,0.100515982466896,37.750150816899,1.094,62,"hightide","CHAMBERLAIN","samples"
"15",16,0.101905624026709,0.108056002870555,0.0966488861584314,36.4215163701634,1.329,64,"hightide","CHAMBERLAIN","samples"
"16",17,0.098945712891305,0.104239234353588,0.0939608268422439,35.3636311660643,1.058,65,"hightide","CHAMBERLAIN","samples"
"17",18,0.0960771531024511,0.101861222023811,0.0913287489214186,34.3383953333378,1.025,66,"hightide","CHAMBERLAIN","samples"
"18",19,0.0937518112474069,0.0983984253275428,0.0885341940860796,33.5073079694302,0.831,66,"hightide","CHAMBERLAIN","samples"
"19",20,0.0913559923730811,0.0968169728348891,0.0874145577973304,32.6510318101445,0.856,67,"hightide","CHAMBERLAIN","samples"
"20",21,0.0891914422935821,0.093922391654959,0.0845701995125082,31.877412131079,0.774,68,"hightide","CHAMBERLAIN","samples"
"21",22,0.0871285521575552,0.0915195976380807,0.0834488087677413,31.1401261610774,0.737,69,"hightide","CHAMBERLAIN","samples"
"22",23,0.0851340925267388,0.0898371995400405,0.0807354239753694,30.4272975533612,0.713,70,"hightide","CHAMBERLAIN","samples"
"23",24,0.0834535644901348,0.0876672433585538,0.0794405374825394,29.8266694724257,0.601,70,"hightide","CHAMBERLAIN","samples"
"24",25,0.0817331622500962,0.0854377071917249,0.0776306184317346,29.2117901765351,0.615,71,"hightide","CHAMBERLAIN","samples"
"25",26,0.0801820665794195,0.0840161550572734,0.0769089369411785,28.6574217900913,0.554,71,"hightide","CHAMBERLAIN","samples"
"26",27,0.0785508303643858,0.0826529394013936,0.0747587994265734,28.0744108220815,0.583,72,"hightide","CHAMBERLAIN","samples"
"27",28,0.0771642105824938,0.0807310417759476,0.0736203947358112,27.5788268386879,0.496,72,"hightide","CHAMBERLAIN","samples"
"28",29,0.0758889375164331,0.0803157071971547,0.0721866869313918,27.123038659227,0.456,73,"hightide","CHAMBERLAIN","samples"
"29",30,0.0745577635500194,0.0788456375866688,0.0711313594313323,26.647271253136,0.476,73,"hightide","CHAMBERLAIN","samples"
"30",2,0.255676226469609,0.299876408313908,0.200303754456328,100,NA,NA,"midtide","CHAMBERLAIN","samples"
"31",3,0.211783232320448,0.236940312502362,0.187329274703064,82.8325868403029,17.167,17,"midtide","CHAMBERLAIN","samples"
"32",4,0.186670322279781,0.203389466543173,0.170213370145548,73.0104338824672,9.822,27,"midtide","CHAMBERLAIN","samples"
"33",5,0.167057938235305,0.181896722957973,0.154481020733292,65.339644808612,7.671,35,"midtide","CHAMBERLAIN","samples"
"34",6,0.15187867382702,0.163342587440368,0.140510898489531,59.402736000984,5.937,41,"midtide","CHAMBERLAIN","samples"
"35",7,0.141371133096994,0.149837364498976,0.131763304534685,55.2930301925426,4.11,45,"midtide","CHAMBERLAIN","samples"
"36",8,0.131657442616583,0.140144140097258,0.122179566581536,51.49381482765,3.799,49,"midtide","CHAMBERLAIN","samples"
"37",9,0.125067574850632,0.132583018040887,0.116918432290809,48.9163879558032,2.577,51,"midtide","CHAMBERLAIN","samples"
"38",10,0.118576110725767,0.125271407474715,0.111099630643447,46.3774486830755,2.539,54,"midtide","CHAMBERLAIN","samples"
"39",11,0.113217607354651,0.1195408307788,0.107093021502157,44.281632640612,2.096,56,"midtide","CHAMBERLAIN","samples"
"40",12,0.108028606263544,0.113201799032717,0.101477961284597,42.2521122730922,2.03,58,"midtide","CHAMBERLAIN","samples"
"41",13,0.103780206060121,0.109564021186888,0.0981194001750913,40.5904794094953,1.662,59,"midtide","CHAMBERLAIN","samples"
"42",14,0.0998026832785945,0.104878175483328,0.0933477591716217,39.0347920323588,1.556,61,"midtide","CHAMBERLAIN","samples"
"43",15,0.0966186420118147,0.10185935522613,0.0914051627478805,37.7894508793133,1.245,62,"midtide","CHAMBERLAIN","samples"
"44",16,0.093648756456568,0.0982033089716656,0.0893429860552055,36.6278702363826,1.162,63,"midtide","CHAMBERLAIN","samples"
"45",17,0.0905148296066766,0.0948763660997478,0.0860441258076747,35.4021298172733,1.226,65,"midtide","CHAMBERLAIN","samples"
"46",18,0.0883019833786368,0.0932741101887116,0.0837349771952472,34.5366421422576,0.865,65,"midtide","CHAMBERLAIN","samples"
"47",19,0.0858587710542936,0.0901667848756192,0.0818188479434065,33.581053756869,0.956,66,"midtide","CHAMBERLAIN","samples"
"48",20,0.0837731448357717,0.0880157166471346,0.0795457284415944,32.7653243293347,0.816,67,"midtide","CHAMBERLAIN","samples"
"49",21,0.0818700811480173,0.0855392659077215,0.0780338472405549,32.0209986976434,0.744,68,"midtide","CHAMBERLAIN","samples"
"50",22,0.0799530758847861,0.0837114685758963,0.075833692692849,31.2712202416245,0.75,69,"midtide","CHAMBERLAIN","samples"
"51",23,0.0782007927166134,0.0817500115590661,0.0742115128111997,30.5858678362139,0.685,69,"midtide","CHAMBERLAIN","samples"
"52",24,0.0766364360254468,0.0800601114397956,0.0730107076330466,29.9740171715012,0.612,70,"midtide","CHAMBERLAIN","samples"
