"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.179284102074097,0.215791696049049,0.135187120681606,100,NA,NA,"hightide","GIANTSTAIRS","samples"
"2",3,0.152422522738693,0.17140296899459,0.135424950456858,85.0173110584547,14.983,15,"hightide","GIANTSTAIRS","samples"
"3",4,0.132743513122672,0.151252184698743,0.117836548560234,74.0408723288857,10.976,26,"hightide","GIANTSTAIRS","samples"
"4",5,0.119351025689064,0.132732944082052,0.105218644336695,66.5708918461362,7.47,33,"hightide","GIANTSTAIRS","samples"
"5",6,0.108607250442969,0.118042964915734,0.0975530487846359,60.5782939962419,5.993,39,"hightide","GIANTSTAIRS","samples"
"6",7,0.100476625106733,0.109742009451829,0.0884894449095116,56.0432430674786,4.535,44,"hightide","GIANTSTAIRS","samples"
"7",8,0.0942744734875529,0.105288612943555,0.0849913340219913,52.5838445221371,3.459,47,"hightide","GIANTSTAIRS","samples"
"8",9,0.0889887243828044,0.0984635801204816,0.0805814032053699,49.6355914179305,2.948,50,"hightide","GIANTSTAIRS","samples"
"9",10,0.0843171748835256,0.0918608576817755,0.0759944901391422,47.0299228476363,2.606,53,"hightide","GIANTSTAIRS","samples"
"10",11,0.0805723019874461,0.0892419840391547,0.0725357532274567,44.9411303374495,2.089,55,"hightide","GIANTSTAIRS","samples"
"11",12,0.0773140085494216,0.0846729743170021,0.0704255652538154,43.1237391687234,1.817,57,"hightide","GIANTSTAIRS","samples"
"12",13,0.0739419781996403,0.0804957265195976,0.0653796749908291,41.242908514599,1.881,59,"hightide","GIANTSTAIRS","samples"
"13",14,0.0713367222899132,0.0777871447618345,0.0652836001605291,39.7897646610239,1.453,60,"hightide","GIANTSTAIRS","samples"
"14",15,0.0689171238358174,0.0751800117495195,0.0630815969455923,38.4401756979736,1.35,62,"hightide","GIANTSTAIRS","samples"
"15",16,0.0670170588819852,0.072952656656959,0.0605398300017453,37.380368982347,1.06,63,"hightide","GIANTSTAIRS","samples"
"16",17,0.0649987778593762,0.070190449100876,0.0587393368665031,36.2546244242629,1.126,64,"hightide","GIANTSTAIRS","samples"
"17",18,0.0631980869021643,0.0677640963911433,0.0574697033529103,35.2502459342685,1.004,65,"hightide","GIANTSTAIRS","samples"
"18",19,0.0614598172319733,0.0661367893392414,0.0564198906197407,34.2806844114779,0.97,66,"hightide","GIANTSTAIRS","samples"
"19",20,0.0599326953382803,0.0646494739712251,0.0549347080591717,33.4288956159149,0.852,67,"hightide","GIANTSTAIRS","samples"
"20",21,0.0581454048490827,0.0631649010604806,0.0531646388818115,32.4319915577631,0.997,68,"hightide","GIANTSTAIRS","samples"
"21",22,0.057231666899739,0.0623538633296804,0.0518281202847737,31.9223323415957,0.51,68,"hightide","GIANTSTAIRS","samples"
"22",23,0.0558787150462633,0.0599495232171502,0.0506868069506909,31.1676910556012,0.755,69,"hightide","GIANTSTAIRS","samples"
"23",24,0.0545342723935745,0.0591141514991308,0.0495165117589047,30.4177959800561,0.75,70,"hightide","GIANTSTAIRS","samples"
"24",25,0.0535465308041523,0.0580591680935532,0.0487485022532533,29.8668594619849,0.551,70,"hightide","GIANTSTAIRS","samples"
"25",26,0.0526160572376642,0.0566441554981996,0.0477653633782473,29.3478655547039,0.519,71,"hightide","GIANTSTAIRS","samples"
"26",27,0.0516209340806699,0.0558727391378773,0.0464497389536873,28.7928117906044,0.555,71,"hightide","GIANTSTAIRS","samples"
"27",28,0.050581937002807,0.0542592711282612,0.0459999087240699,28.2132862967971,0.58,72,"hightide","GIANTSTAIRS","samples"
"28",29,0.0497566969541809,0.0540642097816789,0.0451694938501162,27.7529889033979,0.46,72,"hightide","GIANTSTAIRS","samples"
"29",30,0.0488903655113843,0.0529241133147277,0.0442270391664803,27.2697718011707,0.483,73,"hightide","GIANTSTAIRS","samples"
"30",2,0.111169806330619,0.139601174475893,0.0847180471702211,100,NA,NA,"midtide","GIANTSTAIRS","samples"
"31",3,0.0938845067511311,0.10627113508482,0.0774982707673747,84.4514440116218,15.549,16,"midtide","GIANTSTAIRS","samples"
"32",4,0.0825948227113267,0.0931179298862571,0.073222446460184,74.2960930108034,10.155,26,"midtide","GIANTSTAIRS","samples"
"33",5,0.0741057371309077,0.0837084952427779,0.0624072124249976,66.6599498343257,7.636,33,"midtide","GIANTSTAIRS","samples"
"34",6,0.0678335353069609,0.0763624474649092,0.0610768173577615,61.0179486192717,5.642,39,"midtide","GIANTSTAIRS","samples"
"35",7,0.0633564566164063,0.0718832204244057,0.0567651791830992,56.990705217192,4.027,43,"midtide","GIANTSTAIRS","samples"
"36",8,0.0588593067350762,0.064106133431202,0.0529775138903837,52.9454072808481,4.045,47,"midtide","GIANTSTAIRS","samples"
"37",9,0.0555659031983268,0.0621773747813269,0.0492484356564201,49.9829090581249,2.962,50,"midtide","GIANTSTAIRS","samples"
"38",10,0.0526628729664898,0.058882455487772,0.0475001483371163,47.3715613121341,2.611,53,"midtide","GIANTSTAIRS","samples"
"39",11,0.0502950065674332,0.0551986031819444,0.0450886059436919,45.2416067163559,2.13,55,"midtide","GIANTSTAIRS","samples"
"40",12,0.0482562086208418,0.0533562103751301,0.0432164995808207,43.4076573609635,1.834,57,"midtide","GIANTSTAIRS","samples"
"41",13,0.0461904273162398,0.0500370473848271,0.0417141254938392,41.5494358053206,1.858,58,"midtide","GIANTSTAIRS","samples"
"42",14,0.0447474389819271,0.0490191885472167,0.041130913037782,40.2514319840121,1.298,60,"midtide","GIANTSTAIRS","samples"
"43",15,0.0431632282425221,0.0477741588950026,0.0393059943088056,38.8263951042198,1.425,61,"midtide","GIANTSTAIRS","samples"
"44",16,0.041805615034054,0.0459927377035443,0.0381381274516782,37.6051883275969,1.221,62,"midtide","GIANTSTAIRS","samples"
"45",17,0.0405668461453689,0.0442522143111332,0.037148968313188,36.4908849663039,1.114,64,"midtide","GIANTSTAIRS","samples"
"46",18,0.0393264725132741,0.0430641883141936,0.0358978278597037,35.3751380984844,1.116,65,"midtide","GIANTSTAIRS","samples"
"47",19,0.0383708519638333,0.0416608016874548,0.0351741500175006,34.5155336960095,0.86,65,"midtide","GIANTSTAIRS","samples"
"48",20,0.0374666820006624,0.0410917644039683,0.0345680576437585,33.7022103728746,0.813,66,"midtide","GIANTSTAIRS","samples"
"49",21,0.0364576163898744,0.0394537553138587,0.0335678442048763,32.7945308112254,0.908,67,"midtide","GIANTSTAIRS","samples"
"50",22,0.0356466573915179,0.038559382536035,0.0326982874357398,32.0650530644128,0.729,68,"midtide","GIANTSTAIRS","samples"
"51",23,0.0348080035415527,0.0378352279057133,0.0321369241266602,31.3106631111992,0.754,69,"midtide","GIANTSTAIRS","samples"
"52",24,0.0341243801200387,0.0370093637182932,0.0313602650309015,30.6957268761923,0.615,69,"midtide","GIANTSTAIRS","samples"
"53",25,0.0334668643044465,0.036100045357662,0.0307391160765934,30.104275080696,0.591,70,"midtide","GIANTSTAIRS","samples"
"54",26,0.0328718356058523,0.0357270468781724,0.0302434217267816,29.5690319978534,0.535,70,"midtide","GIANTSTAIRS","samples"
"55",27,0.0322038320610984,0.0351446687150102,0.0296091480556583,28.9681462296734,0.601,71,"midtide","GIANTSTAIRS","samples"
"56",28,0.0315960894393705,0.034275705858854,0.0290059088286332,28.4214666574157,0.547,72,"midtide","GIANTSTAIRS","samples"
"57",29,0.0310316727160481,0.0336061461776295,0.0286222886787102,27.9137598061113,0.508,72,"midtide","GIANTSTAIRS","samples"
"58",30,0.0305450039569708,0.0330576081302177,0.0280145046388638,27.4759891783295,0.438,73,"midtide","GIANTSTAIRS","samples"
