"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.0576497890997891,0.0861523892773893,0.0343215811965812,100,NA,NA,"hightide","MAINE","samples"
"2",3,0.0528432624627836,0.0717483045935406,0.0359476392431437,91.6625425486196,8.337,8,"hightide","MAINE","samples"
"3",4,0.0475037828975819,0.0606094226944644,0.0340384380625056,82.4006187001917,9.262,18,"hightide","MAINE","samples"
"4",5,0.0432983586374329,0.0530500655248764,0.0325062236453222,75.1058404784196,7.295,25,"hightide","MAINE","samples"
"5",6,0.0400214608412933,0.0479652176859051,0.0305009090945831,69.4216951462181,5.684,31,"hightide","MAINE","samples"
"6",7,0.0372882625133695,0.0451679177225238,0.0287542312074428,64.6806572853637,4.741,35,"hightide","MAINE","samples"
"7",8,0.0348416676651587,0.0411486519188025,0.0267184308044039,60.436765180267,4.244,40,"hightide","MAINE","samples"
"8",9,0.0329026840366386,0.038319320280109,0.0259494227597747,57.0733814475637,3.363,43,"hightide","MAINE","samples"
"9",10,0.0314133648921903,0.03812984463609,0.0245370209042065,54.4899910003405,2.583,46,"hightide","MAINE","samples"
"10",11,0.0299606228727459,0.0356108698046364,0.0236601107056734,51.9700476629419,2.52,48,"hightide","MAINE","samples"
"11",12,0.0286563299702944,0.0343629404199263,0.0225878875235416,49.7076059041458,2.262,50,"hightide","MAINE","samples"
"12",13,0.0276943051711852,0.0324906171048272,0.0219455045710715,48.0388664098106,1.669,52,"hightide","MAINE","samples"
"13",14,0.0267964051726797,0.0317537402888195,0.0212463826694775,46.4813585463363,1.558,54,"hightide","MAINE","samples"
"14",15,0.0255512947525166,0.0291603191230851,0.0201777140484146,44.3215754151129,2.16,56,"hightide","MAINE","samples"
"15",16,0.025094639784741,0.0291021421600795,0.019950833441033,43.5294563546509,0.792,56,"hightide","MAINE","samples"
"16",17,0.0243108468774058,0.0278882928254446,0.019555837540733,42.1698799891963,1.36,58,"hightide","MAINE","samples"
"17",18,0.0235421955675716,0.0274865477636087,0.0181673988378424,40.8365684162715,1.333,59,"hightide","MAINE","samples"
"18",19,0.022961994957174,0.0268193449992984,0.0184963798355245,39.8301456357938,1.006,60,"hightide","MAINE","samples"
"19",20,0.0224245697201612,0.026568495524201,0.0180593055257292,38.8979215194445,0.932,61,"hightide","MAINE","samples"
"20",21,0.0217748211919032,0.025616657794075,0.0169816348321285,37.770860105337,1.127,62,"hightide","MAINE","samples"
"21",22,0.0212848527942533,0.0250388761955266,0.0168573725414763,36.9209551788822,0.85,63,"hightide","MAINE","samples"
"22",23,0.0208181285288121,0.024382262830811,0.0171321271453624,36.1113697966473,0.81,64,"hightide","MAINE","samples"
"23",24,0.0204135260433461,0.0235115212323125,0.0159350567994897,35.4095415822098,0.702,65,"hightide","MAINE","samples"
"24",25,0.0200237220911134,0.0236246762403094,0.0157298045972861,34.7333830770018,0.676,65,"hightide","MAINE","samples"
"25",26,0.0196128851342924,0.0227070968399011,0.0159491315219479,34.0207404754654,0.713,66,"hightide","MAINE","samples"
"26",27,0.0192826482382351,0.0222231332616439,0.0157375735561504,33.4479076842028,0.573,67,"hightide","MAINE","samples"
"27",28,0.0189044579369691,0.0219452345613375,0.0150279587918614,32.7918943541083,0.656,67,"hightide","MAINE","samples"
"28",29,0.0186767280889701,0.0215922359737817,0.0153049931193009,32.3968714900962,0.395,68,"hightide","MAINE","samples"
"29",30,0.0183439167942902,0.0212871150473515,0.0147818511906132,31.8195731168031,0.577,68,"hightide","MAINE","samples"
"30",2,0.0342893772893773,0.054496336996337,0.0166666666666667,100,NA,NA,"midtide","MAINE","samples"
"31",3,0.0315832905450735,0.0463434105094952,0.0175224569533946,92.1080901485425,7.892,8,"midtide","MAINE","samples"
"32",4,0.0294718891131955,0.0391075728801804,0.020335315848561,85.9504938350858,6.158,14,"midtide","MAINE","samples"
"33",5,0.0259347367552416,0.0332825173519758,0.0148999260535111,75.6349015509128,10.316,24,"midtide","MAINE","samples"
"34",6,0.024428014861695,0.0305138800194913,0.0178575165968554,71.2407654870498,4.394,29,"midtide","MAINE","samples"
"35",7,0.0231414634337925,0.0288790460579329,0.0165423160368505,67.4887246813946,3.752,33,"midtide","MAINE","samples"
"36",8,0.0214223866121957,0.0262957817786081,0.0147677430086313,62.4752862421689,5.013,38,"midtide","MAINE","samples"
"37",9,0.0205858105927003,0.0247640867955806,0.014640051377642,60.0355335093173,2.44,40,"midtide","MAINE","samples"
"38",10,0.0194060356795684,0.0240628010911457,0.0134892858045846,56.5948909360343,3.441,43,"midtide","MAINE","samples"
"39",11,0.0188839661373286,0.0234869795370334,0.0133608600415673,55.0723507690493,1.523,45,"midtide","MAINE","samples"
"40",12,0.0180025408538739,0.0216741953734684,0.0135672770837739,52.5018016569552,2.571,48,"midtide","MAINE","samples"
"41",13,0.0171306778495986,0.0207224295315311,0.013019566113567,49.9591395464204,2.543,50,"midtide","MAINE","samples"
"42",14,0.0165796197654907,0.0197322272831125,0.013033631036357,48.3520584977989,1.607,52,"midtide","MAINE","samples"
"43",15,0.0161178438396662,0.01894791043827,0.0124000139395678,47.0053559259573,1.347,53,"midtide","MAINE","samples"
"44",16,0.0155861784499072,0.0179265225320253,0.0124741760175241,45.4548308602144,1.551,55,"midtide","MAINE","samples"
"45",17,0.0151939926628585,0.0177699245406127,0.0114100353118094,44.3110778438241,1.144,56,"midtide","MAINE","samples"
"46",18,0.0147942054231778,0.0174993982293046,0.011783452296272,43.145156292357,1.166,57,"midtide","MAINE","samples"
"47",19,0.0143866986312929,0.0169458745652615,0.0110870888380007,41.9567217855248,1.188,58,"midtide","MAINE","samples"
"48",20,0.0140192131343519,0.0168636152125355,0.0110753366441619,40.8850035859211,1.072,59,"midtide","MAINE","samples"
"49",21,0.0137102804797745,0.0160860177520036,0.0107214306735437,39.9840462661942,0.901,60,"midtide","MAINE","samples"
"50",22,0.0134714866387279,0.0155275875027676,0.0105212859567262,39.2876386323333,0.696,61,"midtide","MAINE","samples"
"51",23,0.013056302241394,0.0150881907955927,0.0095011790777565,38.0768135017687,1.211,62,"midtide","MAINE","samples"
"52",24,0.0128665537192919,0.0152655448737168,0.0102608671143796,37.5234394334652,0.553,62,"midtide","MAINE","samples"
"53",25,0.0125284417975199,0.0146351229015023,0.0101361877134526,36.5373850093251,0.986,63,"midtide","MAINE","samples"
"54",26,0.0123443845229325,0.0145946855121362,0.00979302143240628,36.0006086396813,0.537,64,"midtide","MAINE","samples"
"55",27,0.0121327708106002,0.0142895118295033,0.00956082781839405,35.3834679125504,0.617,65,"midtide","MAINE","samples"
"56",28,0.0118294728291622,0.013749923410257,0.00950454819283863,34.4989433005158,0.885,66,"midtide","MAINE","samples"
"57",29,0.0117279162061893,0.0135401328678643,0.00926840942219738,34.2027681261582,0.296,66,"midtide","MAINE","samples"
"58",30,0.0114857189481659,0.0134490155756569,0.00918150388268934,33.4964349198728,0.706,67,"midtide","MAINE","samples"
