,Country,Locality,Site,Strata,Littorina littorea,Littorina obtusata,Fucus distichus,Hildenbrandia,Mytilus edulis,Semibalanus balanoides,Nucella lapillus,Polysiphonia,Ralfsia,Vertebrata lanosa,Carcinus maenas,Ulva lactuca,Testudinalia testudinalis,Ascophyllum nodosum,Clathromorphum,Dumontia contorta,Dynamena,Mastocarpus stellatus,Chondrus crispus
1,USA,GIANTSTAIRS,GIANTSTAIRS,hightide,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,USA,GIANTSTAIRS,GIANTSTAIRS,hightide,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,USA,GIANTSTAIRS,GIANTSTAIRS,hightide,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
4,USA,GIANTSTAIRS,GIANTSTAIRS,hightide,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
5,USA,GIANTSTAIRS,GIANTSTAIRS,hightide,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,USA,GIANTSTAIRS,GIANTSTAIRS,midtide,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
7,USA,GIANTSTAIRS,GIANTSTAIRS,midtide,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
8,USA,GIANTSTAIRS,GIANTSTAIRS,midtide,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,1
9,USA,GIANTSTAIRS,GIANTSTAIRS,midtide,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1
10,USA,GIANTSTAIRS,GIANTSTAIRS,midtide,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1
