"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.018216882519081,0.0269075865972855,0.0111722310819976,"sites",100,NA,NA,"hightide","ANTARTICA"
"2",3,0.0132770867204269,0.0216377598947844,0.00732786974505205,"sites",72.883418480193,27.117,27,"hightide","ANTARTICA"
"3",2,0.142076049322534,0.171556010884099,0.110623043246227,"samples",100,NA,NA,"hightide","ANTARTICA"
"4",3,0.120745334901918,0.135621270136916,0.104027552787049,"samples",84.9864107832898,15.014,15,"hightide","ANTARTICA"
"5",4,0.10515017287048,0.121707482575349,0.0919731896150112,"samples",74.0097809390614,10.977,26,"hightide","ANTARTICA"
"6",5,0.0940634283169069,0.105096061794573,0.0849884880713505,"samples",66.2063935233508,7.803,34,"hightide","ANTARTICA"
"7",6,0.0866424421098202,0.0958641452496787,0.0787939156988274,"samples",60.9831442547566,5.223,39,"hightide","ANTARTICA"
"8",7,0.0805042799643269,0.0895721846278721,0.0730073876247715,"samples",56.6628086494509,4.32,43,"hightide","ANTARTICA"
"9",8,0.0755863706589006,0.0840181347730525,0.0696691123134279,"samples",53.2013460532733,3.461,47,"hightide","ANTARTICA"
"10",9,0.0715293358748328,0.0798364623808551,0.0641652614556752,"samples",50.3458086115911,2.856,50,"hightide","ANTARTICA"
"11",10,0.0677172989842377,0.0744440530904648,0.0607887828410681,"samples",47.6627125452434,2.683,52,"hightide","ANTARTICA"
"12",11,0.0645884817951874,0.0709982094406731,0.0595054366101415,"samples",45.4604995727054,2.202,55,"hightide","ANTARTICA"
"13",12,0.0619745544313989,0.0677540628008486,0.0558501312342403,"samples",43.620690979876,1.84,56,"hightide","ANTARTICA"
"14",13,0.0597679726756022,0.0660695786749835,0.054281961075263,"samples",42.0675919414959,1.553,58,"hightide","ANTARTICA"
"15",14,0.0573015109263223,0.0628218894702545,0.0525974093209045,"samples",40.3315767854997,1.736,60,"hightide","ANTARTICA"
"16",15,0.0553403269108188,0.0604969323766356,0.0506289048240004,"samples",38.951200553999,1.38,61,"hightide","ANTARTICA"
"17",16,0.0536104463575773,0.0581574973143678,0.0494408665674179,"samples",37.7336268943357,1.218,62,"hightide","ANTARTICA"
"18",17,0.0519480254913067,0.0577845019246728,0.0478661422109351,"samples",36.5635346274141,1.17,63,"hightide","ANTARTICA"
"19",18,0.0506012385809156,0.0551813349529228,0.0459616815290568,"samples",35.6156008153374,0.948,64,"hightide","ANTARTICA"
"20",19,0.0492815432578058,0.0532760099002829,0.0452690726702263,"samples",34.6867353736232,0.929,65,"hightide","ANTARTICA"
"21",20,0.0480652017750625,0.0529633782961817,0.043357632766392,"samples",33.8306153670892,0.856,66,"hightide","ANTARTICA"
"22",21,0.0469769955967544,0.0512500783678181,0.0429509826714374,"samples",33.0646831895709,0.766,67,"hightide","ANTARTICA"
"23",22,0.0457721534875035,0.0498267912931653,0.0419057916349733,"samples",32.216656998671,0.848,68,"hightide","ANTARTICA"
"24",23,0.044836128214684,0.0486965693905466,0.041468699062673,"samples",31.5578371079978,0.659,68,"hightide","ANTARTICA"
"25",24,0.0438694626708852,0.0477591948717531,0.0405235433165734,"samples",30.877451111619,0.68,69,"hightide","ANTARTICA"
"26",25,0.0430214335709584,0.0469341370233303,0.0397035631826063,"samples",30.2805671864462,0.597,70,"hightide","ANTARTICA"
"27",26,0.0422087159984855,0.0463161417174227,0.0389523964767022,"samples",29.7085372233749,0.572,70,"hightide","ANTARTICA"
"28",27,0.0413539424338203,0.0452828695166527,0.037683055294713,"samples",29.1069062174868,0.602,71,"hightide","ANTARTICA"
"29",28,0.040634459570809,0.0445178043233499,0.0375891004913593,"samples",28.6004993554984,0.506,71,"hightide","ANTARTICA"
"30",29,0.0398840325789552,0.0435776155833592,0.0369000382058113,"samples",28.0723125179336,0.528,72,"hightide","ANTARTICA"
"31",30,0.0392018171625081,0.0423241265102443,0.0360737590350778,"samples",27.592136288583,0.48,72,"hightide","ANTARTICA"
"32",2,0.0179017240419842,0.0272165347296321,0.00943888612211046,"sites",100,NA,NA,"midtide","ANTARTICA"
"33",3,0.0143614613926149,0.0237265546380168,0.00654685972047017,"sites",80.2239011110524,19.776,20,"midtide","ANTARTICA"
"34",2,0.0973673736727021,0.121966642832718,0.0723390844733648,"samples",100,NA,NA,"midtide","ANTARTICA"
"35",3,0.0833625334998782,0.098588048905303,0.069436851233463,"samples",85.6164959117611,14.384,14,"midtide","ANTARTICA"
"36",4,0.0718522996919226,0.0828852407344237,0.0599917180448619,"samples",73.7950475417487,11.821,26,"midtide","ANTARTICA"
"37",5,0.0654900382689466,0.0737676571286407,0.056004765034865,"samples",67.2607628188572,6.534,33,"midtide","ANTARTICA"
"38",6,0.0599690515837743,0.0686589365545293,0.0514583926205871,"samples",61.5904992830131,5.67,38,"midtide","ANTARTICA"
"39",7,0.0556989322514765,0.0637850275640553,0.0485214258552417,"samples",57.2049241450294,4.386,43,"midtide","ANTARTICA"
"40",8,0.0518835352318608,0.0589301988600962,0.0447077159751046,"samples",53.2863661356071,3.919,47,"midtide","ANTARTICA"
"41",9,0.0492252228811798,0.0552934258375025,0.043502276075261,"samples",50.5561781368871,2.73,49,"midtide","ANTARTICA"
"42",10,0.0466734327772178,0.052223937390248,0.0409965770291637,"samples",47.9353925413551,2.621,52,"midtide","ANTARTICA"
"43",11,0.0446798587561945,0.0501064279559075,0.038248107637217,"samples",45.8879161169374,2.047,54,"midtide","ANTARTICA"
"44",12,0.0427876639450008,0.0483569851871097,0.0374234278874844,"samples",43.9445600010025,1.943,56,"midtide","ANTARTICA"
"45",13,0.040941568933733,0.0460622242285543,0.0364803522176728,"samples",42.0485501348296,1.896,58,"midtide","ANTARTICA"
