"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.134622352619461,0.170207715570366,0.0812696597000237,"sites",100,NA,NA,"hightide","APACOSTADASALGAS"
"2",3,0.114816913611626,0.14446770162048,0.0696648722262165,"sites",85.2881496850536,14.712,15,"hightide","APACOSTADASALGAS"
"3",2,0.149740112806064,0.181628718978052,0.117709753539959,"samples",100,NA,NA,"hightide","APACOSTADASALGAS"
"4",3,0.125242674666786,0.147867044114004,0.105032299972552,"samples",83.6400295951388,16.36,16,"hightide","APACOSTADASALGAS"
"5",4,0.10938299676117,0.125410244017447,0.0900421519744125,"samples",73.0485604100203,10.591,27,"hightide","APACOSTADASALGAS"
"6",5,0.0982561259524456,0.114484678107619,0.0817813330294088,"samples",65.6177720927072,7.431,34,"hightide","APACOSTADASALGAS"
"7",6,0.0899722616615102,0.103253413854267,0.0753975248978266,"samples",60.0856109798968,5.532,40,"hightide","APACOSTADASALGAS"
"8",7,0.0835600325732261,0.09691393090221,0.0699094801400543,"samples",55.8033722610114,4.282,44,"hightide","APACOSTADASALGAS"
"9",8,0.0780547931617536,0.0907128844377046,0.065629736255839,"samples",52.1268427671391,3.677,48,"hightide","APACOSTADASALGAS"
"10",9,0.0736666749268712,0.0847695542629449,0.0617371742152809,"samples",49.1963532993198,2.93,51,"hightide","APACOSTADASALGAS"
"11",10,0.0697674828766526,0.0804285858319341,0.0584499168046549,"samples",46.5923803376668,2.604,53,"hightide","APACOSTADASALGAS"
"12",11,0.0666202702878212,0.0760621113867079,0.0557250750486201,"samples",44.4905971014624,2.102,56,"hightide","APACOSTADASALGAS"
"13",12,0.0638538615796898,0.0733271629371108,0.0538071931297657,"samples",42.643123731575,1.847,57,"hightide","APACOSTADASALGAS"
"14",13,0.0613806938762827,0.0699865900703673,0.0508788801212075,"samples",40.9914836619497,1.652,59,"hightide","APACOSTADASALGAS"
"15",14,0.0591014578069539,0.0674556643765058,0.0496737269250309,"samples",39.4693557386986,1.522,61,"hightide","APACOSTADASALGAS"
"16",15,0.0571577905646824,0.0652744850193251,0.0473692467637883,"samples",38.1713286397149,1.298,62,"hightide","APACOSTADASALGAS"
"17",16,0.0552796400644153,0.0626511659170265,0.0462467566426614,"samples",36.9170551754631,1.254,63,"hightide","APACOSTADASALGAS"
"18",17,0.0537350501772659,0.061537792031854,0.0445744315074576,"samples",35.8855414025639,1.032,64,"hightide","APACOSTADASALGAS"
"19",18,0.0522235860412132,0.0596999097184765,0.0436156209253601,"samples",34.876149792174,1.009,65,"hightide","APACOSTADASALGAS"
"20",19,0.0506561361800452,0.0581382465805194,0.0424563236060257,"samples",33.8293695862595,1.047,66,"hightide","APACOSTADASALGAS"
"21",20,0.0494629202819113,0.0564584619543049,0.0408042040270317,"samples",33.0325116997697,0.797,67,"hightide","APACOSTADASALGAS"
"22",21,0.0484026018086864,0.0553907824079787,0.0411334007010106,"samples",32.3244058667,0.708,68,"hightide","APACOSTADASALGAS"
"23",22,0.0472125169333302,0.05351364268768,0.0396623146579657,"samples",31.5296389515063,0.795,68,"hightide","APACOSTADASALGAS"
"24",23,0.0461637638291509,0.0531718271499738,0.0389050378027244,"samples",30.8292567462802,0.7,69,"hightide","APACOSTADASALGAS"
"25",24,0.0451429358967272,0.0515044652123277,0.0378251053393449,"samples",30.1475236332927,0.682,70,"hightide","APACOSTADASALGAS"
"26",25,0.0442843906621268,0.0507481545544672,0.0367144495213052,"samples",29.5741667561596,0.573,70,"hightide","APACOSTADASALGAS"
"27",26,0.0434135118133862,0.0498604151742869,0.0370807331745169,"samples",28.9925731988818,0.582,71,"hightide","APACOSTADASALGAS"
"28",27,0.0425556427979661,0.0489163729657329,0.0360089232200373,"samples",28.419667916961,0.573,72,"hightide","APACOSTADASALGAS"
"29",28,0.0418432369611377,0.0481758521893272,0.0353488624005949,"samples",27.9439063968992,0.476,72,"hightide","APACOSTADASALGAS"
"30",29,0.0411988436879759,0.0472735218863443,0.0349008828050366,"samples",27.5135652804901,0.43,72,"hightide","APACOSTADASALGAS"
"31",30,0.0403949657920033,0.0464609207841101,0.0337154607706028,"samples",26.976716549106,0.537,73,"hightide","APACOSTADASALGAS"
"32",2,0.0760559591645837,0.0977725456820275,0.0479204013599823,"sites",100,NA,NA,"midtide","APACOSTADASALGAS"
"33",3,0.0644518988951474,0.0823819454339381,0.0416338760611323,"sites",84.742733643888,15.257,15,"midtide","APACOSTADASALGAS"
"34",2,0.172879557852583,0.193353595290481,0.149987033745276,"samples",100,NA,NA,"midtide","APACOSTADASALGAS"
"35",3,0.14291860620356,0.156461225533489,0.126437422919256,"samples",82.6694653658409,17.331,17,"midtide","APACOSTADASALGAS"
"36",4,0.124670078188006,0.135525045378891,0.112248365197853,"samples",72.1138344733126,10.556,28,"midtide","APACOSTADASALGAS"
"37",5,0.112034908346605,0.121137645197662,0.0992868747755944,"samples",64.8051798247536,7.309,35,"midtide","APACOSTADASALGAS"
"38",6,0.102122789353125,0.110982136643076,0.0923543741185365,"samples",59.0716395979025,5.734,41,"midtide","APACOSTADASALGAS"
"39",7,0.0946205954945758,0.103388801492764,0.0854308118180737,"samples",54.7320901730095,4.34,45,"midtide","APACOSTADASALGAS"
"40",8,0.0882972382095954,0.0967757387120736,0.0793060891002599,"samples",51.0744238974095,3.658,49,"midtide","APACOSTADASALGAS"
"41",9,0.0833939219050482,0.0900329999743699,0.0745391997132096,"samples",48.2381624183465,2.836,52,"midtide","APACOSTADASALGAS"
"42",10,0.0792637594098928,0.0858321813550629,0.0708279103061002,"samples",45.8491220098343,2.389,54,"midtide","APACOSTADASALGAS"
"43",11,0.0755981145862143,0.0819881772865448,0.0690617884378929,"samples",43.7287759902059,2.12,56,"midtide","APACOSTADASALGAS"
"44",12,0.0723934159737598,0.0785654905632725,0.0662016344223277,"samples",41.8750584933187,1.854,58,"midtide","APACOSTADASALGAS"
"45",13,0.0693126601678169,0.0748626751258973,0.0632569472736746,"samples",40.0930341497755,1.782,60,"midtide","APACOSTADASALGAS"
"46",14,0.0670929988019699,0.0726335534203915,0.0609654889617553,"samples",38.8090990255662,1.284,61,"midtide","APACOSTADASALGAS"
"47",15,0.0647100040677842,0.0701395732355948,0.0578612542878714,"samples",37.4306857742912,1.378,63,"midtide","APACOSTADASALGAS"
"48",16,0.0627514564617809,0.0672172137689997,0.0567800163328507,"samples",36.2977886114737,1.133,64,"midtide","APACOSTADASALGAS"
"49",17,0.060826113397793,0.0654493620012453,0.0550888128349155,"samples",35.1840981972319,1.114,65,"midtide","APACOSTADASALGAS"
