Country,Locality,Site,Strata,"Balanus glandula Darwin, 1854","Balanus glandula Darwin, 1855",Brachidontes rodriguezii/Brachidontes purpuratus ,Bryopsis australis Sonder,Ceramium sp.,Chaetomorpha sp.,Cladophora sp.,Codium sp.,Colpomenia sinuosa (Mertens ex Roth) Derbés et Solier,Corallina officinalis,Dictyota dichotoma ,Ulva prolifera,Porifera sp1,Leathesia sp.,Myriogloea sp.,Leiosolenus patagonicus,Parabunodactis imperfecta,Phaeophyceae,Phaeophyceae,Polysiphonia sp.,Ralfsia sp. ,Corallinophycidae,Scytosiphon sp.,Polychaeta,Ulva sp.,Undaria pinnatifida
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,1,,,,,,,,,13,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,2,,2,,,,,,,,,73,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,,,,,,,,,,68,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,,,,,,,,,,82,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,,,,,,,,,,86,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,10,,,,,,,,,62,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,15,,,,,,,,,30,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,,,,,,,,,,17,,,,,,,,,,,,,2,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,,,,,,,,,,18,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,hightide,,,,,,,,,,,,22,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,midtide,1,2,90,1,,,,,,,,1,,,,,,,,,3,,,,,
Argentina,Puerto Madryn,Punta Cuevas,midtide,5,1,88,1,,,,,,,,1,,,,,,,,,3,,,,,
Argentina,Puerto Madryn,Punta Cuevas,midtide,3,2,82,,,,,,,,,2,,,,,,,,,4,,,,2,
Argentina,Puerto Madryn,Punta Cuevas,midtide,6,1,83,1,,,,,,,,,,,,,,,,,5,,,,1,
Argentina,Puerto Madryn,Punta Cuevas,midtide,1,1,84,,,,,,,,,2,,,,,,,,1,3,,1,,2,
Argentina,Puerto Madryn,Punta Cuevas,midtide,3,1,87,,,,,,,1,,1,,,,,,,,,3,,1,,1,
Argentina,Puerto Madryn,Punta Cuevas,midtide,2,5,89,,,,,,,,,1,,,,,,,,,1,,,,,
Argentina,Puerto Madryn,Punta Cuevas,midtide,2,3,94,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Cuevas,midtide,1,3,86,,,,,,,,,3,,,,,,,,,1,,,,,
Argentina,Puerto Madryn,Punta Cuevas,midtide,3,4,87,,,,,,,,,1,,,,,,,,,4,,,,,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,1,,,43,,,,,,,,,,8,,2,,2,14,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,1,,,5,,3,,,,,,,,2,,,1,8,9,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,22,,,,,,,,,,2,,,2,,12,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,21,,,1,,,,,,,2,,,,18,,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,6,,,,,,,,,,1,,,,7,32,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,10,,,,,,,,,,6,,,,5,17,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,16,,,,,,,,,,3,,,,4,20,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,23,,,,,,,,1,,5,,,,,8,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,18,,,,,,,,1,,14,,,,2,17,
Argentina,Puerto Madryn,Punta Cuevas,lowtide,,,,,,,,,,10,,1,,,,,,,,7,,,,8,16,
Argentina,Puerto Madryn,Punta Este,hightide,11,,1,,,,,,,,,4,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,4,,,,,,,,,,,7,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,2,,,,,,,,,,,6,,,,,,,,,,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,3,,,,,,,,,,,3,,,,,,,,,1,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,4,,,,,,,,,,,9,,,,,,,,,2,,,,,
Argentina,Puerto Madryn,Punta Este,hightide,9,,,,,,,,,,,5,,,,,,,,,,,,,,
