"","Country","Locality","Site","Strata","Brachidontes","Ulva prolifera","Siphonaria lessonii","Balanus glandula","Mytilus platensis","Ulva","Cladophora","Corallina officinalis","Polysiphonia","Corallinophycidae","Polychaeta","Scytosiphon","Tegula patagonica","Porifera","Trophon geversianus","Phaeophyceae","Cyrtograpsus altimanus","Bryopsis australis","Ralfsia","Exosphaeroma","Ceramium","Leiosolenus patagonicus","Parabunodactis imperfecta","Aulacomya atra","Epitonium fabrizioi","Dictyota dichotoma","Diadumene","Undaria pinnatifida","Plaxiphora (Plaxiphora) aurata","Leathesia","Fissurella radiosa tixierae","Codium","Eulalia clavigera"
"1","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","hightide",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","lowtide",0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","ARGENTINA","PUERTOMADRYN","PUNTACUEVAS","midtide",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
