"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.0979271263861016,0.121494440382131,0.0607367095684006,"sites",100,NA,NA,"hightide","ARRAIALDOCABO"
"2",3,0.0822682081355921,0.101214842308381,0.0517233108566191,"sites",84.0096214109557,15.99,16,"hightide","ARRAIALDOCABO"
"3",2,0.12938151897179,0.156332172151696,0.093347654447644,"samples",100,NA,NA,"hightide","ARRAIALDOCABO"
"4",3,0.107513853762242,0.128471243684085,0.083625689335195,"samples",83.0983084884667,16.902,17,"hightide","ARRAIALDOCABO"
"5",4,0.093466063666347,0.108644953988584,0.0712363402665081,"samples",72.2406603424762,10.858,28,"hightide","ARRAIALDOCABO"
"6",5,0.0841319724507481,0.0989758017357242,0.0653526868464378,"samples",65.0262673675149,7.214,35,"hightide","ARRAIALDOCABO"
"7",6,0.0771934014465007,0.0905808964951981,0.0594960139992906,"samples",59.6633909231904,5.363,40,"hightide","ARRAIALDOCABO"
"8",7,0.0715020925576125,0.0833577833740266,0.0551734236794887,"samples",55.2645332392509,4.399,45,"hightide","ARRAIALDOCABO"
"9",8,0.0668919931102888,0.0774881749828257,0.0513991685687564,"samples",51.701350889901,3.563,48,"hightide","ARRAIALDOCABO"
"10",9,0.0629493858487151,0.0736182787923317,0.048630989425695,"samples",48.6540785337669,3.047,51,"hightide","ARRAIALDOCABO"
"11",10,0.0599725228996114,0.0691123168514681,0.0463361965104112,"samples",46.3532376000994,2.301,54,"hightide","ARRAIALDOCABO"
"12",11,0.0570231090168891,0.0665906532833152,0.0439344124681258,"samples",44.073612267083,2.28,56,"hightide","ARRAIALDOCABO"
"13",12,0.0546218610805016,0.0632710991209743,0.0412655811000653,"samples",42.2176687324341,1.856,58,"hightide","ARRAIALDOCABO"
"14",13,0.0526033802108591,0.0606094825508115,0.0400567746192918,"samples",40.6575688930725,1.56,59,"hightide","ARRAIALDOCABO"
"15",14,0.0507493912881576,0.0582007582068819,0.040192421316251,"samples",39.2246061813689,1.433,61,"hightide","ARRAIALDOCABO"
"16",15,0.0490060801665088,0.0561328332222518,0.0379708621367441,"samples",37.8771872180555,1.347,62,"hightide","ARRAIALDOCABO"
"17",16,0.0473043425421437,0.0545440060243694,0.0366516376455927,"samples",36.5619007398251,1.315,63,"hightide","ARRAIALDOCABO"
"18",17,0.0460636408808536,0.0524429279267563,0.0352844915140679,"samples",35.6029526063125,0.959,64,"hightide","ARRAIALDOCABO"
"19",18,0.0446620890857964,0.051607278288067,0.0344941329884712,"samples",34.5196821313672,1.083,65,"hightide","ARRAIALDOCABO"
"20",19,0.0434763353291251,0.0496754554271764,0.0338955687942208,"samples",33.6032036682183,0.916,66,"hightide","ARRAIALDOCABO"
"21",20,0.0424042401669533,0.0489506424891298,0.0331509317167127,"samples",32.7745728323062,0.829,67,"hightide","ARRAIALDOCABO"
"22",21,0.0412921451296632,0.0480127835610284,0.0322200270561106,"samples",31.9150257763371,0.86,68,"hightide","ARRAIALDOCABO"
"23",22,0.040421202549692,0.0464012297711984,0.0308471820609902,"samples",31.2418673632247,0.673,69,"hightide","ARRAIALDOCABO"
"24",23,0.0395383510426389,0.0451900230139194,0.0304682671420898,"samples",30.5595044461178,0.682,69,"hightide","ARRAIALDOCABO"
"25",24,0.0387956856460107,0.0448723970548906,0.0299058488175938,"samples",29.9854924832577,0.574,70,"hightide","ARRAIALDOCABO"
"26",25,0.0379656603560392,0.0436525055881762,0.0291797562245482,"samples",29.343959367425,0.642,71,"hightide","ARRAIALDOCABO"
"27",26,0.0372792880959081,0.0433654264047912,0.0290600739486557,"samples",28.813456815294,0.531,71,"hightide","ARRAIALDOCABO"
"28",27,0.0364917098059687,0.0416952594695705,0.0287298948468464,"samples",28.2047313217317,0.609,72,"hightide","ARRAIALDOCABO"
"29",28,0.0358141391299157,0.0412573916787124,0.0284270994289192,"samples",27.6810315835947,0.524,72,"hightide","ARRAIALDOCABO"
"30",29,0.0352142291846469,0.0404706314442784,0.0269603464970702,"samples",27.2173564389246,0.464,73,"hightide","ARRAIALDOCABO"
"31",30,0.0346548391489079,0.040065835368846,0.0267954553740954,"samples",26.7849994530239,0.432,73,"hightide","ARRAIALDOCABO"
"32",2,0.0260004451669262,0.0354175373856679,0.0156559380803212,"sites",100,NA,NA,"midtide","ARRAIALDOCABO"
"33",3,0.0220464910909584,0.0311614800440164,0.0125337334764626,"sites",84.7927446988583,15.207,15,"midtide","ARRAIALDOCABO"
"34",2,0.119393754106608,0.14187663681379,0.0972965716157957,"samples",100,NA,NA,"midtide","ARRAIALDOCABO"
"35",3,0.0994232395593335,0.114531138974348,0.0872915334630358,"samples",83.2734009440374,16.727,17,"midtide","ARRAIALDOCABO"
"36",4,0.0860465426114352,0.0946967182831125,0.0765138397883398,"samples",72.0695510877425,11.204,28,"midtide","ARRAIALDOCABO"
"37",5,0.0774798062319793,0.0873143746756739,0.067145495917902,"samples",64.8943546601248,7.175,35,"midtide","ARRAIALDOCABO"
"38",6,0.0714486338017252,0.0810219354320089,0.0638405079305027,"samples",59.8428572217674,5.051,40,"midtide","ARRAIALDOCABO"
"39",7,0.0658368763633067,0.0743902625298247,0.0574747828851017,"samples",55.1426469968609,4.7,45,"midtide","ARRAIALDOCABO"
"40",8,0.0616288734256748,0.0694555692729069,0.0545699948696746,"samples",51.6181720617026,3.524,48,"midtide","ARRAIALDOCABO"
"41",9,0.0580776625634285,0.0651220939346736,0.0521529928309139,"samples",48.6438030180126,2.974,51,"midtide","ARRAIALDOCABO"
"42",10,0.0552287572200133,0.0626276721500558,0.0490968339586905,"samples",46.2576603217444,2.386,54,"midtide","ARRAIALDOCABO"
"43",11,0.0526653494229684,0.0590044484143677,0.047038540339551,"samples",44.1106403069821,2.147,56,"midtide","ARRAIALDOCABO"
"44",12,0.0503104225831841,0.0577153576883944,0.0449334442835956,"samples",42.1382365933996,1.972,58,"midtide","ARRAIALDOCABO"
"45",13,0.0485483801578292,0.0549082729408736,0.0434211812332437,"samples",40.6624119671118,1.476,59,"midtide","ARRAIALDOCABO"
"46",14,0.0467971976577226,0.0523403135810943,0.0409460422514002,"samples",39.1956832314168,1.467,61,"midtide","ARRAIALDOCABO"
"47",15,0.0452260058049341,0.050625914320195,0.0397888341514197,"samples",37.8797083175318,1.316,62,"midtide","ARRAIALDOCABO"
"48",16,0.0436975539757068,0.0486813927690366,0.0392635078943037,"samples",36.5995309408639,1.28,63,"midtide","ARRAIALDOCABO"
"49",17,0.0424341829927268,0.047524216331947,0.037624474710384,"samples",35.5413759373351,1.058,64,"midtide","ARRAIALDOCABO"
"50",18,0.0412273806244153,0.0462637520502758,0.0367225799158866,"samples",34.530600811499,1.011,65,"midtide","ARRAIALDOCABO"
"51",19,0.0401356666563973,0.0456597480004814,0.0358792550892486,"samples",33.6162196730659,0.914,66,"midtide","ARRAIALDOCABO"
