Country,Locality,Site,Strata,Chthamalus bisinuatus,Amphiroa,Centroceras clavulatum,Asteronema breviarticulatum,Echinolittorina lineolata,Ceramiaceae,Fissurella rosea,Isognomon bicolor,Lithophyllum,Lottia subrugosa,Gelidium pusillum,Mytilaster solisianus,Petaloconchus varians,Tetraclita stalactifera,Ulva lactuca,Willeella brachyclados,Cyanophyceae,Colpomenia sinuosa,Bunodosoma caissarum,Chaetomorpha antennina,Peyssonnelia,Stramonita haemastoma,Perna perna,Echinometra lucunter,Eriphia gonagra,Sargassum vulgare,Spyridia filamentosa,Phragmatopoma lapidosa,Jania,Laurencia obtusa
Brazil,Arraial do Cabo,Fortaleza,hightide,70,,,,3,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,70,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,67,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,39,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,79,,,,1,,,,,,,2,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,59,,,,,,,,,,,2,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,89,,,,3,,,,,,,0,,,0,0,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,65,,,,2,,,,,,,2,,,,0,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,81,,,,2,,,,,,,0,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,hightide,75,,,,3,,,,,,,1,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,44,,,,,,,,,,,44,,1,6,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,64,,,,,,,,,3,,17,,3,2,,4,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,42,,,1,,,,1,,,1,34,,9,1,,6,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,14,,,,,,,,,,,73,0,0,,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,9,,,,,,,,,,,91,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,35,,,,,,,,,,,65,,,0,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,47,,,,,,,,,,,45,,1,1,,1,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,12,,,,,,,0,,,,63,,8,12,4,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,17,,,,,,,,,,,71,,3,0,5,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,midtide,10,,,,,,,,,,,68,,13,,2,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,,,,,4,4,1,,2,3,,,31,0,,48,,,0,,1,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,0,1,18,,1,,1,,2,0,5,,29,5,,17,,,0,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,0,,43,,0,,1,1,2,10,2,,8,3,,29,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,,1,6,,0,1,,,,1,18,0,49,6,,3,1,,3,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,,,,6,,,,0,,,0,3,,38,,,49,,,,0,1,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,13,,,,,,,,,,,16,0,29,17,,,,,,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,6,0,,4,,,,0,,,1,32,0,38,2,,9,,,1,,,,,,,,,,
Brazil,Arraial do Cabo,Fortaleza,lowtide,1,,1,1,,,,0,,,,25,,57,,,12,,1,,0,,,,,,,,,
