"","Country","Locality","Site","Strata","Lottia","Littorina littorea","Echinolittorina lineolata","Chthamalus bisinuatus","Tetraclita stalactifera","Mytilaster solisianus","Bostrychia tenella","Fissurella","Pachygrapsus transversus","Isognomon bicolor","Zoanthus sociatus","Porolithon onkodes","Paguroidea","Palythoa tuberculosa","Colpophyllia natans","Corallina panizzoi","Dictyosphaeria versluysii","Hildenbrandia rubra","Sargassum","Echinometra lucunter","Anadyomene stellata","Zoanthus pulchellus","Lobophora variegata","Ulva","Dictyopteris plagiogramma","Gelidiella acerosa","Padina gymnospora","Omalacantha bicornuta","Cliona celata","Actinostella flosculifera","Monanchora","Chaetomorpha antennina","Dictyota","Plocamium brasiliense","Colpomenia sinuosa","Ochtodes secundiramea","Halimeda cuneata","Caulerpa sertularioides","Caulerpa racemosa"
"1","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BRAZIL","APACOSTADASALGAS","COSTABELA","hightide",1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","BRAZIL","APACOSTADASALGAS","COSTABELA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
