"","Country","Locality","Site","Strata","Echinolittorina lineolata","Lottia subrugosa","Fissurella rosea","Chthamalus bisinuatus","Amphiroa","Ceramiaceae","Isognomon bicolor","Lithophyllum","Mytilaster solisianus","Tetraclita stalactifera","Ulva lactuca","Willeella brachyclados","Chaetomorpha antennina","Sargassum vulgare","Spyridia filamentosa","Phragmatopoma caudata","Gelidium pusillum","Petaloconchus varians","Perna perna","Centroceras clavulatum","Asteronema breviarticulatum","Stramonita haemastoma","Cyanophyceae","Peyssonnelia","Colpomenia sinuosa","Bunodosoma caissarum","Eriphia gonagra","Echinometra lucunter","Jania","Laurencia obtusa"
"1","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"5","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"7","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"9","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"15","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"17","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"19","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","BRAZIL","ARRAIALDOCABO","ATALAIA","hightide",1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"21","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"25","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"27","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","BRAZIL","ARRAIALDOCABO","ATALAIA","lowtide",1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
