"","Country","Locality","Site","Strata","Mytilaster solisianus","Jania","Padina gymnospora","Peyssonnelia","Lithophyllum","Ceramiaceae","Colpomenia sinuosa","Gelidiella acerosa","Cyanophyceae","Amphiroa","Ulva lactuca","Grapsus grapsus","Petaloconchus varians","Zoanthus sociatus","Caulerpa racemosa"
"1","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BRAZIL","FERNANDODENORONHA","AIRFRANCE","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"12","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"13","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"14","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"15","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"16","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"17","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"18","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"19","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"20","BRAZIL","FERNANDODENORONHA","AIRFRANCE","lowtide",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"21","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"26","BRAZIL","FERNANDODENORONHA","AIRFRANCE","midtide",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
