Country,Locality,Site,Strata,Ceramiaceae,Cladophora,Colpomenia.sinuosa,Dictyosphaeria.cavernosa,Bryopsis,Echinolittorina.miliaris,Fissurella.mesoatlantica,Galaxaura.rugosa,Jania,Lithophyllum,Mytilaster.solisianus,Padina.gymnospora,Peyssonnelia,Siderastrea.stellata,Amphiroa,Ceramium,Gelidiella.acerosa,Gracilaria,Grapsus.grapsus,Palisada.perforata,Cyanophyceae,Ulva.lactuca,Bryopsis.pennata,Palythoa.variabilis,Petaloconchus.varians,Lottia.noronhensis,Anemonia.sargassensis,Euherdmaniidae,Zoanthus.sociatus,Nerita.ascensionis,Chondrilla.nucula,Caulerpa.racemosa
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,8,,,,,0,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,6,,,,,14,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,2,,,,,9,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,5,,,,,20,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,5,,,,,21,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,0,,,,,,11,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,1,,,43,,,,,,12,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,,1,,,,23,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,2,,,,,,30,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,hightide,,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,44,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,46,,,,4,,12,,,2,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,36,,,,8,,11,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,87,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,16,,,,2,4,6,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,63,9,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,80,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,72,,,,4,1,4,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,85,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,midtide,,,,,95,,,,,0,5,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,,,,0,97,,,,3,,,0,0,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,,,,0,92,,,,7,1,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,0,,0,1,46,,,,4,1,7,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,11,,,,60,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,13,0,,,65,,,,8,8,,0,0,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,9,0,,,72,,,5,5,1,,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,4,,,,78,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,3,,,0,95,,,2,,0,,,,0,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,5,4,,,87,,,,3,,1,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,AirFrance,lowtide,2,0,,0,94,,,,3,,,0,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
Brazil,Fernando de Noronha,Boldro,hightide,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
