Country,Locality,Site,Strata,Pyropia endiviifolia,Ulva intestinalis,Adenocystis utricularis,Monostroma hariotii,Corallinales,Lithothamniaceae,Iridaea cordata,Ascoseira mirabilis,Phaeurus antarcticus,Gigartina skottsbergii,Curdiea racovitzae,Myriogramme,Desmarestia antarctica,Trematocarpus antarcticus,Ulothrix,Urospora penicilliformis,Coscinodiscophycidae
Chile,Antartica,Artigas,hightide,,,,,,,,,,,,,,,,,
Chile,Antartica,Artigas,hightide,25,,,,,,,,,,,,,,7,41,
Chile,Antartica,Artigas,hightide,49,,,,,,,,,,,,,,9,,
Chile,Antartica,Artigas,hightide,57,,,,,,,,,,,,,,4,,
Chile,Antartica,Artigas,hightide,13,,,,,,,,,,,,,,,4,
Chile,Antartica,Artigas,hightide,43,,,,,,,,,,,,,,,4,27
Chile,Antartica,Artigas,hightide,,,,,,,,,,,,,,,54,,
Chile,Antartica,Artigas,hightide,3,,,,,,,,,,,,,,13,37,
Chile,Antartica,Artigas,hightide,,,,,,,,,,,,,,,,46,
Chile,Antartica,Artigas,hightide,9,,,,,,,,,,,,,,3,70,
Chile,Antartica,Artigas,midtide,,,15,,,,47,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,63,,,,17,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,87,,,,9,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,84,,,,6,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,65,,,,2,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,54,,,,,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,77,,,,3,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,50,,,,1,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,75,,,,10,,,,,,,,,,
Chile,Antartica,Artigas,midtide,,,39,,,,10,,,,,,,,,,
Chile,Antartica,Artigas,lowtide,,,1,,,,87,9,,,,,,,,,
Chile,Antartica,Artigas,lowtide,,,,,1,,70,,,5,19,,,,,,
Chile,Antartica,Artigas,lowtide,,,,,,,92,,,3,,,4,,,,
Chile,Antartica,Artigas,lowtide,,,,,,,96,4,,,,,,,,,
Chile,Antartica,Artigas,lowtide,,,,,4,,72,5,,9,,,7,,,,
Chile,Antartica,Artigas,lowtide,,,,,,,30,,,65,,1,,,,,
Chile,Antartica,Artigas,lowtide,,,,,,,29,,,64,,,,4,,,
Chile,Antartica,Artigas,lowtide,,,3,,,,73,,,,,,,,,,
Chile,Antartica,Artigas,lowtide,,,1,,38,,54,,,,,,,,,,
Chile,Antartica,Artigas,lowtide,,,,,10,,26,,42,,,,,,,,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,84,
Chile,Antartica,Punta Cristian,hightide,1,,,,,,,,,,,,,,,75,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,84,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,81,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,26,3,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,86,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,86,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,100,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,93,
Chile,Antartica,Punta Cristian,hightide,,,,,,,,,,,,,,,,97,
Chile,Antartica,Punta Cristian,midtide,,,92,,,,1,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,61,1,,,,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,83,,,,1,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,90,,,,,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,89,,,,7,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,65,1,,,19,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,29,,,,,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,72,,,,,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,33,,,,44,,,,,,,,,,
Chile,Antartica,Punta Cristian,midtide,,,80,,,,7,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,48,,6,,28,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,45,,8,,12,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,43,,9,,25,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,34,,24,,31,,,,1,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,30,,27,,9,,,,4,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,12,,17,1,3,,,,5,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,21,,11,,4,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,24,1,4,,21,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,3,,1,,2,,,,,,,,,,
Chile,Antartica,Punta Cristian,lowtide,,,15,,17,,26,,,,,,,,,,
