Country,Locality,Site,Strata,Corallina,Corallina officinalis,Chondria secundata,Schottera nicaeensis,Ahnfeltiopsis furcellata,Chondracanthus chamissoi,Balanus laevis,Ulva,Brachidontes granulatus,Lessonia spicata,Mazzaella laminarioides,Pyropia orbicularis,Centroceras rodmanii,Perumytilus purpuratus,Chthamalus cirratus,Sarcothalia crispata,Capreolia implexa,Phragmatopoma moerchi,Semimytilus algosus,Corallinales,Lithothamniaceae,Mytilus chilensis,Ulva intestinalis,Pyropia,Austrolittorina araucana,Bacillariophycanae,Scytosiphon lomentaria,Gelidium chilense,Ceramium,Rhizoclonium ambiguum,Mastocarpus latissimus,Nothogenia,Notochthamalus scabrosus,Trematocarpus dichotomus,Haliclona,Ahnfeltiopsis durvillei
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,,,,94,,,,5,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,28,,,29,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,7,,,85,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,46,,,54,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,9,,,73,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,hightide,,,,,,,,,,,,,,,63,,,,2,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,,2,,,60,8,2,,,,,,28,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,,6,,,80,1,2,,,,,,11,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,,,,,59,19,,,,,,,17,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,,26,,,13,1,,,,6,,,54,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,,5,,,8,39,,,,,5,,43,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,12,16,,,,,,,,21,,,49,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,,6,,,15,,3,,,,,,74,1,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,1,19,,,22,,7,,1,,,,41,1,1,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,,,,,,,2,2,,,9,20,8,,,,,,55,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,midtide,34,,,,,,,13,,,1,1,,,4,18,,,,17,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,65,,8,12,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,23,1,9,6,2,,2,,,2,,,,,,,,,,52,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,15,4,9,,7,,,1,,,,,,,,39,,,,25,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,2,,4,,,,9,1,,4,,,,2,,,,,,75,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,19,,5,3,,,12,,,5,,,,,,,,,,51,,3,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,,,,1,,,29,,,9,,,,,,,,,,39,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,16,1,,,,,14,9,,16,,,,8,,,,,,30,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,4,,,1,,,18,,,2,,,,,,,,,,71,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue sur,lowtide,,,6,6,,,32,,,23,,,,,,1,,,,32,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,15,,,84,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,,,,,,,,,,,,3,68,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,62,,,3,,,,,,,,18,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,34,,,31,,,,,,,,26,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,4,,,,33,,,12,,,,,,,,,,,28,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,1,,,,66,,3,12,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,13,,,,,,,,,,,,74,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,hightide,,,,,,,,,,,,7,,,51,,,,,,,,9,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,23,,,3,44,,14,,,13,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,20,,,51,,3,4,,,18,,,,,,,,,,,,,,4,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,15,,,44,4,2,27,,,6,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,34,,,,3,2,,,,56,,,,,,,,,,,,,3,1,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,12,,,23,9,,7,,,30,,,,,,,,,,,,,,11,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,22,,,36,5,2,4,,,28,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,1,,53,,,7,9,,11,,1,7,,,,,,,,,,,10,,,,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,1,,7,,,22,,,1,,,23,,,,,,,,,,,,,,44,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,,,24,,,,,,,,,56,,,,,,,,,,2,,,,,,,,,
Chile,Concepción,Cocholgue norte,midtide,,,,,,3,,8,,,,1,,,1,,,,,,,,,,,,,41,,,,,,,,
Chile,Concepción,Cocholgue norte,lowtide,4,11,21,10,,,,5,,6,,,,,,21,,,,6,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,lowtide,4,5,3,,,,,2,,8,,,,,,4,,,,61,,,,,,,,,,,,,8,,,
Chile,Concepción,Cocholgue norte,lowtide,7,15,6,,,,,7,,8,,,,,,5,,,,28,,,,,,,,,,,,,3,,,
Chile,Concepción,Cocholgue norte,lowtide,,12,14,22,,,,6,,1,,,,,,13,,,,17,,,,,,,,,,,14,,,,,
Chile,Concepción,Cocholgue norte,lowtide,2,,6,18,,,,2,,35,,,,1,,1,,,,33,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,lowtide,,2,17,14,,,7,,,16,,,,15,,,,,,25,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,lowtide,,2,42,4,,,,2,,12,,,,12,,1,,,,25,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,lowtide,14,13,,,,,,3,,,,,,,,,,,,64,,,,,,,,,,,,,,,1,
Chile,Concepción,Cocholgue norte,lowtide,,7,20,,,,,1,,,,,,,,39,,,,33,,,,,,,,,,,,,,,,
Chile,Concepción,Cocholgue norte,lowtide,,35,23,,,,,3,,5,,,,,,10,,,,23,1,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,2,48,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,49,15,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,10,46,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,6,92,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,59,24,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,95,,,1,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,4,69,,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,,5,,,,,,,,56,,,,,,,,,,,,,
Chile,Concepción,Dichato,hightide,,,,,,,,,,,,,,2,35,,,,,,,,53,,,,,,,,,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,1,,,35,,,,,,,,,,,,,,,,,,,,60,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,7,,,9,,,,,,,,,,,,,,,,,,,,80,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,,,,47,,,,,,14,,,,,,,,,,,,,,28,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,3,,,15,,,,,,,,,,,,,,,,,,,,81,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,,,,86,,,,,,1,,,,1,,,,,,,,,,9,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,57,,,,,,,,,31,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,8,,,,,,10,,,55,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,14,,,,,1,,,,66,,,,4,,,,,,,,,,9,,,,,
Chile,Concepción,Dichato,midtide,,,,,,4,,2,,,,,,,,,11,,,,1,,,,,,,,,,77,,,,,
Chile,Concepción,Dichato,midtide,,,,,,,,7,,,,,17,,,,25,,,,2,,,,,,,,,,48,,,,,
Chile,Concepción,Dichato,lowtide,,,,,,16,,65,,,,,,,,18,,,,1,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,lowtide,,,,,,52,,,,,,,,,,18,,,,,,,,,,,,,,,30,,,,,
Chile,Concepción,Dichato,lowtide,,,,,,56,,3,,,,,,,,41,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,lowtide,,,,,1,74,,3,,,,,,,,3,,,,,,,,,,,,,,,19,,,,,
Chile,Concepción,Dichato,lowtide,,,,,9,78,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,10
Chile,Concepción,Dichato,lowtide,,,,,,,,7,,,9,,,,,39,5,,,2,,,,,,,,,,,38,,,,,
Chile,Concepción,Dichato,lowtide,,,,,,13,,16,,,,,,,,32,,,,2,1,,,,,,,,,,36,,,,,
Chile,Concepción,Dichato,lowtide,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,
Chile,Concepción,Dichato,lowtide,1,,,,,2,,19,,,5,,,,,39,,,,,,,,,,,,,,,21,,,,,
Chile,Concepción,Dichato,lowtide,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
