"","Country","Locality","Site","Strata","Siphonaria lessonii","Pyropia orbicularis","Chthamalus cirratus","Pyropia","Austrolittorina araucana","Ulva intestinalis","Ulva","Bacillariophycanae","Perumytilus purpuratus","Tegula atra","Chiton (Chiton) granosus","Tetrapygus niger","Corallina officinalis","Chondria secundata","Schottera nicaeensis","Lessonia spicata","Sarcothalia crispata","Corallinales","Acanthopleura echinata","Tonicia chilensis","Acanthina monodon","Notochthamalus scabrosus","Scurria parasitica","Chaetopleura peruviana","Crepipatella dilatata","Phymactis papillosa","Balanus laevis","Taliepus dentatus","Fissurella costata","Anemonia alicemartinae","Fissurella","Lithothamniaceae","Mazzaella laminarioides","Capreolia implexa","Gelidium chilense","Scytosiphon lomentaria","Scurria ceciliana","Semimytilus algosus","Scurria araucana","Scurria zebrina","Ahnfeltiopsis furcellata","Mytilus chilensis","Oulactis concinnata","Fissurella crassa"
"1","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","CHILE","CONCEPCIÓN","COCHOLGUENORTE","hightide",1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","CHILE","CONCEPCIÓN","COCHOLGUENORTE","lowtide",0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"21","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"22","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"23","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"24","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"25","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"26","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"27","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"28","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"29","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"30","CHILE","CONCEPCIÓN","COCHOLGUENORTE","midtide",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"31","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"35","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","CHILE","CONCEPCIÓN","COCHOLGUESUR","hightide",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
