Country,Locality,Site,Strata,dummy,Padina mexicana,Derbesia sp.,Cladophoropsis adhaerens,Valonia sp.,Ceramium sp.,Bostrychia radicans,Jania sp.,Corallinaceae sp.,Amphiroa sp.,Lithophyllum sp.,Lithothamnion sp.,Gelidium sp.,Hypnea sp.,Verrucaria sp.,Desmanthus sp.,Phragmatopoma sp.
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,2,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,1,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,hightide,1,,,,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,11,,,,2,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,,,,,38,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,13,,1,,,,,,,,,65,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,1,,,,39,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,27,,,,,,,,,,,,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,,,,,15,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,,,,,5,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,2,,,,,,,,,,,4,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,,,,,6,,
Colombia,Isla Gorgona,La Ventana,midtide,1,,,,,,,,,,3,,,,15,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,15,78,,4,,,,,1,,,1,1,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,,,,,,,,7,,,,40,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,57,,14,,,2,,1,,,,,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,51,1,29,,,3,,1,,,,3,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,35,1,22,,,,,,,,,32,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,1,,62,,,,8,,,,,1,1,27,,
Colombia,Isla Gorgona,La Ventana,lowtide,1,,,24,1,,,,2,,,,,,62,,
