"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.0865042132983308,0.119755994351614,0.0437145264064099,"sites",100,NA,NA,"hightide","CONCEPCIÓN"
"2",3,0.073461661429753,0.100099408379618,0.0370189876437873,"sites",84.922639752127,15.077,15,"hightide","CONCEPCIÓN"
"3",2,0.178910695261349,0.205959062185982,0.150731945092405,"samples",100,NA,NA,"hightide","CONCEPCIÓN"
"4",3,0.148791889661223,0.169925484032833,0.127426959609898,"samples",83.1654527102871,16.835,17,"hightide","CONCEPCIÓN"
"5",4,0.130158637089959,0.149950041720745,0.115271999063137,"samples",72.7506183461118,10.415,27,"hightide","CONCEPCIÓN"
"6",5,0.117430678262849,0.132075246942141,0.105982329000632,"samples",65.6364775125988,7.114,34,"hightide","CONCEPCIÓN"
"7",6,0.107177864522162,0.12057346058032,0.0945342054036802,"samples",59.9057895144833,5.731,40,"hightide","CONCEPCIÓN"
"8",7,0.099397305003513,0.111673499827594,0.0898093856058679,"samples",55.5569385375846,4.349,44,"hightide","CONCEPCIÓN"
"9",8,0.0928882604161879,0.104549628693001,0.0829339773414413,"samples",51.9187856715322,3.638,48,"hightide","CONCEPCIÓN"
"10",9,0.0876445622185079,0.0987195292918373,0.0768790979532437,"samples",48.9878830835007,2.931,51,"hightide","CONCEPCIÓN"
"11",10,0.0829750768740401,0.0925880825477606,0.0727782373778068,"samples",46.3779299235475,2.61,54,"hightide","CONCEPCIÓN"
"12",11,0.0792735363379726,0.0883761053353415,0.0708363836261009,"samples",44.3089979736379,2.069,56,"hightide","CONCEPCIÓN"
"13",12,0.0761209030943568,0.0840830753111563,0.06705676986091,"samples",42.5468712103326,1.762,57,"hightide","CONCEPCIÓN"
"14",13,0.0728923566408407,0.0810495191660507,0.0662687229123651,"samples",40.7423136634515,1.805,59,"hightide","CONCEPCIÓN"
"15",14,0.0703224109444412,0.0781031081072148,0.0623521207817583,"samples",39.305873157396,1.436,61,"hightide","CONCEPCIÓN"
"16",15,0.0678828162103172,0.0757384927062639,0.0615676163394221,"samples",37.942290767556,1.364,62,"hightide","CONCEPCIÓN"
"17",16,0.0657259957542236,0.0731205452552987,0.0587914743181294,"samples",36.7367616889602,1.206,63,"hightide","CONCEPCIÓN"
"18",17,0.0638315889042628,0.0709117465621478,0.0571687198497693,"samples",35.6779055668075,1.059,64,"hightide","CONCEPCIÓN"
"19",18,0.0620219587547972,0.0682954639986492,0.0555239104442111,"samples",34.6664343706209,1.011,65,"hightide","CONCEPCIÓN"
"20",19,0.0604374644203549,0.0675118003189091,0.0551200219507413,"samples",33.7808001539925,0.886,66,"hightide","CONCEPCIÓN"
"21",20,0.058772200557379,0.065276029751516,0.0528915812622768,"samples",32.8500207723891,0.931,67,"hightide","CONCEPCIÓN"
"22",21,0.0574432481932382,0.063967928396145,0.0521981713781274,"samples",32.1072186932851,0.743,68,"hightide","CONCEPCIÓN"
"23",22,0.0561284073855972,0.0618774974176043,0.0507003182389672,"samples",31.3723041004374,0.735,69,"hightide","CONCEPCIÓN"
"24",23,0.0549049275904896,0.0609797174273755,0.0497847761403328,"samples",30.6884546562662,0.684,69,"hightide","CONCEPCIÓN"
"25",24,0.0537299556335811,0.0594099310030373,0.0484407448117763,"samples",30.0317180899071,0.657,70,"hightide","CONCEPCIÓN"
"26",25,0.0525763124864122,0.0585061932675248,0.0476532290291447,"samples",29.3869030074528,0.645,71,"hightide","CONCEPCIÓN"
"27",26,0.0516966400277024,0.0572444132811251,0.0470205061892797,"samples",28.8952205748153,0.492,71,"hightide","CONCEPCIÓN"
"28",27,0.0507229688123658,0.0562330736186938,0.0459082517056642,"samples",28.3509986578895,0.544,72,"hightide","CONCEPCIÓN"
"29",28,0.0497495754391461,0.05520695824363,0.0452683089819992,"samples",27.8069320375022,0.544,72,"hightide","CONCEPCIÓN"
"30",29,0.0489030953546339,0.0543391161022053,0.0444452867702956,"samples",27.3338020866764,0.473,73,"hightide","CONCEPCIÓN"
"31",30,0.0481666185577385,0.0533630910799509,0.0434751594444357,"samples",26.9221571619168,0.412,73,"hightide","CONCEPCIÓN"
"32",2,0.122030269313825,0.158559313393618,0.0824894841327496,"sites",100,NA,NA,"midtide","CONCEPCIÓN"
"33",3,0.102185706456508,0.130271413990056,0.0681791739730875,"sites",83.737999621813,16.262,16,"midtide","CONCEPCIÓN"
"34",2,0.214366514759266,0.23860987454815,0.189292145732358,"samples",100,NA,NA,"midtide","CONCEPCIÓN"
"35",3,0.176277300340498,0.193261937673281,0.15985332281033,"samples",82.2317331316682,17.768,18,"midtide","CONCEPCIÓN"
"36",4,0.152499278846829,0.168708539845815,0.137756294297853,"samples",71.1395056350502,11.092,29,"midtide","CONCEPCIÓN"
"37",5,0.137192780162618,0.148728836520511,0.126304590283197,"samples",63.9991653158546,7.14,36,"midtide","CONCEPCIÓN"
"38",6,0.124956031508958,0.136548324367204,0.113863436323839,"samples",58.2908350444958,5.708,42,"midtide","CONCEPCIÓN"
"39",7,0.116108820311072,0.125509117522382,0.102921605500126,"samples",54.1636927024087,4.127,46,"midtide","CONCEPCIÓN"
"40",8,0.108552296610511,0.118377348076583,0.0975229937405959,"samples",50.6386441615731,3.525,49,"midtide","CONCEPCIÓN"
"41",9,0.102372728338827,0.111296620484637,0.0939269201104738,"samples",47.7559326155913,2.883,52,"midtide","CONCEPCIÓN"
"42",10,0.0969832670104888,0.104662798004537,0.0872268350976287,"samples",45.2417986640317,2.514,55,"midtide","CONCEPCIÓN"
"43",11,0.092659834095187,0.0988965342558374,0.0837019236112147,"samples",43.2249571250641,2.017,57,"midtide","CONCEPCIÓN"
"44",12,0.0888648026621322,0.0964996296595583,0.0810010864140159,"samples",41.4546099991072,1.77,59,"midtide","CONCEPCIÓN"
"45",13,0.0853590183383231,0.0926992901455784,0.0779031570421645,"samples",39.8191939791443,1.635,60,"midtide","CONCEPCIÓN"
"46",14,0.082258085967694,0.0888190023451081,0.0744931169775587,"samples",38.3726376575512,1.447,62,"midtide","CONCEPCIÓN"
"47",15,0.0792821932330231,0.0853583074004853,0.072668543552138,"samples",36.9844111717062,1.388,63,"midtide","CONCEPCIÓN"
"48",16,0.0769401849443847,0.0836774182486852,0.0696349378141692,"samples",35.891885927608,1.093,64,"midtide","CONCEPCIÓN"
"49",17,0.0746771549324785,0.0805486014763692,0.0678946187794505,"samples",34.8362033204398,1.056,65,"midtide","CONCEPCIÓN"
"50",18,0.0724259407422328,0.0784040536950183,0.0654945581082426,"samples",33.7860326849869,1.05,66,"midtide","CONCEPCIÓN"
"51",19,0.0706064626256162,0.0764534391543464,0.0648084563415869,"samples",32.937262941886,0.849,67,"midtide","CONCEPCIÓN"
"52",20,0.0688181712690756,0.0740584855018507,0.0631299472391205,"samples",32.1030415344293,0.834,68,"midtide","CONCEPCIÓN"
"53",21,0.067210750539,0.0728810120971188,0.0609676931278847,"samples",31.3531946043336,0.75,69,"midtide","CONCEPCIÓN"
"54",22,0.0656549359252453,0.0710591234876169,0.0599119565800364,"samples",30.6274214510489,0.726,69,"midtide","CONCEPCIÓN"
"55",23,0.0641446161389237,0.069120037563549,0.0582054732825709,"samples",29.9228712147316,0.705,70,"midtide","CONCEPCIÓN"
"56",24,0.0628396167741471,0.0675335469343492,0.0571036134659382,"samples",29.3141010594477,0.609,71,"midtide","CONCEPCIÓN"
"57",25,0.061519179243839,0.0669220343832496,0.0558702808358714,"samples",28.698129142476,0.616,71,"midtide","CONCEPCIÓN"
"58",26,0.060370820133053,0.0655131305510403,0.0550478670382718,"samples",28.1624302195003,0.536,72,"midtide","CONCEPCIÓN"
"59",27,0.059227839558668,0.0639630397177135,0.0536744724746656,"samples",27.6292403340984,0.533,72,"midtide","CONCEPCIÓN"
"60",28,0.0581803728304856,0.0628530785105799,0.0530852682164634,"samples",27.14060677612,0.489,73,"midtide","CONCEPCIÓN"
"61",29,0.0571253902263417,0.0620426754912236,0.0521767994046413,"samples",26.6484671313958,0.492,73,"midtide","CONCEPCIÓN"
"62",30,0.0561336273677463,0.0606651020543114,0.0509053347370133,"samples",26.1858189142947,0.463,74,"midtide","CONCEPCIÓN"
"63",2,0.124433241841206,0.164264350449655,0.0820917629835516,"sites",100,NA,NA,"lowtide","CONCEPCIÓN"
"64",3,0.104023721960243,0.138048626855687,0.0685765385190284,"sites",83.5980164311653,16.402,16,"lowtide","CONCEPCIÓN"
"65",2,0.230102534070325,0.252193858161125,0.209422287068643,"samples",100,NA,NA,"lowtide","CONCEPCIÓN"
"66",3,0.190577795530666,0.205423465419321,0.174815740315558,"samples",82.8229885866538,17.177,17,"lowtide","CONCEPCIÓN"
"67",4,0.166156349326531,0.178915749230044,0.15490455770634,"samples",72.2096999052385,10.613,28,"lowtide","CONCEPCIÓN"
"68",5,0.147690783322117,0.157523619581599,0.137828904738158,"samples",64.1847704627969,8.025,36,"lowtide","CONCEPCIÓN"
"69",6,0.135326210388201,0.144135525850483,0.125842013745752,"samples",58.8112646976943,5.374,41,"lowtide","CONCEPCIÓN"
"70",7,0.125104695158652,0.133753829812214,0.11637647487176,"samples",54.3691079562022,4.442,46,"lowtide","CONCEPCIÓN"
"71",8,0.117212683207818,0.126632343931604,0.109043354184614,"samples",50.9393274095779,3.43,49,"lowtide","CONCEPCIÓN"
"72",9,0.110750907937108,0.118277826889574,0.103480392637983,"samples",48.1311118039492,2.808,52,"lowtide","CONCEPCIÓN"
"73",10,0.104974317887226,0.111889701352132,0.0990986323490128,"samples",45.6206700683893,2.51,54,"lowtide","CONCEPCIÓN"
"74",11,0.100179460138279,0.106523598336295,0.0944260859121834,"samples",43.5368782630016,2.084,56,"lowtide","CONCEPCIÓN"
"75",12,0.0959016849608578,0.101839038370643,0.0901094479767378,"samples",41.6778047874728,1.859,58,"lowtide","CONCEPCIÓN"
"76",13,0.0920658673775951,0.0977427756538772,0.0868551162814701,"samples",40.0108011628667,1.667,60,"lowtide","CONCEPCIÓN"
"77",14,0.0888441016215684,0.0949834880803202,0.0831211936992152,"samples",38.6106576272714,1.4,61,"lowtide","CONCEPCIÓN"
"78",15,0.085665144594544,0.0907293516407112,0.0809138982896251,"samples",37.2291182887898,1.382,63,"lowtide","CONCEPCIÓN"
"79",16,0.0830354926423033,0.0880644413898279,0.0778574207387794,"samples",36.0863008214094,1.143,64,"lowtide","CONCEPCIÓN"
"80",17,0.0805579202730161,0.0847321035347854,0.0754268049961079,"samples",35.0095754479591,1.077,65,"lowtide","CONCEPCIÓN"
"81",18,0.0781930291360677,0.0828660705538989,0.0738487745975141,"samples",33.9818200838111,1.028,66,"lowtide","CONCEPCIÓN"
"82",19,0.0762359155322696,0.0806465314091922,0.0715380004157044,"samples",33.1312802965352,0.851,67,"lowtide","CONCEPCIÓN"
