Country,Locality,Site,Strata,Ulva.sp.,Gelidiopsis.sp.,Brown.biofilm,Tetraclita.milleporosa,Zoanthus.cf..sansibaricus,Lithothamnium.sp.,Codium.sp.,Anthopleura.nigrescens,Green.biofilm,dummy1,dummy2
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,1,1,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,8,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,hightide,,7,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,6,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,1,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,2,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,4,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,2,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,,35,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,2,14,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,,,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,midtide,,,,2,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,80,,3,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,94,,,1,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,38,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,83,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,97,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,83,,6,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,92,,,2,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,100,,,,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,,,72,,,7,,,,1,1
ECUADOR,SANTA CRUZ,Charles Darwin Foundation,lowtide,7,,76,,,,,,,1,1
ECUADOR,SANTA CRUZ,RATONERA,hightide,,,,,,,,,,1,1
