"","Country","Locality","Site","Strata","Grapsus grapsus","Ulva","Ceratodictyon","Zoanthus sansibaricus","Lithophyllum","Calcinus explorator","Palaemonidae","Plicopurpura columellaris","Ozius verreauxii","Tetraclita squamosa milleporosa","Codium","Anthopleura nigrescens","Radsia sulcatus"
"1","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0
"2","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","hightide",0,1,1,0,0,0,0,0,0,0,0,0,0
"3","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0
"4","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","hightide",0,0,1,0,0,0,0,0,0,0,0,0,0
"5","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",0,0,0,1,0,0,0,0,0,0,0,0,0
"6","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",1,0,0,0,1,0,0,0,0,0,0,0,0
"7","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",0,0,0,0,0,1,0,0,0,0,0,0,0
"8","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",0,0,0,1,0,0,0,0,0,0,0,0,0
"9","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",0,0,0,0,1,1,0,0,0,0,0,0,0
"10","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",0,0,0,0,1,1,1,0,0,0,0,0,0
"11","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","lowtide",0,1,0,0,0,0,0,0,0,0,0,0,0
"12","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",1,0,1,0,0,0,0,0,0,0,0,0,0
"13","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,1,0,0,0,0,0,0,0,0,0,0
"14","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,1,0,0,0,0,1,0,0,0,0,0
"15","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,1,0,0,0,0,0,0,0,0,0,0
"16","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,1,0,0,0,0,0,0,0,0,0,0
"17","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,1,0,0,0,0,1,0,0,0,0,0
"18","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,0,0,0,0,0,0,1,0,0,0,0
"19","ECUADOR","SANTACRUZ","CHARLESDARWINFOUNDATION","midtide",0,0,0,0,0,0,0,0,0,1,0,0,0
"20","ECUADOR","SANTACRUZ","RATONERA","hightide",0,0,0,0,0,0,0,1,0,0,0,0,0
"21","ECUADOR","SANTACRUZ","RATONERA","hightide",1,0,0,0,0,0,0,0,0,0,0,0,0
"22","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,1,0,0,0,0,0,0,0,0,1,0,0
"23","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,0,0,1,0,0,0
"24","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,1,0,1,0,1,0
"25","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,0,0,0,0,1,0
"26","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,0,0,0,1,1,0
"27","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,0,0,0,1,0,0
"28","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,1,0,0,1,1,0
"29","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,0,0,1,1,0,0
"30","ECUADOR","SANTACRUZ","RATONERA","lowtide",0,0,0,0,0,0,0,0,0,0,1,0,0
"31","ECUADOR","SANTACRUZ","RATONERA","midtide",0,0,0,0,0,0,0,0,0,0,1,0,0
"32","ECUADOR","SANTACRUZ","RATONERA","midtide",0,0,0,0,0,1,0,0,0,0,1,0,0
"33","ECUADOR","SANTACRUZ","RATONERA","midtide",0,0,0,0,0,0,0,0,0,0,1,1,0
"34","ECUADOR","SANTACRUZ","RATONERA","midtide",0,0,0,0,0,0,0,0,0,0,1,0,0
"35","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",1,0,0,0,1,0,0,0,0,1,0,0,0
"36","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,1,0,0,1,0,0,0,0,0
"37","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,1,0,0,0,0,0,0,0
"38","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,1,0,0,0,0,0,0,1
"39","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,1,0,1,0,1,0,0,0
"40","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,1,0,0,0,0,0,0,0
"41","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,0,0,1,0,0,0,0,0
"42","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,0,0,0,0,1,0,1,0
"43","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,0,0,0,0,0,1,0,0,0,1,0
"44","ECUADOR","SANTACRUZ","TORTUGABAY","lowtide",0,0,1,0,0,0,0,1,0,0,0,0,0
"45","ECUADOR","SANTACRUZ","TORTUGABAY","midtide",0,0,0,0,0,0,0,0,0,0,0,1,0
"46","ECUADOR","SANTACRUZ","TORTUGABAY","midtide",0,0,1,0,1,1,0,1,0,0,0,0,0
"47","ECUADOR","SANTACRUZ","TORTUGABAY","midtide",0,0,1,0,1,0,0,0,0,0,0,0,0
"48","ECUADOR","SANTACRUZ","TORTUGABAY","midtide",0,0,0,0,0,1,0,0,0,0,0,0,0
"49","ECUADOR","SANTACRUZ","TORTUGABAY","midtide",0,0,0,0,0,1,0,0,0,0,0,0,0
"50","ECUADOR","SANTACRUZ","TORTUGABAY","midtide",0,0,1,0,0,0,0,0,0,0,0,0,0
