"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.125958401000986,0.193357488904465,0.0392477748809059,"sites",100,NA,NA,"hightide","FERNANDODENORONHA"
"2",3,0.114220784029163,0.166682718997948,0.0355296427304739,"sites",90.6813544165808,9.319,9,"hightide","FERNANDODENORONHA"
"3",2,0.0760427214539794,0.122913283024065,0.0121476767159074,"samples",100,NA,NA,"hightide","FERNANDODENORONHA"
"4",3,0.0676958968504792,0.102299052176299,0.0232553042056162,"samples",89.023506202955,10.976,11,"hightide","FERNANDODENORONHA"
"5",4,0.0607002157133726,0.0863821578529661,0.0245455183914792,"samples",79.823833961687,9.2,20,"hightide","FERNANDODENORONHA"
"6",5,0.0556061189288975,0.0783560294822292,0.0228817754112524,"samples",73.1248407022755,6.699,27,"hightide","FERNANDODENORONHA"
"7",6,0.0511788381946652,0.0727243263454878,0.0197583196700105,"samples",67.3027440576786,5.822,33,"hightide","FERNANDODENORONHA"
"8",7,0.0475014882231449,0.0678989181594931,0.0249333255095758,"samples",62.4668440514619,4.836,38,"hightide","FERNANDODENORONHA"
"9",8,0.045115119712413,0.0625990517091339,0.0248775704750293,"samples",59.3286495403986,3.138,41,"hightide","FERNANDODENORONHA"
"10",9,0.0425217619473669,0.0602619609522536,0.019578787523232,"samples",55.9182537583177,3.41,44,"hightide","FERNANDODENORONHA"
"11",10,0.0405622185704462,0.0568204782558591,0.0216901183673849,"samples",53.341355746972,2.577,47,"hightide","FERNANDODENORONHA"
"12",11,0.0389677240259068,0.0533890590794763,0.0230772410797208,"samples",51.2445152945897,2.097,49,"hightide","FERNANDODENORONHA"
"13",12,0.0371000105931812,0.0514594636166126,0.0197620825599513,"samples",48.7883782744861,2.456,51,"hightide","FERNANDODENORONHA"
"14",13,0.035526837825173,0.0505212616644666,0.0190575552675822,"samples",46.7195770297011,2.069,53,"hightide","FERNANDODENORONHA"
"15",14,0.0343913381205798,0.0483749868136285,0.0161609279938932,"samples",45.2263378571916,1.493,55,"hightide","FERNANDODENORONHA"
"16",15,0.033208704562256,0.0454358607244606,0.018253782785044,"samples",43.6711152984624,1.555,56,"hightide","FERNANDODENORONHA"
"17",16,0.0324456329764946,0.0437592721646247,0.0189550719315615,"samples",42.6676378174214,1.003,57,"hightide","FERNANDODENORONHA"
"18",17,0.0311496324128594,0.0433349753151395,0.0157372572403193,"samples",40.9633319498053,1.704,59,"hightide","FERNANDODENORONHA"
"19",18,0.0302550995087683,0.0416289067041308,0.0146772318890467,"samples",39.7869762289853,1.176,60,"hightide","FERNANDODENORONHA"
"20",19,0.029782204042127,0.0410219724310903,0.0164281256114514,"samples",39.1650949264763,0.622,61,"hightide","FERNANDODENORONHA"
"21",20,0.0288438662779337,0.0403731117483271,0.0164699826447983,"samples",37.9311336133464,1.234,62,"hightide","FERNANDODENORONHA"
"22",21,0.0281656913184464,0.0385566932842411,0.0144959306383786,"samples",37.0392994620689,0.892,63,"hightide","FERNANDODENORONHA"
"23",22,0.0276200836896182,0.0385227311425035,0.014051135932614,"samples",36.3217980123629,0.718,64,"hightide","FERNANDODENORONHA"
"24",23,0.0269367038683351,0.0373549358613948,0.013028881441913,"samples",35.4231192062702,0.899,65,"hightide","FERNANDODENORONHA"
"25",24,0.0263603328199044,0.0368077199112411,0.0137312167878174,"samples",34.6651623138679,0.758,65,"hightide","FERNANDODENORONHA"
