"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.0410283523001176,0.0554317372786885,0.0267513324933738,"sites",100,NA,NA,"hightide","ISLAGORGONA"
"2",3,0.0343809087447362,0.0480072216696698,0.0192299427385397,"sites",83.7979270852601,16.202,16,"hightide","ISLAGORGONA"
"3",2,0.197853515063798,0.224668553342954,0.165625537757048,"samples",100,NA,NA,"hightide","ISLAGORGONA"
"4",3,0.162838145338906,0.181630083927117,0.141422786659478,"samples",82.3023767287626,17.698,18,"hightide","ISLAGORGONA"
"5",4,0.141243155080186,0.154913582035146,0.122909533811657,"samples",71.3877410945376,10.915,29,"hightide","ISLAGORGONA"
"6",5,0.127281755322419,0.140028989744813,0.110341706298932,"samples",64.3313085852311,7.056,36,"hightide","ISLAGORGONA"
"7",6,0.116605606404376,0.127690996362423,0.103972270062841,"samples",58.9353221077608,5.396,41,"hightide","ISLAGORGONA"
"8",7,0.108051269595991,0.117501269060748,0.0960258236769549,"samples",54.6117513055807,4.324,45,"hightide","ISLAGORGONA"
"9",8,0.100767364804052,0.109779884630225,0.0898330838855177,"samples",50.9302878806878,3.681,49,"hightide","ISLAGORGONA"
"10",9,0.0954772750482353,0.103476020978346,0.0858418121569523,"samples",48.2565472832002,2.674,52,"hightide","ISLAGORGONA"
"11",10,0.0904071125827741,0.0981751646278465,0.0805153913421367,"samples",45.6939633109992,2.563,54,"hightide","ISLAGORGONA"
"12",11,0.0864886462316589,0.0943950705274054,0.0770106299710192,"samples",43.7134746904904,1.98,56,"hightide","ISLAGORGONA"
"13",12,0.0824912782666731,0.0899941827290144,0.0732275672859493,"samples",41.6931072667947,2.02,58,"hightide","ISLAGORGONA"
"14",13,0.0794092733046194,0.0865642702923607,0.0706908007245624,"samples",40.1353866667539,1.558,60,"hightide","ISLAGORGONA"
"15",14,0.0766013871283994,0.0832765553681229,0.0685710624451961,"samples",38.7162123976919,1.419,61,"hightide","ISLAGORGONA"
"16",15,0.0741356655079658,0.0805363544518443,0.0666809151459468,"samples",37.4699764540755,1.246,63,"hightide","ISLAGORGONA"
"17",16,0.0715468917399494,0.0777233566767701,0.0646015685204629,"samples",36.1615469489532,1.308,64,"hightide","ISLAGORGONA"
"18",17,0.0692627810534006,0.07493938667452,0.0623234831586478,"samples",35.0071016080087,1.154,65,"hightide","ISLAGORGONA"
"19",18,0.0676320688435438,0.0737518027384861,0.0605167813406424,"samples",34.1828998194628,0.824,66,"hightide","ISLAGORGONA"
"20",19,0.0657292744105748,0.071107287194288,0.0588424522973143,"samples",33.2211810284899,0.962,67,"hightide","ISLAGORGONA"
"21",20,0.0639669918324549,0.0695339216099024,0.0576464233091571,"samples",32.3304803616093,0.891,68,"hightide","ISLAGORGONA"
"22",21,0.0624501308235583,0.0679059245067587,0.0554544429951297,"samples",31.5638217513706,0.767,68,"hightide","ISLAGORGONA"
"23",22,0.0611707329453332,0.0663495718343956,0.0547088952634771,"samples",30.9171828085079,0.647,69,"hightide","ISLAGORGONA"
"24",23,0.0598628348111527,0.0648848017146882,0.0535692370747555,"samples",30.2561391400349,0.661,70,"hightide","ISLAGORGONA"
"25",24,0.0585312838884083,0.0635024004585178,0.0524737116326757,"samples",29.583140774393,0.673,70,"hightide","ISLAGORGONA"
