"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.060603196074227,0.0857922252108551,0.0230012423115701,"sites",100,NA,NA,"hightide","PUERTOMADRYN"
"2",3,0.0533749445279899,0.0745116558471405,0.0192202317903683,"sites",88.072821213284,11.927,12,"hightide","PUERTOMADRYN"
"3",2,0.13690890797673,0.159957038585608,0.115120849439149,"samples",100,NA,NA,"hightide","PUERTOMADRYN"
"4",3,0.114653270906408,0.1304901811488,0.0998650844241166,"samples",83.7442008710606,16.256,16,"hightide","PUERTOMADRYN"
"5",4,0.100510415514846,0.113009245467829,0.0884929774272893,"samples",73.4140802086671,10.33,27,"hightide","PUERTOMADRYN"
"6",5,0.0900618547373927,0.0999520796424649,0.0789955625460813,"samples",65.7823191115515,7.632,34,"hightide","PUERTOMADRYN"
"7",6,0.0823801401184695,0.0909191223051155,0.0716755685124204,"samples",60.1714974839122,5.611,40,"hightide","PUERTOMADRYN"
"8",7,0.076582631453274,0.0848778490458068,0.0660553999116588,"samples",55.9369237436988,4.235,44,"hightide","PUERTOMADRYN"
"9",8,0.0713870433319511,0.0792277226316785,0.0631377201440983,"samples",52.1420003905698,3.795,48,"hightide","PUERTOMADRYN"
"10",9,0.0676265150746176,0.0753594782070711,0.0607439590540576,"samples",49.3952629335938,2.747,51,"hightide","PUERTOMADRYN"
"11",10,0.0638360463709828,0.0709209810598626,0.0562870898611171,"samples",46.6266565955175,2.769,53,"hightide","PUERTOMADRYN"
"12",11,0.0609275995640347,0.0678866257768915,0.0530010355614777,"samples",44.502290219414,2.124,55,"hightide","PUERTOMADRYN"
"13",12,0.0583383380965193,0.0654166406239196,0.0513244210671889,"samples",42.6110608569276,1.891,57,"hightide","PUERTOMADRYN"
"14",13,0.0561430084391931,0.0618619191232453,0.0493394792553135,"samples",41.0075642767786,1.603,59,"hightide","PUERTOMADRYN"
"15",14,0.0540306608281319,0.0597950483082741,0.0475521114512378,"samples",39.4646788339846,1.543,61,"hightide","PUERTOMADRYN"
"16",15,0.0522427965841885,0.0582556657835233,0.0456484291293634,"samples",38.1588001513154,1.306,62,"hightide","PUERTOMADRYN"
"17",16,0.0506591744323921,0.0555989685889825,0.0450434208857683,"samples",37.0021024789729,1.157,63,"hightide","PUERTOMADRYN"
"18",17,0.0490966245190534,0.0542359381674773,0.0434375593822127,"samples",35.8607962364278,1.141,64,"hightide","PUERTOMADRYN"
"19",18,0.0477865823526373,0.0525286230439611,0.0416274609084791,"samples",34.9039248496231,0.957,65,"hightide","PUERTOMADRYN"
"20",19,0.0463921699796284,0.0513874481879664,0.041126014929999,"samples",33.8854283955823,1.018,66,"hightide","PUERTOMADRYN"
"21",20,0.0453668954737747,0.0501290090220639,0.0400707010765235,"samples",33.1365549139328,0.749,67,"hightide","PUERTOMADRYN"
"22",21,0.0441796622313742,0.0486486337209829,0.0389783499300468,"samples",32.2693847203013,0.867,68,"hightide","PUERTOMADRYN"
"23",22,0.0432154093742137,0.0479112891098282,0.0380574503704063,"samples",31.5650822235461,0.704,68,"hightide","PUERTOMADRYN"
