"","samples","mean","upper","lower","sv","rel","der","cum","Strata","locality"
"1",2,0.110932592348023,0.154058764308115,0.0478162305893096,"sites",100,NA,NA,"hightide","SANTACRUZ"
"2",3,0.0980469743757147,0.131329395254229,0.0433206181361614,"sites",88.3842812111674,11.616,12,"hightide","SANTACRUZ"
"3",2,0.167769527394916,0.202473403474875,0.131260175507643,"samples",100,NA,NA,"hightide","SANTACRUZ"
"4",3,0.14228752564065,0.161721205267305,0.113240415503542,"samples",84.8113050385585,15.189,15,"hightide","SANTACRUZ"
"5",4,0.124045691319439,0.143345054203817,0.102292256614828,"samples",73.9381538742998,10.873,26,"hightide","SANTACRUZ"
"6",5,0.1112018344908,0.12635244152171,0.0905704982522362,"samples",66.2824985070382,7.656,34,"hightide","SANTACRUZ"
"7",6,0.101992684470849,0.116236095035933,0.083107855306506,"samples",60.7933312172757,5.489,39,"hightide","SANTACRUZ"
"8",7,0.0946011907736694,0.108078715973313,0.0778632765552046,"samples",56.3875885225484,4.406,44,"hightide","SANTACRUZ"
"9",8,0.0884259632081118,0.100567128031858,0.0750973073381627,"samples",52.7068083108824,3.681,47,"hightide","SANTACRUZ"
"10",9,0.083433838927601,0.0940293338424534,0.0680664099965085,"samples",49.7312236752056,2.976,50,"hightide","SANTACRUZ"
"11",10,0.0791876718831861,0.0890964096419479,0.0670189198831452,"samples",47.200271177247,2.531,53,"hightide","SANTACRUZ"
"12",11,0.0753913182003867,0.0863142317894487,0.0629287656941926,"samples",44.9374325427535,2.263,55,"hightide","SANTACRUZ"
"13",12,0.0721809328199916,0.0818616832162729,0.059107223418093,"samples",43.0238637139887,1.914,57,"hightide","SANTACRUZ"
"14",13,0.0693550153523368,0.0790348265689129,0.0573773737908998,"samples",41.3394592148315,1.684,59,"hightide","SANTACRUZ"
"15",14,0.0670398143255266,0.0756749125654717,0.0559415649345595,"samples",39.9594702127999,1.38,60,"hightide","SANTACRUZ"
"16",15,0.0646942558112207,0.0732357699326714,0.0534068276924142,"samples",38.561386454249,1.398,61,"hightide","SANTACRUZ"
"17",16,0.0627509504809332,0.0709467090256697,0.0524558853803102,"samples",37.4030680394197,1.158,63,"hightide","SANTACRUZ"
"18",17,0.0607734733883267,0.0692182250355478,0.0505763186824611,"samples",36.2243813474367,1.179,64,"hightide","SANTACRUZ"
"19",18,0.0591090107074554,0.0672248642436957,0.0487692007523717,"samples",35.2322687113003,0.992,65,"hightide","SANTACRUZ"
"20",19,0.0575348405096921,0.0649706209311233,0.0475858642968716,"samples",34.2939754334884,0.938,66,"hightide","SANTACRUZ"
"21",20,0.0561391818470076,0.0633152498315488,0.0465213668007291,"samples",33.4620849916686,0.832,67,"hightide","SANTACRUZ"
"22",21,0.0546783452354834,0.0619209282803573,0.0454555500896808,"samples",32.5913448553592,0.871,67,"hightide","SANTACRUZ"
"23",22,0.0535165438875385,0.0606471049602592,0.0447815211830971,"samples",31.8988464225478,0.692,68,"hightide","SANTACRUZ"
"24",23,0.0523191731705854,0.0588690455158522,0.0436197436192695,"samples",31.1851466610085,0.714,69,"hightide","SANTACRUZ"
"25",24,0.051188753405832,0.0580836414029508,0.0425870558954325,"samples",30.5113534028964,0.674,69,"hightide","SANTACRUZ"
"26",25,0.0501296159236131,0.0569433661693524,0.0416692277712287,"samples",29.8800483627828,0.631,70,"hightide","SANTACRUZ"
"27",26,0.0492808683394477,0.0555997092959145,0.0409922235396161,"samples",29.3741474418322,0.506,71,"hightide","SANTACRUZ"
"28",27,0.0482797914838565,0.0542107781219387,0.040256929014199,"samples",28.7774497750177,0.597,71,"hightide","SANTACRUZ"
"29",28,0.0473891303098402,0.0538238145701881,0.0400092524257502,"samples",28.2465660157044,0.531,72,"hightide","SANTACRUZ"
"30",29,0.0465520501248105,0.0528487861000364,0.0387977991989853,"samples",27.7476195156888,0.499,72,"hightide","SANTACRUZ"
"31",30,0.0458138266543921,0.0520298276488271,0.0382176323940161,"samples",27.3075971338645,0.44,73,"hightide","SANTACRUZ"
"32",2,0.152524606097398,0.210454663865754,0.0592732086249575,"sites",100,NA,NA,"midtide","SANTACRUZ"
"33",3,0.131702159105551,0.174529944029636,0.0532482550774034,"sites",86.3481391464468,13.652,14,"midtide","SANTACRUZ"
"34",2,0.162425482121157,0.205953816768137,0.115834554687878,"samples",100,NA,NA,"midtide","SANTACRUZ"
"35",3,0.138500641738208,0.169357146950732,0.0976271399207025,"samples",85.2702666659763,14.73,15,"midtide","SANTACRUZ"
"36",4,0.120519648851659,0.145137867431092,0.0889493511167373,"samples",74.1999637481512,11.07,26,"midtide","SANTACRUZ"
"37",5,0.10794204780439,0.129090770988528,0.0786444104125671,"samples",66.4563505644226,7.744,34,"midtide","SANTACRUZ"
"38",6,0.0992637433842272,0.119390497627034,0.0737881764538562,"samples",61.1134054139263,5.343,39,"midtide","SANTACRUZ"
"39",7,0.0916491282640542,0.109938670025533,0.067217457970873,"samples",56.4253386027759,4.688,44,"midtide","SANTACRUZ"
"40",8,0.0854598310409657,0.101570143228533,0.0617026502578679,"samples",52.6147929037508,3.811,47,"midtide","SANTACRUZ"
"41",9,0.0810738184505308,0.096190884666351,0.0585400868525468,"samples",49.9144699413949,2.7,50,"midtide","SANTACRUZ"
"42",10,0.07672644105281,0.0910055070794575,0.0558110752522367,"samples",47.2379333900193,2.677,53,"midtide","SANTACRUZ"
"43",11,0.0730350962779119,0.0866851266772966,0.0539136333522427,"samples",44.9652944378722,2.273,55,"midtide","SANTACRUZ"
"44",12,0.0702801386247253,0.0828617441225166,0.0523140676571244,"samples",43.2691580821669,1.696,57,"midtide","SANTACRUZ"
"45",13,0.067454551384848,0.0792788180104505,0.0491770300027952,"samples",41.529537424757,1.74,58,"midtide","SANTACRUZ"
"46",14,0.064961072719904,0.0765327017300009,0.0474046806438626,"samples",39.9943850383328,1.535,60,"midtide","SANTACRUZ"
"47",15,0.0629329573208951,0.074550011567744,0.0458858743102814,"samples",38.7457414311086,1.249,61,"midtide","SANTACRUZ"
"48",16,0.0608591160070235,0.0713846124825001,0.0445403046654273,"samples",37.4689458896771,1.277,63,"midtide","SANTACRUZ"
"49",17,0.0589593457213334,0.0696524315354414,0.0431370691846469,"samples",36.299320125985,1.17,64,"midtide","SANTACRUZ"
"50",18,0.0575354307204419,0.0681531806086652,0.0421937416810075,"samples",35.4226627306698,0.877,65,"midtide","SANTACRUZ"
"51",19,0.0558575725432095,0.066082416364359,0.0408944944855742,"samples",34.389660916348,1.033,66,"midtide","SANTACRUZ"
"52",20,0.0544606535981188,0.0644171447806012,0.0404664265894956,"samples",33.5296241001737,0.86,66,"midtide","SANTACRUZ"
"53",21,0.0531752497855884,0.063106020943828,0.0394192963638811,"samples",32.7382434647315,0.791,67,"midtide","SANTACRUZ"
"54",22,0.05190394211796,0.0613836887515199,0.0384282405904801,"samples",31.9555413597256,0.783,68,"midtide","SANTACRUZ"
"55",23,0.0507471584589872,0.0603167823945027,0.0368914389655107,"samples",31.2433479009985,0.712,69,"midtide","SANTACRUZ"
"56",24,0.0496352730890296,0.0589862057029924,0.0365730095017122,"samples",30.5587968346035,0.685,69,"midtide","SANTACRUZ"
"57",25,0.0487712704439286,0.0576512780041847,0.0362037967978147,"samples",30.0268589675781,0.532,70,"midtide","SANTACRUZ"
"58",26,0.0478243062760761,0.0565943300495678,0.0352370109679929,"samples",29.4438444334755,0.583,71,"midtide","SANTACRUZ"
"59",27,0.0468771920905528,0.055615299226524,0.0342557807690773,"samples",28.8607375384522,0.583,71,"midtide","SANTACRUZ"
"60",28,0.0459611166904055,0.0544255853315595,0.0335587475594136,"samples",28.2967401975276,0.564,72,"midtide","SANTACRUZ"
"61",29,0.0452467392755106,0.0534631612779904,0.0334384706026336,"samples",27.8569216385394,0.44,72,"midtide","SANTACRUZ"
"62",30,0.0443927955936453,0.0526319954932549,0.0332164302455341,"samples",27.3311767426564,0.526,73,"midtide","SANTACRUZ"
"63",2,0.123658035504141,0.163324452722735,0.073102084048196,"sites",100,NA,NA,"lowtide","SANTACRUZ"
"64",3,0.105458474760185,0.137588587393501,0.0630422078022853,"sites",85.282346861036,14.718,15,"lowtide","SANTACRUZ"
"65",2,0.218020438842088,0.251765177003727,0.182922427528742,"samples",100,NA,NA,"lowtide","SANTACRUZ"
"66",3,0.180052658625569,0.199159570758406,0.151473528087837,"samples",82.5852197994982,17.415,17,"lowtide","SANTACRUZ"
"67",4,0.156923638432078,0.175403608366381,0.137146389403572,"samples",71.9765721349352,10.609,28,"lowtide","SANTACRUZ"
"68",5,0.140928227041419,0.153871055161417,0.124831139843413,"samples",64.6399153170647,7.337,35,"lowtide","SANTACRUZ"
"69",6,0.128873206307388,0.141671163039055,0.113180059459781,"samples",59.1106076989095,5.529,41,"lowtide","SANTACRUZ"
"70",7,0.119566809630356,0.130862584223953,0.103263733432283,"samples",54.8420186040256,4.269,45,"lowtide","SANTACRUZ"
"71",8,0.11195770415842,0.122785037431194,0.0969858012115008,"samples",51.3519304671753,3.49,49,"lowtide","SANTACRUZ"
"72",9,0.105652883131907,0.116153720190166,0.0927081761799254,"samples",48.4600818588535,2.892,52,"lowtide","SANTACRUZ"
"73",10,0.100226066152399,0.109608141602244,0.0890455956694451,"samples",45.9709496433924,2.489,54,"lowtide","SANTACRUZ"
"74",11,0.0953785469662355,0.105214296105528,0.0844561216509339,"samples",43.7475254488952,2.223,56,"lowtide","SANTACRUZ"
"75",12,0.0912830295521047,0.100092694518761,0.0797599620504901,"samples",41.8690238570802,1.879,58,"lowtide","SANTACRUZ"
"76",13,0.08781914336215,0.0967010229547298,0.0773190003740203,"samples",40.2802341966467,1.589,60,"lowtide","SANTACRUZ"
"77",14,0.0846538021637201,0.0926714576764171,0.0760326047131467,"samples",38.8283789415885,1.452,61,"lowtide","SANTACRUZ"
"78",15,0.0818076248089288,0.0895969626039141,0.0719616174361557,"samples",37.5229153942681,1.305,62,"lowtide","SANTACRUZ"
"79",16,0.0791310516020617,0.0873211250188823,0.0698186791649544,"samples",36.2952446212514,1.228,64,"lowtide","SANTACRUZ"
"80",17,0.0766956474756565,0.0843974034837245,0.0674414073125496,"samples",35.1781914957097,1.117,65,"lowtide","SANTACRUZ"
"81",18,0.0746842380204156,0.0819017057502214,0.0654562627576727,"samples",34.2556131053884,0.923,66,"lowtide","SANTACRUZ"
"82",19,0.072754755698249,0.0798308755429911,0.0640502685335151,"samples",33.3706124456272,0.885,67,"lowtide","SANTACRUZ"
"83",20,0.0707885270563563,0.077857606837733,0.0625495246997418,"samples",32.468757256116,0.902,68,"lowtide","SANTACRUZ"
"84",21,0.0691276049782004,0.0758238544738389,0.0613874414563518,"samples",31.7069378198387,0.762,68,"lowtide","SANTACRUZ"
"85",22,0.0676658392412939,0.074134439737699,0.0598252687198478,"samples",31.036465939005,0.67,69,"lowtide","SANTACRUZ"
"86",23,0.0659575115766808,0.0718733888112688,0.057806387995022,"samples",30.2529028594671,0.784,70,"lowtide","SANTACRUZ"
"87",24,0.0646714925693358,0.0710614477694123,0.0572111844109236,"samples",29.663041186784,0.59,70,"lowtide","SANTACRUZ"
"88",25,0.0633465695191978,0.0689849761745868,0.0564964642945808,"samples",29.0553352959168,0.608,71,"lowtide","SANTACRUZ"
"89",26,0.0621652664608428,0.0686123286122813,0.0556062952073844,"samples",28.5135039590802,0.542,71,"lowtide","SANTACRUZ"
"90",27,0.061045341786208,0.0668733567248692,0.0539698870212776,"samples",27.9998252046557,0.514,72,"lowtide","SANTACRUZ"
"91",28,0.0598600790480307,0.0654341569738379,0.0531857509941827,"samples",27.4561776712078,0.544,73,"lowtide","SANTACRUZ"
"92",29,0.0588181324208712,0.0644682693934866,0.0526375388311541,"samples",26.9782653100121,0.478,73,"lowtide","SANTACRUZ"
"93",30,0.0578077535818149,0.0635037350023328,0.0513494715546241,"samples",26.5148322280394,0.463,73,"lowtide","SANTACRUZ"
