"","X","samples","mean","upper","lower","sv","rel","der","Strata","locality"
"1",20,2,0.228289534856063,0.23398535692921,0.223893034839136,"samples",100,17.944,"hightide","Antartica"
"2",21,3,0.187325653085173,0.190483550405467,0.1833336932203,"samples",82.0561718710767,10.964,"hightide","Antartica"
"3",22,4,0.162296428243219,0.164826609975244,0.160150021396807,"samples",71.0923645035007,7.505,"hightide","Antartica"
"4",23,5,0.145163878207042,0.14701808882089,0.143138886920302,"samples",63.587618371805,5.504,"hightide","Antartica"
"5",24,6,0.132599493263793,0.133981310614862,0.131074695987432,"samples",58.0839123209906,4.244,"hightide","Antartica"
"6",25,7,0.122911599315548,0.124407633395556,0.121532766134406,"samples",53.8402250427486,3.379,"hightide","Antartica"
"7",26,8,0.115198682325097,0.117003879574257,0.113567183629135,"samples",50.4616571222724,2.904,"hightide","Antartica"
"8",27,9,0.108569737563568,0.110522817359941,0.107098274194454,"samples",47.5579126445814,2.476,"hightide","Antartica"
"9",28,10,0.102917316758995,0.104145867732633,0.10195788052789,"samples",45.0819249440778,2.099,"hightide","Antartica"
"10",29,11,0.0981250760172935,0.0993379814226485,0.0970146676627331,"samples",42.9827307148186,1.819,"hightide","Antartica"
"11",30,12,0.0939719477516497,0.0949843869872644,0.0928462718051452,"samples",41.1634934605737,1.627,"hightide","Antartica"
"12",31,13,0.0902577594912872,0.0913107565998107,0.0890891853958155,"samples",39.536529586516,1.49,"hightide","Antartica"
"13",32,14,0.0868571593046807,0.0877584891520999,0.0860013061565609,"samples",38.0469299039241,1.224,"hightide","Antartica"
"14",33,15,0.0840625652214826,0.0852155666957234,0.0832041203326276,"samples",36.8227852733084,1.175,"hightide","Antartica"
"15",34,16,0.081380372465221,0.0823896417230539,0.0806437300493725,"samples",35.6478769456214,1.057,"hightide","Antartica"
"16",35,17,0.0789677646801944,0.0798746111009447,0.0781951828503685,"samples",34.5910576803197,0.986,"hightide","Antartica"
"17",36,18,0.0767173875830196,0.0777205038836197,0.0760396885836865,"samples",33.6053019825854,0.877,"hightide","Antartica"
"18",37,19,0.0747143216723297,0.0757898630988436,0.0739829775200544,"samples",32.727878533476,0.855,"hightide","Antartica"
"19",38,20,0.0727629309191261,0.0737024407385347,0.0719958261368729,"samples",31.8730908821568,0.766,"hightide","Antartica"
"20",39,21,0.071013813708615,0.0718536926695759,0.0702836910376222,"samples",31.1069071796871,0.714,"hightide","Antartica"
"21",40,22,0.0693845918381525,0.0703924113200294,0.0685130009886803,"samples",30.3932424593618,0.651,"hightide","Antartica"
"22",41,23,0.0678985037733755,0.0688035975440929,0.0671230321713875,"samples",29.7422761039772,0.649,"hightide","Antartica"
"23",42,24,0.066416779975743,0.0673315234563992,0.0656988335762152,"samples",29.0932214731695,0.581,"hightide","Antartica"
"24",43,25,0.0650897917925305,0.0658735863878608,0.0643571034958897,"samples",28.511947266251,0.527,"hightide","Antartica"
"25",44,26,0.0638858883436784,0.0648502854369093,0.0632485909875096,"samples",27.9845891244899,0.555,"hightide","Antartica"
"26",45,27,0.0626199401912717,0.0635117830801115,0.0620182567653465,"samples",27.4300529066098,0.488,"hightide","Antartica"
"27",46,28,0.0615057127293845,0.0623113677213102,0.0609446676269858,"samples",26.9419764546649,0.451,"hightide","Antartica"
"28",47,29,0.0604765889843132,0.0613595177612975,0.0598542083633322,"samples",26.4911788542754,0.446,"hightide","Antartica"
"29",48,30,0.0594589979799064,0.0602104410796329,0.0588112056833462,"samples",26.0454330582413,NA,"hightide","Antartica"
