Country,Locality,Site,Strata,Pyropia,Ulva intestinalis,Mytilus chilensis,Nothogenia fastigiata,Adenocystis utricularis,Scytosiphon lomentaria,Ulva,Notochthamalus scabrosus,Perumytilus purpuratus,Iridaea tuberculosa,Ceramium involutum,Caepidium antarcticum,Protomonostroma undulatum,Porphyra,Corallina officinalis,Balanus,Colpomenia sinuosa,Bostrychia scorpioides,Lithophyllum rugosum
Chile,Punta Arenas,Puerto de Hambre,hightide,23,1,,,,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,3,18,,4,,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,,95,,,,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,,100,,,,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,21,,,,,,8,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,23,46,,,,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,21,49,,,2,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,17,34,,,,,,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,,,,,,,39,,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,hightide,,,,2,,,,14,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,3,,,,2,,,7,53,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,13,,,28,1,,,,52,3,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,,,81,1,,,1,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,,,,,,,9,91,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,14,,,8,1,,,20,25,32,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,,,62,,,,6,,,,,,,,,,1,
Chile,Punta Arenas,Puerto de Hambre,midtide,17,,,75,,,1,1,,,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,,,,,,,36,48,,,,,,,1,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,1,,1,4,,,1,62,24,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,midtide,,15,,,56,12,,1,1,6,,,,,,,,,
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,,,,,15,46,,,,,,34
Chile,Punta Arenas,Puerto de Hambre,lowtide,5,,,,,,,5,,,,51,2,,1,,,,7
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,11,,,,24,39,,,,,,3
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,17,,,,68,1,,,1,1,,9
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,8,,,,34,38,,,11,,,
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,20,,,,73,,,,2,,,
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,2,,,,,59,,,,22,,,,11,,,
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,,,,,,72,2,,,,,4
Chile,Punta Arenas,Puerto de Hambre,lowtide,3,,,,,,,33,,,,,46,,,1,,,
Chile,Punta Arenas,Puerto de Hambre,lowtide,,,,,,,,9,,,,,64,,,,,,1
