Country,Locality,Site,Strata,Chthamalus cirratus,Mazzaella laminarioides,Pyropia columbina,Ulva sp 1,Nothogenia fastigiata,Perumitylus purpuratus,Corallina officinalis var. chilensis,Notobalanus flosculus,Centroceras clavulatum,Ulva lactuca,Balanus laevis,Lessonia nigrescens,Adenocystis utricularis,Montemaria horridula,Petalonia fascia,Austromegabalanus psittacus,Polisiphonia mollis,Scytosiphon lomentaria,Hildenbrandia lecannellieri,Phaeophyta sp1,Rhodophyta sp1,Codium dimorphum,Durvillaea antarctica,Nothogenia sp1,Polysiphonia sp.,Schottera nicaeensis,Nothogenia sp2,Chaetomorpha firma,Gelidium chilense
Chile,"Reñaca, Viña del Mar",Montemar,hightide,8,16,18,12,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,28,,12,,,,,,,2,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,3,10,20,,,7,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,12,,38,,,,,,,2,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,11,,24,,,6,,,,5,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,54,,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,12,,32,8,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,4,,7,76,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,18,,28,,,7,,,,12,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,hightide,3,,,,,36,,,6,10,,,,,,,,,,,,,,,,,,12,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,6,,36,,2,10,8,4,9,17,,,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,3,,6,,,39,,2,6,12,3,,1,7,6,6,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,,3,8,,,13,34,,,,,,,,,,,3,8,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,31,,22,,,6,,,4,,,,,,,,,2,,9,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,,12,3,,,6,,,12,18,,6,,,,,,,,,6,28,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,,18,,,,12,,,12,8,,5,,,,,,2,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,20,23,11,,,2,,,,13,,,,,,,,,,3,,,,6,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,,5,6,,,21,2,,,26,6,,,,,,,,,,,,,,19,,,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,6,8,14,,,2,,4,,7,,,,,,,,,,28,,,,,,,8,,
Chile,"Reñaca, Viña del Mar",Montemar,midtide,3,23,,,,28,2,6,8,,,,,,,,1,,,,,,,,,,,,1
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,2,2,,,,3,82,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,3,1,3,,,34,22,3,,,,3,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,,,,,,,18,,,,,,,21,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,2,,,,,16,,3,,,,48,,,,8,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,,,,,,,4,,,,,,,45,,,,16,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,,,,,,,48,,,,6,,,14,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,,9,,,,,44,,,,4,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,2,,,,,,,,,,,31,,,,4,,,27,,,,,,,3,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,12,,,,,,,10,,,,36,,,,,,,,,,,,,,,,,
Chile,"Reñaca, Viña del Mar",Montemar,lowtide,,,,,,,,,,,8,34,,,,6,,,12,,,,,,,,,,
