,Country,Locality,Site,Strata,Siphonaria lessonii,Scurria ceciliana,Pyropia,Ulva intestinalis,Nothogenia fastigiata,Ulva,Adenocystis utricularis,Notochthamalus scabrosus,Bunodactis octoradiata,Caepidium antarcticum,Protomonostroma undulatum,Lithophyllum rugosum,Corallina officinalis,Nacella magellanica,Balanus,Colpomenia sinuosa,Fissurella picta,Pseudechinus magellanicus,Mytilus chilensis,Nacella deaurata,Porphyra,Fissurella nigra,Tonicia lebruni,Perumytilus purpuratus,Scytosiphon lomentaria,Iridaea tuberculosa,Ceramium involutum,Bostrychia scorpioides
1,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CHILE,PUNTAARENAS,PUERTODEHAMBRE,hightide,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
