,Country,Locality,Site,Strata,Nacella magellanica,Scurria araucana,Chthamalus cirratus,Mazzaella laminarioides,Pyropia columbina,Ulva,Ulva lactuca,Centroceras clavulatum,Chaetomorpha firma,Fissurella crassa,Chiton magnificus,Corallina officinalis var. chilensis,Balanus laevis,Lessonia nigrescens,Notobalanus flosculus,Adenocystis utricularis,Tetrapygus niger,Phymactis papillosa,Tegula atra,Hildenbrandia lecannellieri,Austromegabalanus psittacus,Acanthopleura echinata,Phymactis clematis,Durvillaea antarctica,Fissurella costata,Pachycheles grossimanus,Stichaster striatus,Schottera nicaeensis,Semimytilus algosus,Pyura chilensis,Nothogenia fastigiata,Nacella deaurata,Montemaria horridula,Petalonia fascia,Scytosiphon lomentaria,Phaeophyceae,Rhodophyta,Codium dimorphum,Nothogenia,Polysiphonia,Gelidium chilense
1,CHILE,VINADELMAR,MONTEMAR,hightide,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CHILE,VINADELMAR,MONTEMAR,hightide,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CHILE,VINADELMAR,MONTEMAR,hightide,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,CHILE,VINADELMAR,MONTEMAR,hightide,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,CHILE,VINADELMAR,MONTEMAR,lowtide,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CHILE,VINADELMAR,MONTEMAR,lowtide,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,CHILE,VINADELMAR,MONTEMAR,lowtide,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,CHILE,VINADELMAR,MONTEMAR,midtide,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,CHILE,VINADELMAR,MONTEMAR,midtide,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
23,CHILE,VINADELMAR,MONTEMAR,midtide,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,CHILE,VINADELMAR,MONTEMAR,midtide,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,CHILE,VINADELMAR,MONTEMAR,midtide,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
26,CHILE,VINADELMAR,MONTEMAR,midtide,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,CHILE,VINADELMAR,MONTEMAR,midtide,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
28,CHILE,VINADELMAR,MONTEMAR,midtide,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
