Country,Locality,Site,Strata,Porolithon,Laurencia sp.,Ulva sp.,Sargassum sp.,Dictyota sp.,Enteromorpha sp.,Ralfsia sp.,Chaetomorpha sp.,dummy1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,11,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,hightide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,10,,,,,,7,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,15,,,,,,10,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,7,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,8,1,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,,,,,,,6,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,17,,,,,,,12,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,82,2,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,11,1,,,,,,7,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,midtide,2,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,30,10,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,51,3,11,5,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,48,3,4,10,5,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,87,1,,7,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,64,1,,5,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,15,,,,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,5,,2,60,,,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,,,,5,,70,,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,5,7,,,,,5,,1
Costa Rica,Gandoca-Manzanillo,Punta Mona,lowtide,,,,80,,10,,,1
