"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.201081746031746,0.252011904761905,0.152962301587302,100,NA,NA,"hightide","PUNTAARENAS","samples"
"2",3,0.171687063187064,0.211896402906789,0.135472505488482,85.3817248831523,14.618,15,"hightide","PUNTAARENAS","samples"
"3",4,0.15255520249057,0.172022015369203,0.128333331788095,75.8672557311518,9.514,24,"hightide","PUNTAARENAS","samples"
"4",5,0.138420399365931,0.15321266130303,0.120523354989828,68.8378741967347,7.029,31,"hightide","PUNTAARENAS","samples"
"5",6,0.127448560146485,0.142841239328814,0.112018329550193,63.3814668221368,5.456,37,"hightide","PUNTAARENAS","samples"
"6",7,0.117512402826611,0.131032961083423,0.103734629681722,58.4401146029729,4.941,42,"hightide","PUNTAARENAS","samples"
"7",8,0.1096463531999,0.121001885371288,0.0975802182858597,54.5282480203795,3.912,45,"hightide","PUNTAARENAS","samples"
"8",9,0.103261730495437,0.115012297864595,0.0917314959547639,51.3531101322018,3.175,49,"hightide","PUNTAARENAS","samples"
"9",10,0.0986088596901089,0.109005837024033,0.0891057594253721,49.0391900986084,2.314,51,"hightide","PUNTAARENAS","samples"
"10",11,0.0936499848422448,0.104428584737515,0.0841437040828346,46.5730911384963,2.466,53,"hightide","PUNTAARENAS","samples"
"11",12,0.0901520996767531,0.0993846588210525,0.0788379939106788,44.833557225289,1.74,55,"hightide","PUNTAARENAS","samples"
"12",13,0.0867175613503462,0.0954011015678889,0.0774595849629808,43.1255263402455,1.708,57,"hightide","PUNTAARENAS","samples"
"13",14,0.0837349363028256,0.0920630866609097,0.0744858195488377,41.6422365308116,1.483,58,"hightide","PUNTAARENAS","samples"
"14",15,0.0804747204908393,0.088602353731892,0.0733923716968478,40.0208980073876,1.621,60,"hightide","PUNTAARENAS","samples"
"15",16,0.078333378260651,0.0856332972055812,0.0695478211820332,38.9559867101433,1.065,61,"hightide","PUNTAARENAS","samples"
"16",17,0.0755004392779637,0.0824571164153165,0.0680435374960888,37.5471373050659,1.409,62,"hightide","PUNTAARENAS","samples"
"17",18,0.0736995977806643,0.0805224946094984,0.0666598447441183,36.6515604897467,0.896,63,"hightide","PUNTAARENAS","samples"
"18",19,0.0714235812094712,0.078180141610269,0.0646738499339753,35.5196742712763,1.132,64,"hightide","PUNTAARENAS","samples"
"19",20,0.0698029615189398,0.0766574128319296,0.0630622530793565,34.7137235957358,0.806,65,"hightide","PUNTAARENAS","samples"
"20",21,0.0685630037086288,0.0754701738462531,0.0626124454319616,34.097079949666,0.617,66,"hightide","PUNTAARENAS","samples"
"21",22,0.0666672884264084,0.0731436584451503,0.0615224846641576,33.1543214349667,0.943,67,"hightide","PUNTAARENAS","samples"
"22",23,0.0652842897900879,0.0714162845380698,0.05898468309094,32.4665421294785,0.688,68,"hightide","PUNTAARENAS","samples"
"23",24,0.0636308809057065,0.0691184670758033,0.0571393023731039,31.6442850539306,0.822,68,"hightide","PUNTAARENAS","samples"
"24",25,0.0624404481822883,0.0676897079190276,0.0563898353405341,31.052270737907,0.592,69,"hightide","PUNTAARENAS","samples"
