"","samples","mean","upper","lower","rel","der","cum","Strata","locality","sv"
"1",2,0.153421087246087,0.204432643745144,0.105052863802864,100,NA,NA,"hightide","VINADELMAR","samples"
"2",3,0.134543225406746,0.162181602839472,0.107703125379189,87.6953930009235,12.305,12,"hightide","VINADELMAR","samples"
"3",4,0.116928827377585,0.133758325048153,0.100353065825453,76.2143128278259,11.481,24,"hightide","VINADELMAR","samples"
"4",5,0.105733520030416,0.120073674837009,0.0888676670547982,68.9172016235417,7.297,31,"hightide","VINADELMAR","samples"
"5",6,0.0971309004351888,0.107960393000458,0.0855632327368533,63.3100065829875,5.607,37,"hightide","VINADELMAR","samples"
"6",7,0.0899155966787795,0.0993845813683605,0.078758160151946,58.6070652299283,4.703,41,"hightide","VINADELMAR","samples"
"7",8,0.0843335298299673,0.0945652618621456,0.0753212347875838,54.9686691339219,3.638,45,"hightide","VINADELMAR","samples"
"8",9,0.0796699495582196,0.0877334496123658,0.0707387151324099,51.9289433990447,3.04,48,"hightide","VINADELMAR","samples"
"9",10,0.0753220471278262,0.0833230574068015,0.0671424170423007,49.0949767596222,2.834,51,"hightide","VINADELMAR","samples"
"10",11,0.0717617083989315,0.0792640770338883,0.063749990854347,46.7743448355478,2.321,53,"hightide","VINADELMAR","samples"
"11",12,0.0690859266431902,0.075305938871335,0.0621601306143972,45.030267926844,1.744,55,"hightide","VINADELMAR","samples"
"12",13,0.0663497273832712,0.0729508331610357,0.0594867174186238,43.2468108356228,1.783,57,"hightide","VINADELMAR","samples"
"13",14,0.0639390835817246,0.0709539216147611,0.055718209418031,41.6755510793418,1.571,58,"hightide","VINADELMAR","samples"
"14",15,0.0618056388346773,0.0672131025321706,0.0558955151207121,40.2849699113011,1.391,60,"hightide","VINADELMAR","samples"
"15",16,0.0598349485874838,0.0673864994952053,0.0535341314969427,39.0004722698312,1.284,61,"hightide","VINADELMAR","samples"
"16",17,0.0577463372198742,0.0637051419634119,0.0513498602476811,37.6391135380556,1.361,62,"hightide","VINADELMAR","samples"
"17",18,0.0563601390821981,0.0619600854231861,0.05052960484874,36.7355883691506,0.904,63,"hightide","VINADELMAR","samples"
"18",19,0.0550199983362554,0.060460962358221,0.0488723616311297,35.8620834488048,0.874,64,"hightide","VINADELMAR","samples"
"19",20,0.0535562940199929,0.0589751869467958,0.0483705240599095,34.9080396843288,0.954,65,"hightide","VINADELMAR","samples"
"20",21,0.0522997920669898,0.0571839144601275,0.0471847682803436,34.089050602999,0.819,66,"hightide","VINADELMAR","samples"
"21",22,0.0509557793867251,0.0559428777166538,0.0456668480402652,33.2130219524465,0.876,67,"hightide","VINADELMAR","samples"
"22",23,0.0498674158498599,0.0546988537151991,0.0453770275144793,32.5036256390705,0.709,67,"hightide","VINADELMAR","samples"
"23",24,0.04885751818733,0.0536532421863367,0.0445399918622828,31.8453734518011,0.658,68,"hightide","VINADELMAR","samples"
"24",25,0.0478523600451894,0.0531667330552177,0.0429421040439649,31.1902104881021,0.655,69,"hightide","VINADELMAR","samples"
"25",26,0.0469885565139325,0.0510692599290321,0.0426950327050844,30.6271825844663,0.563,69,"hightide","VINADELMAR","samples"
"26",27,0.0461141624767626,0.0504760614661355,0.0414152599462933,30.0572517797345,0.57,70,"hightide","VINADELMAR","samples"
"27",28,0.0453150426425757,0.0496655599300569,0.0404670932775382,29.5363847669065,0.521,70,"hightide","VINADELMAR","samples"
"28",29,0.0445084317388814,0.0484478138277991,0.040241347637953,29.0106350683657,0.526,71,"hightide","VINADELMAR","samples"
"29",30,0.0437882832941878,0.0476640431710584,0.0394461593516729,28.5412416768703,0.469,71,"hightide","VINADELMAR","samples"
"30",2,0.274624653537989,0.31277534289737,0.23494728785707,100,NA,NA,"midtide","VINADELMAR","samples"
"31",3,0.226814029152989,0.255682666473193,0.206102869306926,82.5905563214898,17.409,17,"midtide","VINADELMAR","samples"
"32",4,0.196008863197793,0.216877132694758,0.178913944505538,71.3733674936358,11.217,29,"midtide","VINADELMAR","samples"
"33",5,0.176293208139299,0.191364285162216,0.165559645241411,64.194239616915,7.179,36,"midtide","VINADELMAR","samples"
"34",6,0.161314491306519,0.171321460852062,0.150680993115757,58.7399890098374,5.454,41,"midtide","VINADELMAR","samples"
"35",7,0.149160326436589,0.160858187454102,0.139033454954606,54.3142520217894,4.426,46,"midtide","VINADELMAR","samples"
"36",8,0.13997015202641,0.149108133800884,0.12944542168937,50.9678028622611,3.346,49,"midtide","VINADELMAR","samples"
"37",9,0.131734892425571,0.142533638509483,0.123224674725409,47.9690700483116,2.999,52,"midtide","VINADELMAR","samples"
"38",10,0.124993000425455,0.132559088743034,0.116995470396964,45.5141222083196,2.455,54,"midtide","VINADELMAR","samples"
"39",11,0.119530482291166,0.127436767620318,0.112668960023898,43.5250370828892,1.989,56,"midtide","VINADELMAR","samples"
"40",12,0.114306425185622,0.121381343731256,0.107234774601643,41.6227835749677,1.902,58,"midtide","VINADELMAR","samples"
"41",13,0.110002746013958,0.116706981345081,0.102889529960882,40.0556703838466,1.567,60,"midtide","VINADELMAR","samples"
"42",14,0.105934877172832,0.112460214430652,0.0991182269432053,38.5744236025691,1.481,61,"midtide","VINADELMAR","samples"
"43",15,0.102290501701826,0.108453925509109,0.0961680038942004,37.247384888435,1.327,63,"midtide","VINADELMAR","samples"
