occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001-00001,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,Brachidontes,urn:lsid:marinespecies.org:taxname:138215,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001-00002,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R001,Ulva prolifera,urn:lsid:marinespecies.org:taxname:234476,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00003,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00004,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,Balanus glandula,urn:lsid:marinespecies.org:taxname:394848,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00005,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,Brachidontes,urn:lsid:marinespecies.org:taxname:138215,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002-00006,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R002,Ulva prolifera,urn:lsid:marinespecies.org:taxname:234476,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003-00007,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R003,Ulva prolifera,urn:lsid:marinespecies.org:taxname:234476,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R004-00008,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R004,Ulva prolifera,urn:lsid:marinespecies.org:taxname:234476,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005-00009,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R005,Ulva prolifera,urn:lsid:marinespecies.org:taxname:234476,HumanObservation,present
ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006-00010,ARGENTINA_PUERTOMADRYN_PUNTACUEVAS_20181105_HIGHTIDE_R006,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
