occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00001,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Lottia,urn:lsid:marinespecies.org:taxname:160336,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00002,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Fissurella,urn:lsid:marinespecies.org:taxname:138013,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00003,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Paguroidea,urn:lsid:marinespecies.org:taxname:106687,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00004,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Pachygrapsus transversus,urn:lsid:marinespecies.org:taxname:107457,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00005,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Echinometra lucunter,urn:lsid:marinespecies.org:taxname:213380,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00006,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Littorina littorea,urn:lsid:marinespecies.org:taxname:140262,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00007,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00008,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Omalacantha bicornuta,urn:lsid:marinespecies.org:taxname:878753,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00009,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Chthamalus bisinuatus,urn:lsid:marinespecies.org:taxname:733187,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00010,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00011,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00012,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Isognomon bicolor,urn:lsid:marinespecies.org:taxname:420737,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00013,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Zoanthus sociatus,urn:lsid:marinespecies.org:taxname:288843,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00014,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Zoanthus pulchellus,urn:lsid:marinespecies.org:taxname:288840,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00015,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Palythoa tuberculosa,urn:lsid:marinespecies.org:taxname:220520,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00016,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Colpophyllia natans,urn:lsid:marinespecies.org:taxname:289697,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00017,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Actinostella flosculifera,urn:lsid:marinespecies.org:taxname:289355,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00018,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Monanchora,urn:lsid:marinespecies.org:taxname:169014,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00019,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Cliona celata,urn:lsid:marinespecies.org:taxname:134121,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00020,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Bostrychia tenella,urn:lsid:marinespecies.org:taxname:211501,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00021,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Corallina panizzoi,urn:lsid:marinespecies.org:taxname:372903,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00022,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Porolithon onkodes,urn:lsid:marinespecies.org:taxname:495983,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00023,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Dictyosphaeria versluysii,urn:lsid:marinespecies.org:taxname:214397,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00024,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Colpomenia sinuosa,urn:lsid:marinespecies.org:taxname:145857,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00025,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Padina gymnospora,urn:lsid:marinespecies.org:taxname:145384,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00026,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Lobophora variegata,urn:lsid:marinespecies.org:taxname:145381,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00027,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Anadyomene stellata,urn:lsid:marinespecies.org:taxname:145012,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00028,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Hildenbrandia rubra,urn:lsid:marinespecies.org:taxname:145712,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00029,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Gelidiella acerosa,urn:lsid:marinespecies.org:taxname:145567,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00030,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Dictyopteris plagiogramma,urn:lsid:marinespecies.org:taxname:145359,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00031,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Chaetomorpha antennina,urn:lsid:marinespecies.org:taxname:145021,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00032,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Caulerpa racemosa,urn:lsid:marinespecies.org:taxname:144472,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00033,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Dictyota,urn:lsid:marinespecies.org:taxname:144086,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00034,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Plocamium brasiliense,urn:lsid:marinespecies.org:taxname:372977,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00035,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Sargassum,urn:lsid:marinespecies.org:taxname:144132,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00036,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Ochtodes secundiramea,urn:lsid:marinespecies.org:taxname:372964,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00037,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Halimeda cuneata,urn:lsid:marinespecies.org:taxname:211514,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00038,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Caulerpa sertularioides,urn:lsid:marinespecies.org:taxname:144474,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001-00039,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R001,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002-00040,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002,Lottia,urn:lsid:marinespecies.org:taxname:160336,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002-00041,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002,Fissurella,urn:lsid:marinespecies.org:taxname:138013,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002-00042,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002,Paguroidea,urn:lsid:marinespecies.org:taxname:106687,HumanObservation,present
BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002-00043,BRAZIL_APACOSTADASALGAS_COSTABELA_20181025_HIGHTIDE_R002,Pachygrapsus transversus,urn:lsid:marinespecies.org:taxname:107457,HumanObservation,present
