occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001-00001,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00002,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001-00003,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001,Lottia subrugosa,urn:lsid:marinespecies.org:taxname:594482,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00004,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Lottia subrugosa,urn:lsid:marinespecies.org:taxname:594482,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00005,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Fissurella rosea,urn:lsid:marinespecies.org:taxname:419358,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00006,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Fissurella rosea,urn:lsid:marinespecies.org:taxname:419358,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001-00007,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001,Chthamalus bisinuatus,urn:lsid:marinespecies.org:taxname:733187,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00008,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Chthamalus bisinuatus,urn:lsid:marinespecies.org:taxname:733187,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00009,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Chthamalus bisinuatus,urn:lsid:marinespecies.org:taxname:733187,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00010,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Amphiroa,urn:lsid:marinespecies.org:taxname:144003,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00011,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Amphiroa,urn:lsid:marinespecies.org:taxname:144003,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00012,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Ceramiaceae,urn:lsid:marinespecies.org:taxname:143671,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00013,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Isognomon bicolor,urn:lsid:marinespecies.org:taxname:420737,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00014,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Isognomon bicolor,urn:lsid:marinespecies.org:taxname:420737,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00015,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001-00016,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00017,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00018,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00019,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00020,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00021,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00022,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00023,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001-00024,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R001,Willeella brachyclados,urn:lsid:marinespecies.org:taxname:1307176,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00025,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Chaetomorpha antennina,urn:lsid:marinespecies.org:taxname:145021,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00026,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Chaetomorpha antennina,urn:lsid:marinespecies.org:taxname:145021,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00027,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Sargassum vulgare,urn:lsid:marinespecies.org:taxname:494801,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00028,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Sargassum vulgare,urn:lsid:marinespecies.org:taxname:494801,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00029,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Spyridia filamentosa,urn:lsid:marinespecies.org:taxname:144706,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001-00030,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R001,Phragmatopoma caudata,urn:lsid:marinespecies.org:taxname:334502,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R002-00031,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R002,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R002-00032,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R002,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R002-00033,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R002,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
