occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R001-00001,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R001,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R001-00002,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R001,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R001-00003,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R001,Zoanthus sociatus,urn:lsid:marinespecies.org:taxname:288843,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R002-00004,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R002,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R003-00005,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R003,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R004-00006,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R004,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R005-00007,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R005,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R006-00008,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R006,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R007-00009,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R007,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R008-00010,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R008,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R009-00011,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R009,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R010-00012,BRAZIL_FERNANDODENORONHA_LEAO_20190225_HIGHTIDE_R010,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R001-00013,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R001,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R001-00014,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R001,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R002-00015,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R002,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R002-00016,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R002,Caulerpa racemosa,urn:lsid:marinespecies.org:taxname:144472,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R003-00017,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R003,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R003-00018,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R003,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R004-00019,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R004,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R005-00020,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R005,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R006-00021,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R006,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R006-00022,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R006,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R007-00023,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R007,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R008-00024,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R008,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R009-00025,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R009,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R009-00026,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R009,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
