occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R001-00001,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R001,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R002-00002,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R002,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R003-00003,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R003,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R004-00004,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R004,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R005-00005,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R005,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R006-00006,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R006,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R007-00007,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R007,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R008-00008,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R008,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R009-00009,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R009,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R010-00010,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_HIGHTIDE_R010,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_LOWTIDE_R001-00011,BRAZIL_FERNANDODENORONHA_AIRFRANCE_20190221_LOWTIDE_R001,Jania,urn:lsid:marinespecies.org:taxname:144012,HumanObservation,present
