occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R002-00001,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R002,Pyropia endiviifolia,urn:lsid:marinespecies.org:taxname:626042,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R002-00002,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R002,Ulothrix,urn:lsid:marinespecies.org:taxname:144287,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R002-00003,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R002,Urospora penicilliformis,urn:lsid:marinespecies.org:taxname:144420,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R003-00004,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R003,Pyropia endiviifolia,urn:lsid:marinespecies.org:taxname:626042,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R003-00005,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R003,Ulothrix,urn:lsid:marinespecies.org:taxname:144287,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R004-00006,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R004,Pyropia endiviifolia,urn:lsid:marinespecies.org:taxname:626042,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R004-00007,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R004,Ulothrix,urn:lsid:marinespecies.org:taxname:144287,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R005-00008,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R005,Pyropia endiviifolia,urn:lsid:marinespecies.org:taxname:626042,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R005-00009,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R005,Urospora penicilliformis,urn:lsid:marinespecies.org:taxname:144420,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R006-00010,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R006,Pyropia endiviifolia,urn:lsid:marinespecies.org:taxname:626042,HumanObservation,present
CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R006-00011,CHILE_ANTARTICA_ARTIGAS_20190219_HIGHTIDE_R006,Urospora penicilliformis,urn:lsid:marinespecies.org:taxname:144420,HumanObservation,present
