occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R001-00001,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R001,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R001-00002,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R001,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R001-00003,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R001,Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R002-00004,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R002,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R003-00005,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R003,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004-00006,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004-00007,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004,Austrolittorina araucana,urn:lsid:marinespecies.org:taxname:446840,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004-00008,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004-00009,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R004,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005-00010,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005,Austrolittorina araucana,urn:lsid:marinespecies.org:taxname:446840,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005-00011,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005-00012,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005,Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005-00013,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R005,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006-00014,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006-00015,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006,Austrolittorina araucana,urn:lsid:marinespecies.org:taxname:446840,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006-00016,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006-00017,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006,Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006-00018,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R006,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007-00019,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007-00020,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007-00021,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007-00022,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007,Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007-00023,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R007,Bacillariophycanae,urn:lsid:marinespecies.org:taxname:591186,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008-00024,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008-00025,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008-00026,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008-00027,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008,Perumytilus purpuratus,urn:lsid:marinespecies.org:taxname:600490,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008-00028,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R008,Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R009-00029,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R009,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R009-00030,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R009,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010-00031,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010-00032,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010,Austrolittorina araucana,urn:lsid:marinespecies.org:taxname:446840,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010-00033,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010,Pyropia orbicularis,urn:lsid:marinespecies.org:taxname:841065,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010-00034,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010,Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010-00035,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_HIGHTIDE_R010,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00036,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Tegula atra,urn:lsid:marinespecies.org:taxname:533469,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00037,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Chiton (Chiton) granosus,urn:lsid:marinespecies.org:taxname:386777,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00038,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Tetrapygus niger,urn:lsid:marinespecies.org:taxname:513606,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00039,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Corallina officinalis,urn:lsid:marinespecies.org:taxname:145108,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00040,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Chondria secundata,urn:lsid:marinespecies.org:taxname:619816,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00041,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Schottera nicaeensis,urn:lsid:marinespecies.org:taxname:145666,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00042,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00043,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Lessonia spicata,urn:lsid:marinespecies.org:taxname:837696,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00044,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Sarcothalia crispata,urn:lsid:marinespecies.org:taxname:371718,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001-00045,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R001,Corallinales,urn:lsid:marinespecies.org:taxname:15308,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00046,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Tegula atra,urn:lsid:marinespecies.org:taxname:533469,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00047,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Acanthopleura echinata,urn:lsid:marinespecies.org:taxname:386269,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00048,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Chiton (Chiton) granosus,urn:lsid:marinespecies.org:taxname:386777,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00049,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Tonicia chilensis,urn:lsid:marinespecies.org:taxname:386329,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00050,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Acanthina monodon,urn:lsid:marinespecies.org:taxname:377982,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00051,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Corallina officinalis,urn:lsid:marinespecies.org:taxname:145108,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00052,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Chondria secundata,urn:lsid:marinespecies.org:taxname:619816,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00053,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00054,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Lessonia spicata,urn:lsid:marinespecies.org:taxname:837696,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00055,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Sarcothalia crispata,urn:lsid:marinespecies.org:taxname:371718,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00056,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Corallinales,urn:lsid:marinespecies.org:taxname:15308,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002-00057,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R002,Notochthamalus scabrosus,urn:lsid:marinespecies.org:taxname:733206,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003-00058,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003,Tegula atra,urn:lsid:marinespecies.org:taxname:533469,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003-00059,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003,Chiton (Chiton) granosus,urn:lsid:marinespecies.org:taxname:386777,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003-00060,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003,Scurria parasitica,urn:lsid:marinespecies.org:taxname:456645,HumanObservation,present
CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003-00061,CHILE_CONCEPCIÓN_COCHOLGUENORTE_20180926_LOWTIDE_R003,Tonicia chilensis,urn:lsid:marinespecies.org:taxname:386329,HumanObservation,present
