occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001-00001,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001-00002,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001,Scurria ceciliana,urn:lsid:marinespecies.org:taxname:456696,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001-00003,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001-00004,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R001,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R002-00005,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R002,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R002-00006,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R002,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R002-00007,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R002,Nothogenia fastigiata,urn:lsid:marinespecies.org:taxname:373489,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R003-00008,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R003,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R004-00009,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R004,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R005-00010,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R005,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R005-00011,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R005,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006-00012,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006,Siphonaria lessonii,urn:lsid:marinespecies.org:taxname:533427,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006-00013,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006,Scurria ceciliana,urn:lsid:marinespecies.org:taxname:456696,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006-00014,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006-00015,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R006,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R007-00016,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R007,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R007-00017,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R007,Ulva intestinalis,urn:lsid:marinespecies.org:taxname:234471,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R007-00018,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R007,Adenocystis utricularis,urn:lsid:marinespecies.org:taxname:325420,HumanObservation,present
CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R008-00019,CHILE_PUNTAARENAS_PUERTODEHAMBRE_20191105_HIGHTIDE_R008,Pyropia,urn:lsid:marinespecies.org:taxname:603075,HumanObservation,present
