occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001-00001","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001",Nacella magellanica,urn:lsid:marinespecies.org:taxname:456657,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001-00002","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001",Scurria araucana,urn:lsid:marinespecies.org:taxname:511348,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001-00003","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001-00004","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001",Mazzaella laminarioides,urn:lsid:marinespecies.org:taxname:371711,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001-00005","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001-00006","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R001",Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R002-00007","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R002",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R002-00008","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R002",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R002-00009","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R002",Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R003-00010","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R003",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R003-00011","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R003",Mazzaella laminarioides,urn:lsid:marinespecies.org:taxname:371711,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R003-00012","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R003",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R004-00013","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R004",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R004-00014","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R004",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R004-00015","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R004",Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R005-00016","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R005",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R005-00017","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R005",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R005-00018","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R005",Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R006-00019","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R006",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R006-00020","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R006",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007-00021","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007",Scurria araucana,urn:lsid:marinespecies.org:taxname:511348,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007-00022","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007-00023","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007-00024","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R007",Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R008-00025","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R008",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R008-00026","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R008",Pyropia columbina,urn:lsid:marinespecies.org:taxname:626037,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R008-00027","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R008",Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R009-00028","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R009",Scurria araucana,urn:lsid:marinespecies.org:taxname:511348,HumanObservation,present
"CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R009-00029","CHILE_REÑACA,VIÑADELMAR_MONTEMAR_20181114_HIGHTIDE_R009",Chthamalus cirratus,urn:lsid:marinespecies.org:taxname:733188,HumanObservation,present
