occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R001-00001,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R001,Nerita scabricosta,urn:lsid:marinespecies.org:taxname:575248,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R002-00002,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R002,Nerita scabricosta,urn:lsid:marinespecies.org:taxname:575248,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R003-00003,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R003,Nerita scabricosta,urn:lsid:marinespecies.org:taxname:575248,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R004-00004,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R004,Nerita scabricosta,urn:lsid:marinespecies.org:taxname:575248,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R005-00005,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R005,Echinolittorina apicina,urn:lsid:marinespecies.org:taxname:446850,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R005-00006,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R005,Echinolittorina tenuistriata,urn:lsid:marinespecies.org:taxname:446876,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R007-00007,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R007,Echinolittorina conspersa,urn:lsid:marinespecies.org:taxname:446855,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R007-00008,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R007,Chthamalus panamensis,urn:lsid:marinespecies.org:taxname:733191,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R008-00009,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R008,Echinolittorina conspersa,urn:lsid:marinespecies.org:taxname:446855,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R008-00010,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R008,Nerita scabricosta,urn:lsid:marinespecies.org:taxname:575248,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R009-00011,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R009,Nerita scabricosta,urn:lsid:marinespecies.org:taxname:575248,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R010-00012,COLOMBIA_ISLAGORGONA_LAMANCORA_20181014_HIGHTIDE_R010,Echinolittorina conspersa,urn:lsid:marinespecies.org:taxname:446855,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001-00013,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001,Fissurella virescens,urn:lsid:marinespecies.org:taxname:575126,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001-00014,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001,Nerita funiculata,urn:lsid:marinespecies.org:taxname:575247,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001-00015,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001,Siphonaria gigas,urn:lsid:marinespecies.org:taxname:527759,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001-00016,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001,Tetraclita squamosa panamensis,urn:lsid:marinespecies.org:taxname:733562,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001-00017,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R001,Verrucaria,urn:lsid:marinespecies.org:taxname:147701,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002-00018,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002,Nerita funiculata,urn:lsid:marinespecies.org:taxname:575247,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002-00019,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002,Calcinus obscurus,urn:lsid:marinespecies.org:taxname:367450,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002-00020,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002,Cladophoropsis adhaerens,urn:lsid:marinespecies.org:taxname:503391,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002-00021,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R002,Ceramium,urn:lsid:marinespecies.org:taxname:143834,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003-00022,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003,Dolabrifera dolabrifera,urn:lsid:marinespecies.org:taxname:224652,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003-00023,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003,Nerita funiculata,urn:lsid:marinespecies.org:taxname:575247,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003-00024,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003,Vasula melones,urn:lsid:marinespecies.org:taxname:714223,HumanObservation,present
COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003-00025,COLOMBIA_ISLAGORGONA_LAMANCORA_20181013_LOWTIDE_R003,Tegula panamensis,urn:lsid:marinespecies.org:taxname:575634,HumanObservation,present
