occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R005-00001,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R005,Grapsus grapsus,urn:lsid:marinespecies.org:taxname:422188,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R008-00002,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R008,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R008-00003,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R008,Ceratodictyon,urn:lsid:marinespecies.org:taxname:144244,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R009-00004,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R009,Ceratodictyon,urn:lsid:marinespecies.org:taxname:144244,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R010-00005,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_HIGHTIDE_R010,Ceratodictyon,urn:lsid:marinespecies.org:taxname:144244,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R001-00006,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R001,Zoanthus sansibaricus,urn:lsid:marinespecies.org:taxname:220521,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R002-00007,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R002,Grapsus grapsus,urn:lsid:marinespecies.org:taxname:422188,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R002-00008,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R002,Lithophyllum,urn:lsid:marinespecies.org:taxname:205926,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R005-00009,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R005,Calcinus explorator,urn:lsid:marinespecies.org:taxname:367436,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R006-00010,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R006,Zoanthus sansibaricus,urn:lsid:marinespecies.org:taxname:220521,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R007-00011,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R007,Calcinus explorator,urn:lsid:marinespecies.org:taxname:367436,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R007-00012,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R007,Lithophyllum,urn:lsid:marinespecies.org:taxname:205926,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009-00013,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009,Calcinus explorator,urn:lsid:marinespecies.org:taxname:367436,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009-00014,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009,Palaemonidae,urn:lsid:marinespecies.org:taxname:106788,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009-00015,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R009,Lithophyllum,urn:lsid:marinespecies.org:taxname:205926,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R010-00016,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_LOWTIDE_R010,Ulva,urn:lsid:marinespecies.org:taxname:144296,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R001-00017,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R001,Grapsus grapsus,urn:lsid:marinespecies.org:taxname:422188,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R001-00018,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R001,Ceratodictyon,urn:lsid:marinespecies.org:taxname:144244,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R002-00019,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R002,Ceratodictyon,urn:lsid:marinespecies.org:taxname:144244,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R003-00020,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R003,Plicopurpura columellaris,urn:lsid:marinespecies.org:taxname:396989,HumanObservation,present
ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R003-00021,ECUADOR_SANTACRUZ_CHARLESDARWINFOUNDATION_20190327_MIDTIDE_R003,Ceratodictyon,urn:lsid:marinespecies.org:taxname:144244,HumanObservation,present
